,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020년11월_계_총인구수,"478,872","22,805","15,159","17,909","16,628","16,298","12,597","27,429","19,300","12,356","24,016","21,816","25,173","11,116","15,154","21,961","41,506","15,864","50,852","3,813","17,179","36,617","13,063","20,261"
2020년11월_계_연령구간인구수,"478,872","22,805","15,159","17,909","16,628","16,298","12,597","27,429","19,300","12,356","24,016","21,816","25,173","11,116","15,154","21,961","41,506","15,864","50,852","3,813","17,179","36,617","13,063","20,261"
2020년11월_계_0~9세,"38,318","2,172",716,887,"1,124","1,014",649,"1,708","1,225",864,"1,967","1,172","1,488",401,794,"1,862","5,475","1,331","6,371",96,"1,576","3,255",978,"1,193"
2020년11월_계_10~19세,"49,890","3,049","1,038","1,454","1,499","1,246",653,"2,459","1,312","1,142","2,670","1,696","2,093",583,"1,330","2,752","4,700","1,649","6,235",167,"3,419","4,411","1,377","2,956"
2020년11월_계_20~29세,"74,193","2,884","2,445","2,539","2,127","2,167","2,544","5,394","4,473","1,662","3,145","4,224","5,620","2,740","1,919","2,872","5,032","2,802","6,867",295,"1,709","5,576","2,391","2,766"
2020년11월_계_30~39세,"66,271","2,686","1,580","1,867","1,780","2,021","2,128","4,624","3,577","1,541","2,811","3,485","4,247","1,840","1,571","2,677","6,731","2,036","8,293",277,"1,428","5,381","1,993","1,697"
2020년11월_계_40~49세,"78,782","4,354","1,849","2,459","2,362","2,324","1,722","4,513","2,863","1,896","4,061","3,193","3,808","1,556","1,993","3,508","7,715","2,404","9,572",413,"3,998","6,503","2,202","3,514"
2020년11월_계_50~59세,"77,956","3,516","2,671","3,114","3,180","2,969","1,847","4,422","2,541","2,006","3,924","3,490","4,114","1,911","2,897","4,028","5,693","2,855","7,390",721,"2,492","6,352","2,226","3,597"
2020년11월_계_60~69세,"54,466","2,424","2,664","3,080","2,637","2,557","1,663","2,605","1,940","1,788","3,099","2,864","2,442","1,267","2,510","2,839","3,839","1,532","3,608",743,"1,323","3,357","1,202","2,483"
2020년11월_계_70~79세,"25,979","1,200","1,533","1,686","1,257","1,373",933,"1,099",949,996,"1,638","1,169",895,561,"1,292",921,"1,573",800,"1,679",613,804,"1,169",461,"1,378"
2020년11월_계_80~89세,"11,249",453,586,723,580,540,402,532,364,398,616,449,418,224,713,435,624,395,721,392,363,540,196,585
2020년11월_계_90~99세,"1,678",65,72,96,80,81,51,70,51,59,79,66,47,31,133,66,119,59,104,91,65,69,37,87
2020년11월_계_100세 이상,90,2,5,4,2,6,5,3,5,4,6,8,1,2,2,1,5,1,12,5,2,4,0,5
2020년11월_남_총인구수,"235,628","11,216","7,653","9,074","8,154","8,302","5,981","13,259","9,373","5,987","11,570","11,125","12,578","5,958","7,215","10,783","20,456","7,567","24,879","1,954","8,458","17,749","6,534","9,803"
2020년11월_남_연령구간인구수,"235,628","11,216","7,653","9,074","8,154","8,302","5,981","13,259","9,373","5,987","11,570","11,125","12,578","5,958","7,215","10,783","20,456","7,567","24,879","1,954","8,458","17,749","6,534","9,803"
2020년11월_남_0~9세,"19,762","1,117",384,484,588,550,349,913,611,433,"1,019",641,756,212,391,940,"2,788",692,"3,265",54,794,"1,676",498,607
2020년11월_남_10~19세,"25,778","1,555",531,765,799,652,333,"1,297",673,577,"1,285",903,994,307,685,"1,483","2,396",850,"3,204",87,"1,799","2,310",712,"1,581"
2020년11월_남_20~29세,"37,774","1,442","1,320","1,412","1,149","1,166","1,143","2,488","2,043",846,"1,648","2,218","2,884","1,483","1,029","1,575","2,554","1,327","3,455",172,911,"2,727","1,292","1,490"
2020년11월_남_30~39세,"33,841","1,313",885,"1,027",910,"1,108","1,106","2,343","1,909",784,"1,418","1,993","2,270","1,104",820,"1,268","3,213","1,024","4,080",162,617,"2,588","1,067",832
2020년11월_남_40~49세,"38,116","2,088","1,013","1,318","1,157","1,214",895,"2,149","1,472",925,"1,919","1,587","1,941",879,920,"1,620","3,909","1,075","4,519",249,"1,776","2,918","1,048","1,525"
2020년11월_남_50~59세,"37,742","1,754","1,304","1,528","1,460","1,504",851,"2,130","1,166",954,"1,848","1,664","1,985",976,"1,355","1,836","2,748","1,332","3,672",394,"1,341","3,093","1,046","1,801"
2020년11월_남_60~69세,"26,255","1,156","1,257","1,444","1,299","1,230",738,"1,266",917,836,"1,410","1,349","1,165",635,"1,252","1,470","1,854",783,"1,692",409,661,"1,692",592,"1,148"
2020년11월_남_70~79세,"11,928",602,712,784,563,628,408,476,428,462,767,590,437,271,539,426,741,334,758,279,385,540,198,600
2020년11월_남_80~89세,"4,027",172,228,290,210,229,142,185,143,158,229,169,137,85,194,149,223,135,214,129,148,188,72,198
2020년11월_남_90~99세,388,16,18,22,18,20,15,12,11,12,24,9,9,5,29,16,30,15,16,19,25,17,9,21
2020년11월_남_100세 이상,17,1,1,0,1,1,1,0,0,0,3,2,0,1,1,0,0,0,4,0,1,0,0,0
2020년11월_여_총인구수,"243,244","11,589","7,506","8,835","8,474","7,996","6,616","14,170","9,927","6,369","12,446","10,691","12,595","5,158","7,939","11,178","21,050","8,297","25,973","1,859","8,721","18,868","6,529","10,458"
2020년11월_여_연령구간인구수,"243,244","11,589","7,506","8,835","8,474","7,996","6,616","14,170","9,927","6,369","12,446","10,691","12,595","5,158","7,939","11,178","21,050","8,297","25,973","1,859","8,721","18,868","6,529","10,458"
2020년11월_여_0~9세,"18,556","1,055",332,403,536,464,300,795,614,431,948,531,732,189,403,922,"2,687",639,"3,106",42,782,"1,579",480,586
2020년11월_여_10~19세,"24,112","1,494",507,689,700,594,320,"1,162",639,565,"1,385",793,"1,099",276,645,"1,269","2,304",799,"3,031",80,"1,620","2,101",665,"1,375"
2020년11월_여_20~29세,"36,419","1,442","1,125","1,127",978,"1,001","1,401","2,906","2,430",816,"1,497","2,006","2,736","1,257",890,"1,297","2,478","1,475","3,412",123,798,"2,849","1,099","1,276"
2020년11월_여_30~39세,"32,430","1,373",695,840,870,913,"1,022","2,281","1,668",757,"1,393","1,492","1,977",736,751,"1,409","3,518","1,012","4,213",115,811,"2,793",926,865
2020년11월_여_40~49세,"40,666","2,266",836,"1,141","1,205","1,110",827,"2,364","1,391",971,"2,142","1,606","1,867",677,"1,073","1,888","3,806","1,329","5,053",164,"2,222","3,585","1,154","1,989"
2020년11월_여_50~59세,"40,214","1,762","1,367","1,586","1,720","1,465",996,"2,292","1,375","1,052","2,076","1,826","2,129",935,"1,542","2,192","2,945","1,523","3,718",327,"1,151","3,259","1,180","1,796"
2020년11월_여_60~69세,"28,211","1,268","1,407","1,636","1,338","1,327",925,"1,339","1,023",952,"1,689","1,515","1,277",632,"1,258","1,369","1,985",749,"1,916",334,662,"1,665",610,"1,335"
2020년11월_여_70~79세,"14,051",598,821,902,694,745,525,623,521,534,871,579,458,290,753,495,832,466,921,334,419,629,263,778
2020년11월_여_80~89세,"7,222",281,358,433,370,311,260,347,221,240,387,280,281,139,519,286,401,260,507,263,215,352,124,387
2020년11월_여_90~99세,"1,290",49,54,74,62,61,36,58,40,47,55,57,38,26,104,50,89,44,88,72,40,52,28,66
2020년11월_여_100세 이상,73,1,4,4,1,5,4,3,5,4,3,6,1,1,1,1,5,1,8,5,1,4,0,5
