카테고리,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2021년09월_계_총인구수,"1,536,765","283,312","356,134","213,151","90,073","41,145","82,476","63,864","68,452","46,566","38,012","40,971","35,717","43,579","24,313","21,924","32,033","26,981","28,062"
2021년09월_계_연령구간인구수,"1,536,765","283,312","356,134","213,151","90,073","41,145","82,476","63,864","68,452","46,566","38,012","40,971","35,717","43,579","24,313","21,924","32,033","26,981","28,062"
2021년09월_계_0~9세,"102,024","20,894","27,608","13,011","6,346","2,369","5,688","3,602","3,625","2,125","1,582","1,747","1,662","3,228","1,753","1,688","2,490","1,307","1,299"
2021년09월_계_10~19세,"134,545","26,576","35,333","18,578","8,573","3,677","7,212","5,074","4,980","3,527","2,806","2,766","2,432","3,635","1,703","1,998","2,281","1,592","1,802"
2021년09월_계_20~29세,"175,972","37,399","44,998","24,791","9,297","3,478","8,906","6,906","6,489","3,681","3,129","3,233","2,628","5,319","3,658","2,874","4,189","2,635","2,362"
2021년09월_계_30~39세,"162,827","34,048","45,117","21,330","8,780","3,415","9,062","5,329","5,819","3,291","2,666","2,833","2,819","4,548","2,774","2,513","3,916","2,290","2,277"
2021년09월_계_40~49세,"219,798","41,860","56,722","31,842","14,312","6,120","12,204","8,526","8,013","4,961","4,357","5,113","4,676","5,523","2,621","2,451","3,949","3,064","3,484"
2021년09월_계_50~59세,"264,279","46,588","60,971","36,640","15,674","7,059","14,995","10,968","12,193","8,554","7,131","7,792","6,707","6,960","3,767","3,406","5,093","4,805","4,976"
2021년09월_계_60~69세,"256,747","41,049","49,219","35,413","14,592","7,758","13,670","11,730","14,893","10,945","8,396","9,348","7,798","7,086","4,093","3,629","5,659","5,575","5,894"
2021년09월_계_70~79세,"133,190","20,541","21,414","19,499","7,960","4,813","6,788","7,025","7,188","5,482","4,733","4,908","4,383","4,548","2,253","1,968","2,603","3,439","3,645"
2021년09월_계_80~89세,"75,428","12,356","12,768","10,299","3,964","2,180","3,333","4,067","4,571","3,430","2,839","2,842","2,275","2,349","1,458","1,205","1,579","1,936","1,977"
2021년09월_계_90~99세,"11,488","1,928","1,925","1,689",561,252,598,611,650,542,349,370,319,369,223,177,266,326,333
2021년09월_계_100세 이상,467,73,59,59,14,24,20,26,31,28,24,19,18,14,10,15,8,12,13
2021년09월_남_총인구수,"773,495","139,920","176,658","105,761","45,730","20,831","40,901","32,278","35,256","23,895","19,673","21,036","18,607","22,607","13,193","11,554","17,384","13,881","14,330"
2021년09월_남_연령구간인구수,"773,495","139,920","176,658","105,761","45,730","20,831","40,901","32,278","35,256","23,895","19,673","21,036","18,607","22,607","13,193","11,554","17,384","13,881","14,330"
2021년09월_남_0~9세,"52,156","10,737","14,052","6,698","3,253","1,248","2,884","1,833","1,846","1,120",837,862,856,"1,598",894,847,"1,256",669,666
2021년09월_남_10~19세,"69,904","13,808","18,248","9,760","4,470","1,908","3,747","2,602","2,527","1,843","1,516","1,450","1,254","1,896",861,998,"1,208",854,954
2021년09월_남_20~29세,"99,074","20,002","24,008","13,601","5,460","2,009","5,018","3,864","3,934","2,108","1,824","1,912","1,532","3,442","2,536","1,899","2,824","1,692","1,409"
2021년09월_남_30~39세,"85,746","17,427","22,916","11,241","4,719","1,820","4,890","2,878","3,179","1,731","1,454","1,535","1,562","2,538","1,647","1,398","2,259","1,306","1,246"
2021년09월_남_40~49세,"112,662","20,680","27,909","16,210","7,470","3,259","6,117","4,662","4,295","2,756","2,346","2,802","2,699","2,937","1,431","1,316","2,196","1,671","1,906"
2021년09월_남_50~59세,"136,369","23,434","30,620","18,549","8,129","3,807","7,425","5,943","6,459","4,530","3,959","4,187","3,762","3,715","2,032","1,817","2,729","2,598","2,674"
2021년09월_남_60~69세,"128,106","19,875","24,456","16,903","7,069","3,814","6,599","5,915","7,781","5,718","4,445","4,885","4,119","3,509","2,216","1,948","3,037","2,848","2,969"
2021년09월_남_70~79세,"59,907","9,028","9,517","8,743","3,594","2,120","2,938","3,103","3,418","2,684","2,160","2,297","1,972","2,035","1,007",861,"1,239","1,490","1,701"
2021년09월_남_80~89세,"26,929","4,441","4,489","3,710","1,450",787,"1,168","1,350","1,656","1,282","1,027","1,035",782,850,512,422,562,673,733
2021년09월_남_90~99세,"2,531",469,434,333,114,50,108,125,158,119,97,67,60,85,53,42,70,77,70
2021년09월_남_100세 이상,111,19,9,13,2,9,7,3,3,4,8,4,9,2,4,6,4,3,2
2021년09월_여_총인구수,"763,270","143,392","179,476","107,390","44,343","20,314","41,575","31,586","33,196","22,671","18,339","19,935","17,110","20,972","11,120","10,370","14,649","13,100","13,732"
2021년09월_여_연령구간인구수,"763,270","143,392","179,476","107,390","44,343","20,314","41,575","31,586","33,196","22,671","18,339","19,935","17,110","20,972","11,120","10,370","14,649","13,100","13,732"
2021년09월_여_0~9세,"49,868","10,157","13,556","6,313","3,093","1,121","2,804","1,769","1,779","1,005",745,885,806,"1,630",859,841,"1,234",638,633
2021년09월_여_10~19세,"64,641","12,768","17,085","8,818","4,103","1,769","3,465","2,472","2,453","1,684","1,290","1,316","1,178","1,739",842,"1,000","1,073",738,848
2021년09월_여_20~29세,"76,898","17,397","20,990","11,190","3,837","1,469","3,888","3,042","2,555","1,573","1,305","1,321","1,096","1,877","1,122",975,"1,365",943,953
2021년09월_여_30~39세,"77,081","16,621","22,201","10,089","4,061","1,595","4,172","2,451","2,640","1,560","1,212","1,298","1,257","2,010","1,127","1,115","1,657",984,"1,031"
2021년09월_여_40~49세,"107,136","21,180","28,813","15,632","6,842","2,861","6,087","3,864","3,718","2,205","2,011","2,311","1,977","2,586","1,190","1,135","1,753","1,393","1,578"
2021년09월_여_50~59세,"127,910","23,154","30,351","18,091","7,545","3,252","7,570","5,025","5,734","4,024","3,172","3,605","2,945","3,245","1,735","1,589","2,364","2,207","2,302"
2021년09월_여_60~69세,"128,641","21,174","24,763","18,510","7,523","3,944","7,071","5,815","7,112","5,227","3,951","4,463","3,679","3,577","1,877","1,681","2,622","2,727","2,925"
2021년09월_여_70~79세,"73,283","11,513","11,897","10,756","4,366","2,693","3,850","3,922","3,770","2,798","2,573","2,611","2,411","2,513","1,246","1,107","1,364","1,949","1,944"
2021년09월_여_80~89세,"48,499","7,915","8,279","6,589","2,514","1,393","2,165","2,717","2,915","2,148","1,812","1,807","1,493","1,499",946,783,"1,017","1,263","1,244"
2021년09월_여_90~99세,"8,957","1,459","1,491","1,356",447,202,490,486,492,423,252,303,259,284,170,135,196,249,263
2021년09월_여_100세 이상,356,54,50,46,12,15,13,23,28,24,16,15,9,12,6,9,4,9,11
