카테고리,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2021년07월_계_총인구수,"62,131","38,928",930,430,"1,781","1,046","1,770","3,264","2,879","1,427",970,"1,591","1,615","2,133","3,367"
2021년07월_계_연령구간인구수,"62,131","38,928",930,430,"1,781","1,046","1,770","3,264","2,879","1,427",970,"1,591","1,615","2,133","3,367"
2021년07월_계_0~9세,"3,329","2,746",19,9,30,32,35,122,82,27,17,34,33,48,95
2021년07월_계_10~19세,"5,549","4,542",41,17,61,22,45,265,121,53,33,65,61,58,165
2021년07월_계_20~29세,"6,627","5,070",60,10,113,54,97,263,216,79,69,75,109,143,269
2021년07월_계_30~39세,"4,588","3,420",40,18,84,39,75,212,180,46,42,62,60,113,197
2021년07월_계_40~49세,"7,985","6,077",100,36,122,60,132,332,267,98,71,105,115,165,305
2021년07월_계_50~59세,"11,225","7,047",164,71,304,188,305,532,543,257,203,288,298,384,641
2021년07월_계_60~69세,"9,905","4,807",203,95,390,221,393,698,645,325,210,368,331,484,735
2021년07월_계_70~79세,"7,336","3,220",177,105,337,193,341,487,419,290,178,344,329,395,521
2021년07월_계_80~89세,"4,889","1,761",112,63,297,214,293,309,349,227,128,216,237,292,391
2021년07월_계_90~99세,667,223,13,6,43,22,51,44,56,24,17,33,41,48,46
2021년07월_계_100세 이상,31,15,1,0,0,1,3,0,1,1,2,1,1,3,2
2021년07월_남_총인구수,"30,722","19,130",476,204,912,511,864,"1,603","1,441",733,500,799,763,"1,080","1,706"
2021년07월_남_연령구간인구수,"30,722","19,130",476,204,912,511,864,"1,603","1,441",733,500,799,763,"1,080","1,706"
2021년07월_남_0~9세,"1,695","1,405",7,2,17,16,20,60,32,14,9,20,16,30,47
2021년07월_남_10~19세,"2,882","2,358",23,12,35,10,21,120,70,30,16,33,27,35,92
2021년07월_남_20~29세,"3,612","2,715",37,6,61,32,55,160,123,46,46,49,64,74,144
2021년07월_남_30~39세,"2,334","1,677",24,11,49,20,43,117,113,29,21,34,37,63,96
2021년07월_남_40~49세,"4,119","2,941",64,21,81,47,79,184,160,64,44,73,64,111,186
2021년07월_남_50~59세,"6,116","3,658",102,46,191,113,190,293,307,161,116,178,166,227,368
2021년07월_남_60~69세,"5,231","2,393",101,44,237,136,218,365,348,182,120,208,193,271,415
2021년07월_남_70~79세,"3,093","1,339",82,43,149,76,151,203,192,117,81,136,124,165,235
2021년07월_남_80~89세,"1,482",591,36,18,81,55,76,93,82,82,39,61,67,90,111
2021년07월_남_90~99세,155,52,0,1,11,6,9,8,14,8,8,7,5,14,12
2021년07월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"31,409","19,798",454,226,869,535,906,"1,661","1,438",694,470,792,852,"1,053","1,661"
2021년07월_여_연령구간인구수,"31,409","19,798",454,226,869,535,906,"1,661","1,438",694,470,792,852,"1,053","1,661"
2021년07월_여_0~9세,"1,634","1,341",12,7,13,16,15,62,50,13,8,14,17,18,48
2021년07월_여_10~19세,"2,667","2,184",18,5,26,12,24,145,51,23,17,32,34,23,73
2021년07월_여_20~29세,"3,015","2,355",23,4,52,22,42,103,93,33,23,26,45,69,125
2021년07월_여_30~39세,"2,254","1,743",16,7,35,19,32,95,67,17,21,28,23,50,101
2021년07월_여_40~49세,"3,866","3,136",36,15,41,13,53,148,107,34,27,32,51,54,119
2021년07월_여_50~59세,"5,109","3,389",62,25,113,75,115,239,236,96,87,110,132,157,273
2021년07월_여_60~69세,"4,674","2,414",102,51,153,85,175,333,297,143,90,160,138,213,320
2021년07월_여_70~79세,"4,243","1,881",95,62,188,117,190,284,227,173,97,208,205,230,286
2021년07월_여_80~89세,"3,407","1,170",76,45,216,159,217,216,267,145,89,155,170,202,280
2021년07월_여_90~99세,512,171,13,5,32,16,42,36,42,16,9,26,36,34,34
2021년07월_여_100세 이상,28,14,1,0,0,1,1,0,1,1,2,1,1,3,2
