카테고리,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020년09월_계_총인구수,"48,806","14,056","2,908","6,661",710,"2,754","2,582","1,760","6,516","7,541","1,280","2,038"
2020년09월_계_연령구간인구수,"48,806","14,056","2,908","6,661",710,"2,754","2,582","1,760","6,516","7,541","1,280","2,038"
2020년09월_계_0~9세,"2,961","1,108",68,793,6,127,57,47,316,368,23,48
2020년09월_계_10~19세,"3,792","1,658",273,452,28,119,96,61,404,567,42,92
2020년09월_계_20~29세,"4,514","1,543",187,742,49,206,193,115,698,644,44,93
2020년09월_계_30~39세,"4,345","1,428",155,"1,132",26,172,118,61,582,544,43,84
2020년09월_계_40~49세,"6,319","2,356",251,943,63,296,164,154,853,947,124,168
2020년09월_계_50~59세,"8,643","2,416",464,"1,028",145,489,460,274,"1,285","1,443",288,351
2020년09월_계_60~69세,"8,071","1,684",545,772,144,553,568,378,"1,167","1,531",308,421
2020년09월_계_70~79세,"5,738","1,097",524,462,129,403,454,348,726,988,226,381
2020년09월_계_80~89세,"3,772",648,371,292,106,327,391,279,425,434,160,339
2020년09월_계_90~99세,634,116,68,41,14,61,80,43,57,74,20,60
2020년09월_계_100세 이상,17,2,2,4,0,1,1,0,3,1,2,1
2020년09월_남_총인구수,"24,436","7,096","1,419","3,496",370,"1,375","1,214",852,"3,334","3,701",625,954
2020년09월_남_연령구간인구수,"24,436","7,096","1,419","3,496",370,"1,375","1,214",852,"3,334","3,701",625,954
2020년09월_남_0~9세,"1,511",591,39,395,4,70,26,20,149,185,11,21
2020년09월_남_10~19세,"2,056",863,204,244,12,60,43,34,221,304,23,48
2020년09월_남_20~29세,"2,670",880,108,438,31,128,129,70,430,376,26,54
2020년09월_남_30~39세,"2,369",736,93,613,18,97,72,38,334,287,27,54
2020년09월_남_40~49세,"3,467","1,190",143,541,46,180,92,81,491,526,62,115
2020년09월_남_50~59세,"4,671","1,293",256,584,95,272,251,159,679,727,158,197
2020년09월_남_60~69세,"3,964",833,240,381,78,290,279,191,594,710,165,203
2020년09월_남_70~79세,"2,479",466,208,217,51,161,195,155,317,445,98,166
2020년09월_남_80~89세,"1,144",227,117,81,34,106,115,95,106,130,44,89
2020년09월_남_90~99세,103,17,11,2,1,11,12,9,12,11,10,7
2020년09월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년09월_여_총인구수,"24,370","6,960","1,489","3,165",340,"1,379","1,368",908,"3,182","3,840",655,"1,084"
2020년09월_여_연령구간인구수,"24,370","6,960","1,489","3,165",340,"1,379","1,368",908,"3,182","3,840",655,"1,084"
2020년09월_여_0~9세,"1,450",517,29,398,2,57,31,27,167,183,12,27
2020년09월_여_10~19세,"1,736",795,69,208,16,59,53,27,183,263,19,44
2020년09월_여_20~29세,"1,844",663,79,304,18,78,64,45,268,268,18,39
2020년09월_여_30~39세,"1,976",692,62,519,8,75,46,23,248,257,16,30
2020년09월_여_40~49세,"2,852","1,166",108,402,17,116,72,73,362,421,62,53
2020년09월_여_50~59세,"3,972","1,123",208,444,50,217,209,115,606,716,130,154
2020년09월_여_60~69세,"4,107",851,305,391,66,263,289,187,573,821,143,218
2020년09월_여_70~79세,"3,259",631,316,245,78,242,259,193,409,543,128,215
2020년09월_여_80~89세,"2,628",421,254,211,72,221,276,184,319,304,116,250
2020년09월_여_90~99세,531,99,57,39,13,50,68,34,45,63,10,53
2020년09월_여_100세 이상,15,2,2,4,0,1,1,0,2,1,1,1
