카테고리,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2020년11월_계_총인구수,"115,153","12,073","2,665","2,947","1,468","2,352","2,506","3,597","1,976","4,707","4,382","3,424","1,911","4,297","7,682","2,750","5,039","8,957","3,355","3,522","35,543"
2020년11월_계_연령구간인구수,"115,153","12,073","2,665","2,947","1,468","2,352","2,506","3,597","1,976","4,707","4,382","3,424","1,911","4,297","7,682","2,750","5,039","8,957","3,355","3,522","35,543"
2020년11월_계_0~9세,"10,101","1,137",54,72,17,85,47,64,35,99,137,76,37,123,626,156,241,763,112,128,"6,092"
2020년11월_계_10~19세,"9,379",782,148,137,52,128,82,160,54,172,207,136,54,201,871,235,361,932,255,211,"4,201"
2020년11월_계_20~29세,"12,282","1,202",203,260,107,148,175,244,121,346,394,313,109,313,"1,141",344,549,"1,339",289,389,"4,296"
2020년11월_계_30~39세,"14,534","1,631",132,170,69,128,128,202,89,276,325,257,101,248,946,267,394,957,229,294,"7,691"
2020년11월_계_40~49세,"16,388","1,712",217,261,120,229,192,308,167,408,449,363,159,380,"1,238",417,616,"1,374",314,434,"7,030"
2020년11월_계_50~59세,"17,221","1,955",474,540,256,374,393,616,344,887,788,687,391,734,"1,283",450,862,"1,465",638,624,"3,460"
2020년11월_계_60~69세,"16,058","1,887",573,619,333,508,571,814,437,"1,084",873,720,438,902,811,401,871,"1,040",645,674,"1,857"
2020년11월_계_70~79세,"11,554","1,126",498,497,280,431,524,662,385,787,762,505,368,829,469,294,754,716,526,478,663
2020년11월_계_80~89세,"6,575",558,310,342,201,288,348,456,297,544,375,320,222,492,263,153,339,309,297,237,224
2020년11월_계_90~99세,997,80,51,46,33,29,46,67,46,99,65,47,31,70,32,33,49,62,46,38,27
2020년11월_계_100세 이상,64,3,5,3,0,4,0,4,1,5,7,0,1,5,2,0,3,0,4,15,2
2020년11월_남_총인구수,"57,963","6,079","1,335","1,536",725,"1,177","1,236","1,801",961,"2,413","2,292","1,776",989,"2,227","3,819","1,365","2,534","4,485","1,709","1,848","17,656"
2020년11월_남_연령구간인구수,"57,963","6,079","1,335","1,536",725,"1,177","1,236","1,801",961,"2,413","2,292","1,776",989,"2,227","3,819","1,365","2,534","4,485","1,709","1,848","17,656"
2020년11월_남_0~9세,"5,151",584,26,35,7,44,21,32,15,58,74,34,22,64,314,75,137,398,66,59,"3,086"
2020년11월_남_10~19세,"4,850",411,78,77,27,68,49,99,30,85,114,69,26,117,438,125,220,495,117,107,"2,098"
2020년11월_남_20~29세,"6,505",641,112,148,70,86,109,141,70,191,225,182,63,180,629,197,304,735,159,219,"2,044"
2020년11월_남_30~39세,"7,576",836,76,116,50,75,74,137,52,169,203,153,58,141,509,139,205,475,131,176,"3,801"
2020년11월_남_40~49세,"9,137",968,151,174,78,144,131,200,115,274,279,235,103,252,621,230,334,708,194,273,"3,673"
2020년11월_남_50~59세,"9,395",979,284,332,147,222,227,344,199,519,472,412,236,459,660,235,451,756,382,383,"1,696"
2020년11월_남_60~69세,"8,156",962,304,335,163,268,305,428,232,575,456,372,248,476,385,188,427,484,335,343,870
2020년11월_남_70~79세,"5,003",512,212,219,128,179,208,276,150,349,335,214,158,362,180,124,323,324,218,215,317
2020년11월_남_80~89세,"1,968",163,87,95,48,85,100,132,88,173,121,92,65,157,74,49,122,97,94,62,64
2020년11월_남_90~99세,212,23,5,5,7,6,12,11,10,20,12,13,9,18,9,3,11,13,13,6,6
2020년11월_남_100세 이상,10,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,5,1
2020년11월_여_총인구수,"57,190","5,994","1,330","1,411",743,"1,175","1,270","1,796","1,015","2,294","2,090","1,648",922,"2,070","3,863","1,385","2,505","4,472","1,646","1,674","17,887"
2020년11월_여_연령구간인구수,"57,190","5,994","1,330","1,411",743,"1,175","1,270","1,796","1,015","2,294","2,090","1,648",922,"2,070","3,863","1,385","2,505","4,472","1,646","1,674","17,887"
2020년11월_여_0~9세,"4,950",553,28,37,10,41,26,32,20,41,63,42,15,59,312,81,104,365,46,69,"3,006"
2020년11월_여_10~19세,"4,529",371,70,60,25,60,33,61,24,87,93,67,28,84,433,110,141,437,138,104,"2,103"
