카테고리,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2021년07월_계_총인구수,"1,839,698","220,379","278,123","281,883","116,636","150,699","46,421","27,835","25,181","63,239","39,790","62,131","36,963","34,194","67,917","53,236","89,184","31,444","52,407","43,808","49,308","30,306","38,614"
2021년07월_계_연령구간인구수,"1,839,698","220,379","278,123","281,883","116,636","150,699","46,421","27,835","25,181","63,239","39,790","62,131","36,963","34,194","67,917","53,236","89,184","31,444","52,407","43,808","49,308","30,306","38,614"
2021년07월_계_0~9세,"127,179","17,045","20,080","22,920","10,047","12,934","2,280","1,014","1,048","2,519","1,618","3,329","1,897","1,646","3,758","3,304","8,093","1,264","3,690","2,587","3,007","1,608","1,491"
2021년07월_계_10~19세,"164,477","23,963","25,901","29,655","9,654","15,752","3,004","1,926","1,769","3,708","2,547","5,549","2,656","2,444","5,055","4,373","9,467","2,044","4,100","3,183","3,540","2,177","2,010"
2021년07월_계_20~29세,"197,212","26,721","33,297","37,095","12,340","19,738","4,670","2,270","1,885","4,033","2,841","6,627","2,973","2,797","5,518","4,975","9,272","2,351","4,819","4,068","3,770","2,487","2,665"
2021년07월_계_30~39세,"181,118","24,337","30,108","33,035","14,555","18,106","3,641","1,653","1,553","3,488","2,394","4,588","2,593","2,332","4,773","4,532","10,822","1,927","4,699","3,498","3,758","2,141","2,585"
2021년07월_계_40~49세,"254,908","36,529","41,155","42,792","16,671","23,258","5,194","2,941","2,752","6,096","4,023","7,985","3,917","3,620","7,772","7,286","14,135","3,343","6,327","5,355","6,076","3,477","4,204"
2021년07월_계_50~59세,"311,829","36,002","48,159","49,174","17,304","29,187","8,186","4,812","4,514","9,983","6,526","11,225","6,185","5,576","11,427","9,443","13,142","5,326","8,415","7,406","7,947","4,966","6,924"
2021년07월_계_60~69세,"280,838","29,649","41,800","35,858","16,704","17,865","8,619","5,223","4,828","12,945","7,720","9,905","6,712","6,401","12,630","8,386","11,381","6,127","8,577","7,505","8,714","5,442","7,847"
2021년07월_계_70~79세,"191,252","17,683","24,827","19,149","11,437","8,296","6,228","4,164","3,817","11,344","6,517","7,336","5,363","5,130","9,888","6,211","7,840","5,002","7,031","5,818","7,330","4,577","6,264"
2021년07월_계_80~89세,"113,467","7,436","11,042","10,494","6,859","4,733","3,976","3,267","2,604","7,795","4,819","4,889","3,976","3,644","6,173","4,147","4,396","3,530","4,178","3,849","4,532","3,035","4,093"
2021년07월_계_90~99세,"16,821",974,"1,699","1,648","1,034",812,599,549,395,"1,281",762,667,668,576,882,560,610,515,547,522,618,384,519
2021년07월_계_100세 이상,597,40,55,63,31,18,24,16,16,47,23,31,23,28,41,19,26,15,24,17,16,12,12
2021년07월_남_총인구수,"925,751","109,762","141,900","140,682","58,823","78,693","23,553","13,660","12,260","30,749","19,430","30,722","17,978","16,570","33,608","27,567","44,817","15,835","26,195","22,457","24,836","15,021","20,633"
2021년07월_남_연령구간인구수,"925,751","109,762","141,900","140,682","58,823","78,693","23,553","13,660","12,260","30,749","19,430","30,722","17,978","16,570","33,608","27,567","44,817","15,835","26,195","22,457","24,836","15,021","20,633"
2021년07월_남_0~9세,"64,847","8,808","10,181","11,714","5,165","6,586","1,127",519,511,"1,254",852,"1,695",952,814,"1,900","1,671","4,162",653,"1,869","1,313","1,548",787,766
2021년07월_남_10~19세,"85,212","12,242","13,400","15,460","4,965","8,165","1,559","1,040",931,"1,986","1,304","2,882","1,400","1,263","2,623","2,316","4,796","1,098","2,148","1,671","1,834","1,097","1,032"
2021년07월_남_20~29세,"110,375","14,480","18,928","20,191","6,522","11,484","2,767","1,255","1,038","2,359","1,634","3,612","1,683","1,591","3,111","2,921","4,972","1,394","2,721","2,418","2,219","1,463","1,612"
2021년07월_남_30~39세,"95,322","12,557","16,156","16,990","7,614","9,729","1,867",870,820,"1,895","1,282","2,334","1,375","1,199","2,539","2,455","5,501","1,033","2,429","1,872","2,035","1,143","1,627"
2021년07월_남_40~49세,"136,216","18,858","21,755","21,114","9,225","12,007","2,984","1,634","1,497","3,527","2,289","4,119","2,157","1,995","4,332","4,347","7,429","1,990","3,550","3,023","3,554","2,024","2,806"
2021년07월_남_50~59세,"167,880","18,191","25,377","24,790","9,505","15,930","4,521","2,678","2,515","5,614","3,648","6,116","3,393","3,036","6,343","5,439","7,219","3,137","4,672","4,246","4,473","2,797","4,240"
2021년07월_남_60~69세,"141,824","14,070","20,633","17,970","8,493","9,397","4,486","2,748","2,404","6,450","3,925","5,231","3,351","3,216","6,333","4,363","5,745","3,232","4,367","3,982","4,346","2,757","4,325"
2021년07월_남_70~79세,"84,667","7,832","11,431","8,650","5,033","3,752","2,804","1,794","1,611","4,946","2,811","3,093","2,291","2,221","4,344","2,662","3,553","2,115","3,030","2,570","3,265","1,980","2,879"
2021년07월_남_80~89세,"36,027","2,510","3,725","3,466","2,086","1,500","1,303","1,019",849,"2,440","1,529","1,482","1,246","1,123","1,928","1,283","1,340","1,067","1,300","1,244","1,441",903,"1,243"
2021년07월_남_90~99세,"3,316",208,307,331,209,141,135,100,81,273,153,155,127,106,155,108,97,116,109,117,119,70,99
2021년07월_남_100세 이상,65,6,7,6,6,2,0,3,3,5,3,3,3,6,0,2,3,0,0,1,2,0,4
