카테고리,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2020년01월_계_총인구수,"313,705","25,304","22,259","30,652","28,118","32,722","19,221","16,922","18,095","21,530","21,788","23,657","21,227","32,210"
2020년01월_계_연령구간인구수,"313,705","25,304","22,259","30,652","28,118","32,722","19,221","16,922","18,095","21,530","21,788","23,657","21,227","32,210"
2020년01월_계_0~9세,"17,325","1,459",906,"1,624","1,245","3,217",773,803,"1,066","1,122","1,159",943,"1,216","1,792"
2020년01월_계_10~19세,"23,475","2,111","1,432","2,187","1,809","4,190","1,170","1,180","1,464","1,435","1,527","1,215","1,468","2,287"
2020년01월_계_20~29세,"43,382","3,243","3,726","4,277","3,776","3,463","3,283","2,164","2,094","3,175","3,094","4,163","2,734","4,190"
2020년01월_계_30~39세,"40,734","3,189","2,974","4,317","3,507","4,043","2,889","1,975","1,928","2,881","2,622","3,574","2,689","4,146"
2020년01월_계_40~49세,"48,885","3,960","3,191","4,813","4,083","6,826","3,022","2,600","2,826","3,101","3,206","3,394","3,105","4,758"
2020년01월_계_50~59세,"53,550","4,483","3,899","5,231","5,245","4,952","3,148","2,886","2,839","3,791","3,865","4,036","3,651","5,524"
2020년01월_계_60~69세,"44,382","3,651","3,208","4,366","4,463","3,212","2,543","2,638","2,631","3,135","3,178","3,325","3,155","4,877"
2020년01월_계_70~79세,"29,673","2,260","2,050","2,773","2,805","1,950","1,745","1,972","2,481","1,979","2,143","2,141","2,183","3,191"
2020년01월_계_80~89세,"10,656",797,778,920,"1,030",746,560,632,672,769,878,758,859,"1,257"
2020년01월_계_90~99세,"1,406",120,86,118,134,98,81,67,83,106,111,94,136,172
2020년01월_계_100세 이상,237,31,9,26,21,25,7,5,11,36,5,14,31,16
2020년01월_남_총인구수,"153,058","12,597","10,697","14,785","13,987","15,744","9,586","8,239","8,540","10,649","10,488","11,822","10,310","15,614"
2020년01월_남_연령구간인구수,"153,058","12,597","10,697","14,785","13,987","15,744","9,586","8,239","8,540","10,649","10,488","11,822","10,310","15,614"
2020년01월_남_0~9세,"8,933",762,472,836,639,"1,680",403,420,555,557,596,464,640,909
2020년01월_남_10~19세,"12,082","1,084",756,"1,074",890,"2,145",625,630,735,743,813,662,775,"1,150"
2020년01월_남_20~29세,"21,333","1,692","1,621","2,071","1,946","1,709","1,580","1,117","1,051","1,591","1,485","2,050","1,324","2,096"
2020년01월_남_30~39세,"21,386","1,676","1,575","2,224","1,897","1,871","1,523","1,099",994,"1,564","1,395","1,957","1,425","2,186"
2020년01월_남_40~49세,"24,981","2,009","1,643","2,468","2,145","3,292","1,597","1,331","1,443","1,649","1,607","1,816","1,568","2,413"
2020년01월_남_50~59세,"26,048","2,261","1,863","2,436","2,637","2,455","1,606","1,409","1,354","1,826","1,827","2,033","1,710","2,631"
2020년01월_남_60~69세,"20,706","1,728","1,526","2,002","2,166","1,508","1,219","1,186","1,149","1,472","1,480","1,528","1,486","2,256"
2020년01월_남_70~79세,"12,956","1,035",911,"1,253","1,217",804,781,797,985,901,912,974,957,"1,429"
2020년01월_남_80~89세,"4,184",305,304,378,403,249,231,235,254,309,340,307,372,497
2020년01월_남_90~99세,390,35,25,32,42,23,20,12,19,33,32,29,45,43
2020년01월_남_100세 이상,59,10,1,11,5,8,1,3,1,4,1,2,8,4
2020년01월_여_총인구수,"160,647","12,707","11,562","15,867","14,131","16,978","9,635","8,683","9,555","10,881","11,300","11,835","10,917","16,596"
2020년01월_여_연령구간인구수,"160,647","12,707","11,562","15,867","14,131","16,978","9,635","8,683","9,555","10,881","11,300","11,835","10,917","16,596"
2020년01월_여_0~9세,"8,392",697,434,788,606,"1,537",370,383,511,565,563,479,576,883
2020년01월_여_10~19세,"11,393","1,027",676,"1,113",919,"2,045",545,550,729,692,714,553,693,"1,137"
2020년01월_여_20~29세,"22,049","1,551","2,105","2,206","1,830","1,754","1,703","1,047","1,043","1,584","1,609","2,113","1,410","2,094"
2020년01월_여_30~39세,"19,348","1,513","1,399","2,093","1,610","2,172","1,366",876,934,"1,317","1,227","1,617","1,264","1,960"
2020년01월_여_40~49세,"23,904","1,951","1,548","2,345","1,938","3,534","1,425","1,269","1,383","1,452","1,599","1,578","1,537","2,345"
2020년01월_여_50~59세,"27,502","2,222","2,036","2,795","2,608","2,497","1,542","1,477","1,485","1,965","2,038","2,003","1,941","2,893"
2020년01월_여_60~69세,"23,676","1,923","1,682","2,364","2,297","1,704","1,324","1,452","1,482","1,663","1,698","1,797","1,669","2,621"
2020년01월_여_70~79세,"16,717","1,225","1,139","1,520","1,588","1,146",964,"1,175","1,496","1,078","1,231","1,167","1,226","1,762"
2020년01월_여_80~89세,"6,472",492,474,542,627,497,329,397,418,460,538,451,487,760
2020년01월_여_90~99세,"1,016",85,61,86,92,75,61,55,64,73,79,65,91,129
2020년01월_여_100세 이상,178,21,8,15,16,17,6,2,10,32,4,12,23,12
