카테고리,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동,경기도 군포시 송부동
2021년07월_계_총인구수,"270,293","33,406","44,087","15,830","26,933","17,320","18,797","21,706","16,480","20,728","9,356","25,158","20,492"
2021년07월_계_연령구간인구수,"270,293","33,406","44,087","15,830","26,933","17,320","18,797","21,706","16,480","20,728","9,356","25,158","20,492"
2021년07월_계_0~9세,"19,442","1,901","3,567",628,"2,132",809,"1,105","1,782",983,"1,747",604,"1,664","2,520"
2021년07월_계_10~19세,"25,834","2,588","4,907",793,"2,763","1,128","1,372","2,082","1,553","3,030",955,"2,664","1,999"
2021년07월_계_20~29세,"37,428","5,364","6,113","2,476","3,602","2,750","2,694","2,767","2,014","2,507","1,118","3,627","2,396"
2021년07월_계_30~39세,"37,413","4,592","5,835","2,178","3,443","2,350","3,089","3,649","2,102","2,151","1,037","3,228","3,759"
2021년07월_계_40~49세,"43,236","4,920","7,242","2,014","4,359","2,437","2,696","3,651","2,580","4,023","1,539","4,119","3,656"
2021년07월_계_50~59세,"47,449","6,507","7,882","2,939","4,693","3,376","3,091","3,442","2,913","3,572","1,767","4,419","2,848"
2021년07월_계_60~69세,"35,265","4,716","5,389","2,727","3,721","2,846","2,640","2,463","2,214","2,084","1,353","2,962","2,150"
2021년07월_계_70~79세,"15,132","1,897","2,047","1,364","1,392","1,103","1,292","1,115","1,198",912,641,"1,371",800
2021년07월_계_80~89세,"7,848",790,950,603,703,450,713,673,816,623,285,930,312
2021년07월_계_90~99세,"1,203",125,152,102,122,69,103,81,105,76,52,166,50
2021년07월_계_100세 이상,43,6,3,6,3,2,2,1,2,3,5,8,2
2021년07월_남_총인구수,"133,999","17,618","21,909","7,937","13,041","9,025","8,923","10,531","7,844","10,133","4,708","12,207","10,123"
2021년07월_남_연령구간인구수,"133,999","17,618","21,909","7,937","13,041","9,025","8,923","10,531","7,844","10,133","4,708","12,207","10,123"
2021년07월_남_0~9세,"9,909",959,"1,824",325,"1,074",428,574,899,466,940,308,838,"1,274"
2021년07월_남_10~19세,"13,408","1,356","2,541",433,"1,429",589,700,"1,091",806,"1,539",512,"1,397","1,015"
2021년07월_남_20~29세,"19,483","2,969","3,178","1,327","1,846","1,473","1,343","1,428","1,014","1,319",587,"1,813","1,186"
2021년07월_남_30~39세,"19,425","2,610","2,968","1,249","1,678","1,325","1,625","1,815","1,072","1,030",524,"1,626","1,903"
2021년07월_남_40~49세,"21,367","2,644","3,526","1,095","2,056","1,331","1,277","1,745","1,245","1,859",787,"1,928","1,874"
2021년07월_남_50~59세,"23,137","3,392","3,783","1,380","2,179","1,756","1,432","1,623","1,387","1,771",870,"2,246","1,318"
2021년07월_남_60~69세,"17,306","2,450","2,738","1,286","1,853","1,406","1,204","1,167","1,022","1,020",696,"1,428","1,036"
2021년07월_남_70~79세,"6,849",897,975,619,639,545,507,472,499,406,311,583,396
2021년07월_남_80~89세,"2,783",306,335,200,256,158,234,266,295,219,98,304,112
2021년07월_남_90~99세,322,34,39,22,30,14,27,25,37,30,12,43,9
2021년07월_남_100세 이상,10,1,2,1,1,0,0,0,1,0,3,1,0
2021년07월_여_총인구수,"136,294","15,788","22,178","7,893","13,892","8,295","9,874","11,175","8,636","10,595","4,648","12,951","10,369"
2021년07월_여_연령구간인구수,"136,294","15,788","22,178","7,893","13,892","8,295","9,874","11,175","8,636","10,595","4,648","12,951","10,369"
2021년07월_여_0~9세,"9,533",942,"1,743",303,"1,058",381,531,883,517,807,296,826,"1,246"
2021년07월_여_10~19세,"12,426","1,232","2,366",360,"1,334",539,672,991,747,"1,491",443,"1,267",984
2021년07월_여_20~29세,"17,945","2,395","2,935","1,149","1,756","1,277","1,351","1,339","1,000","1,188",531,"1,814","1,210"
2021년07월_여_30~39세,"17,988","1,982","2,867",929,"1,765","1,025","1,464","1,834","1,030","1,121",513,"1,602","1,856"
2021년07월_여_40~49세,"21,869","2,276","3,716",919,"2,303","1,106","1,419","1,906","1,335","2,164",752,"2,191","1,782"
2021년07월_여_50~59세,"24,312","3,115","4,099","1,559","2,514","1,620","1,659","1,819","1,526","1,801",897,"2,173","1,530"
2021년07월_여_60~69세,"17,959","2,266","2,651","1,441","1,868","1,440","1,436","1,296","1,192","1,064",657,"1,534","1,114"
2021년07월_여_70~79세,"8,283","1,000","1,072",745,753,558,785,643,699,506,330,788,404
2021년07월_여_80~89세,"5,065",484,615,403,447,292,479,407,521,404,187,626,200
2021년07월_여_90~99세,881,91,113,80,92,55,76,56,68,46,40,123,41
2021년07월_여_100세 이상,33,5,1,5,2,2,2,1,1,3,2,7,2
