,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년09월_계_총인구수,"543,365","46,022","41,531","31,478","48,920","29,963","28,291","6,666","9,893","22,844","13,514","14,716","32,291","12,177","20,624","16,602","10,943","32,995","22,820","24,567","28,413","24,791","23,304"
2020년09월_계_연령구간인구수,"543,365","46,022","41,531","31,478","48,920","29,963","28,291","6,666","9,893","22,844","13,514","14,716","32,291","12,177","20,624","16,602","10,943","32,995","22,820","24,567","28,413","24,791","23,304"
2020년09월_계_0~9세,"50,967","4,783","2,464","3,939","6,942","4,734","3,324",355,495,"1,265",743,646,"2,798",611,"1,440",708,789,"2,758","1,981","2,625","3,044","2,347","2,176"
2020년09월_계_10~19세,"56,865","4,463","3,617","4,432","6,257","3,780","2,122",429,788,"1,610",938,"1,283","3,070",888,"1,965","1,308",794,"3,441","2,866","3,487","3,339","2,696","3,292"
2020년09월_계_20~29세,"72,893","6,557","6,580","3,884","5,755","3,205","3,509","1,056","1,586","3,308","1,756","2,277","4,346","1,720","3,034","2,343","1,434","4,731","2,869","2,720","3,865","3,165","3,193"
2020년09월_계_30~39세,"80,373","8,422","5,028","5,894","8,417","5,637","4,967",905,"1,204","2,980","1,607","1,591","4,523","1,539","2,607","1,877","1,698","4,667","2,576","3,399","4,626","3,317","2,892"
2020년09월_계_40~49세,"95,796","8,543","6,394","6,511","9,957","6,021","4,523",861,"1,348","3,303","1,906","2,196","5,037","1,874","3,055","2,290","1,601","5,923","4,534","5,610","5,497","4,331","4,481"
2020년09월_계_50~59세,"93,342","6,896","8,734","3,973","6,580","3,839","4,677","1,620","2,274","4,763","2,803","3,145","6,085","2,541","4,052","3,408","2,014","5,789","3,868","3,556","4,476","4,415","3,834"
2020년09월_계_60~69세,"57,086","3,947","5,140","1,853","3,380","1,914","3,246",974,"1,416","3,462","2,250","2,134","4,203","1,781","2,836","2,781","1,643","3,377","2,162","1,757","2,144","2,715","1,971"
2020년09월_계_70~79세,"24,113","1,709","2,242",651,"1,116",556,"1,292",292,514,"1,480","1,028",973,"1,568",838,"1,068","1,264",637,"1,568","1,293",960,925,"1,178",961
2020년09월_계_80~89세,"10,158",598,"1,125",294,432,228,526,133,242,571,414,414,555,337,467,531,268,634,615,389,432,523,430
2020년09월_계_90~99세,"1,666",99,194,45,80,48,98,34,24,92,65,55,99,45,98,86,59,95,50,60,63,103,74
2020년09월_계_100세 이상,106,5,13,2,4,1,7,7,2,10,4,2,7,3,2,6,6,12,6,4,2,1,0
2020년09월_남_총인구수,"274,441","23,392","21,146","15,645","24,366","14,847","14,215","3,502","4,969","11,773","7,016","7,420","16,156","6,495","10,053","8,460","5,640","17,069","11,547","12,450","14,168","12,643","11,469"
2020년09월_남_연령구간인구수,"274,441","23,392","21,146","15,645","24,366","14,847","14,215","3,502","4,969","11,773","7,016","7,420","16,156","6,495","10,053","8,460","5,640","17,069","11,547","12,450","14,168","12,643","11,469"
2020년09월_남_0~9세,"26,335","2,486","1,247","2,062","3,606","2,435","1,755",180,246,646,376,365,"1,404",331,742,362,386,"1,452","1,007","1,394","1,552","1,182","1,119"
2020년09월_남_10~19세,"29,112","2,339","1,872","2,222","3,208","1,926","1,100",215,410,841,490,626,"1,522",458,984,690,430,"1,758","1,477","1,793","1,731","1,391","1,629"
2020년09월_남_20~29세,"37,852","3,371","3,548","1,895","2,912","1,597","1,771",606,835,"1,794",990,"1,200","2,233",928,"1,578","1,234",728,"2,514","1,537","1,401","1,930","1,668","1,582"
2020년09월_남_30~39세,"41,099","4,313","2,674","2,903","3,975","2,622","2,509",509,677,"1,713",882,903,"2,298",906,"1,319","1,063",905,"2,538","1,317","1,666","2,311","1,667","1,429"
2020년09월_남_40~49세,"48,827","4,450","3,251","3,190","4,984","3,029","2,389",475,673,"1,801","1,041","1,142","2,584","1,043","1,463","1,173",851,"3,059","2,283","2,798","2,728","2,232","2,188"
2020년09월_남_50~59세,"47,362","3,459","4,418","2,061","3,282","1,903","2,315",822,"1,086","2,373","1,434","1,570","3,018","1,375","1,895","1,710","1,037","3,061","2,057","1,985","2,280","2,282","1,939"
2020년09월_남_60~69세,"29,083","1,954","2,699",938,"1,720","1,008","1,611",518,749,"1,737","1,165","1,044","2,143",950,"1,422","1,417",890,"1,736","1,049",820,"1,064","1,459",990
2020년09월_남_70~79세,"11,093",796,984,274,519,260,597,140,218,685,490,441,758,377,490,613,313,721,566,427,399,581,444
2020년09월_남_80~89세,"3,323",203,402,95,146,59,151,30,70,161,133,121,182,111,139,177,83,211,238,155,154,166,136
2020년09월_남_90~99세,320,18,45,5,13,7,15,4,5,18,15,8,13,14,21,20,15,15,14,10,18,14,13
2020년09월_남_100세 이상,35,3,6,0,1,1,2,3,0,4,0,0,1,2,0,1,2,4,2,1,1,1,0
2020년09월_여_총인구수,"268,924","22,630","20,385","15,833","24,554","15,116","14,076","3,164","4,924","11,071","6,498","7,296","16,135","5,682","10,571","8,142","5,303","15,926","11,273","12,117","14,245","12,148","11,835"
2020년09월_여_연령구간인구수,"268,924","22,630","20,385","15,833","24,554","15,116","14,076","3,164","4,924","11,071","6,498","7,296","16,135","5,682","10,571","8,142","5,303","15,926","11,273","12,117","14,245","12,148","11,835"
2020년09월_여_0~9세,"24,632","2,297","1,217","1,877","3,336","2,299","1,569",175,249,619,367,281,"1,394",280,698,346,403,"1,306",974,"1,231","1,492","1,165","1,057"
2020년09월_여_10~19세,"27,753","2,124","1,745","2,210","3,049","1,854","1,022",214,378,769,448,657,"1,548",430,981,618,364,"1,683","1,389","1,694","1,608","1,305","1,663"
2020년09월_여_20~29세,"35,041","3,186","3,032","1,989","2,843","1,608","1,738",450,751,"1,514",766,"1,077","2,113",792,"1,456","1,109",706,"2,217","1,332","1,319","1,935","1,497","1,611"
2020년09월_여_30~39세,"39,274","4,109","2,354","2,991","4,442","3,015","2,458",396,527,"1,267",725,688,"2,225",633,"1,288",814,793,"2,129","1,259","1,733","2,315","1,650","1,463"
2020년09월_여_40~49세,"46,969","4,093","3,143","3,321","4,973","2,992","2,134",386,675,"1,502",865,"1,054","2,453",831,"1,592","1,117",750,"2,864","2,251","2,812","2,769","2,099","2,293"
2020년09월_여_50~59세,"45,980","3,437","4,316","1,912","3,298","1,936","2,362",798,"1,188","2,390","1,369","1,575","3,067","1,166","2,157","1,698",977,"2,728","1,811","1,571","2,196","2,133","1,895"
2020년09월_여_60~69세,"28,003","1,993","2,441",915,"1,660",906,"1,635",456,667,"1,725","1,085","1,090","2,060",831,"1,414","1,364",753,"1,641","1,113",937,"1,080","1,256",981
2020년09월_여_70~79세,"13,020",913,"1,258",377,597,296,695,152,296,795,538,532,810,461,578,651,324,847,727,533,526,597,517
2020년09월_여_80~89세,"6,835",395,723,199,286,169,375,103,172,410,281,293,373,226,328,354,185,423,377,234,278,357,294
2020년09월_여_90~99세,"1,346",81,149,40,67,41,83,30,19,74,50,47,86,31,77,66,44,80,36,50,45,89,61
2020년09월_여_100세 이상,71,2,7,2,3,0,5,4,2,6,4,2,6,1,2,5,4,8,4,3,1,0,0
