카테고리,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2020년06월_계_총인구수,"212,863","16,234","3,395","1,601","4,102","4,342","3,585","4,521","6,639","15,428","5,089","3,370","26,015","7,883","10,519","13,164","4,820","9,622","16,772","18,281","28,783","8,698"
2020년06월_계_연령구간인구수,"212,863","16,234","3,395","1,601","4,102","4,342","3,585","4,521","6,639","15,428","5,089","3,370","26,015","7,883","10,519","13,164","4,820","9,622","16,772","18,281","28,783","8,698"
2020년06월_계_0~9세,"13,790",604,124,31,200,106,117,196,394,"1,433",186,101,"1,841",388,458,620,301,861,"1,499",993,"2,591",746
2020년06월_계_10~19세,"19,472",997,193,43,277,199,169,223,507,"1,534",304,171,"3,167",651,778,"1,220",416,"1,009","1,622","1,645","3,575",772
2020년06월_계_20~29세,"25,047","1,447",304,102,347,419,262,425,508,"1,787",606,297,"3,500",922,"1,318","1,700",570,"1,102","2,614","2,007","3,412","1,398"
2020년06월_계_30~39세,"21,964","1,162",198,75,325,301,235,387,597,"2,131",460,286,"2,632",754,927,"1,276",537,"1,242","2,256","1,706","3,436","1,041"
2020년06월_계_40~49세,"32,497","2,005",399,122,482,443,329,580,984,"2,648",640,422,"4,605","1,077","1,447","1,931",738,"1,608","2,674","2,658","5,279","1,426"
2020년06월_계_50~59세,"36,634","3,018",691,332,736,804,714,844,"1,161","2,393",803,615,"4,443","1,433","2,009","2,514",948,"1,589","2,501","3,189","4,567","1,330"
2020년06월_계_60~69세,"32,700","3,390",684,450,857,937,840,959,"1,288","1,866",993,685,"3,070","1,417","1,906","2,240",707,"1,288","2,051","2,849","3,175","1,048"
2020년06월_계_70~79세,"19,449","2,254",434,287,513,668,565,535,758,"1,060",679,550,"1,776",813,"1,143","1,088",357,573,990,"2,070","1,727",609
2020년06월_계_80~89세,"9,619","1,129",313,137,294,388,310,311,384,497,329,215,849,361,460,490,211,295,489,"1,010",880,267
2020년06월_계_90~99세,"1,585",205,50,22,65,70,41,59,54,74,84,28,125,59,68,85,35,53,74,140,133,61
2020년06월_계_100세 이상,106,23,5,0,6,7,3,2,4,5,5,0,7,8,5,0,0,2,2,14,8,0
2020년06월_남_총인구수,"105,593","7,974","1,739",860,"2,102","2,285","1,831","2,332","3,308","7,562","2,414","1,722","12,744","3,932","5,198","6,479","2,371","4,671","8,311","9,134","14,213","4,411"
2020년06월_남_연령구간인구수,"105,593","7,974","1,739",860,"2,102","2,285","1,831","2,332","3,308","7,562","2,414","1,722","12,744","3,932","5,198","6,479","2,371","4,671","8,311","9,134","14,213","4,411"
