,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2020년11월_계_총인구수,"71,213","5,834","1,115","3,195",821,"2,451","3,039","2,397","2,766","1,942","3,547","2,619","5,839","7,088","9,087","3,153","16,320"
2020년11월_계_연령구간인구수,"71,213","5,834","1,115","3,195",821,"2,451","3,039","2,397","2,766","1,942","3,547","2,619","5,839","7,088","9,087","3,153","16,320"
2020년11월_계_0~9세,"4,069",216,42,102,11,57,89,39,58,82,85,75,367,433,677,130,"1,606"
2020년11월_계_10~19세,"5,592",343,60,157,40,275,127,147,108,76,125,93,406,572,855,152,"2,056"
2020년11월_계_20~29세,"6,135",393,71,154,28,147,181,328,143,102,209,115,539,605,852,215,"2,053"
2020년11월_계_30~39세,"5,722",374,48,161,44,103,161,108,121,94,218,132,591,629,813,241,"1,884"
2020년11월_계_40~49세,"8,774",604,106,260,77,175,255,186,230,168,300,186,704,876,"1,339",324,"2,984"
2020년11월_계_50~59세,"12,006","1,036",225,537,174,347,483,384,488,361,603,507,"1,000","1,145","1,562",539,"2,615"
2020년11월_계_60~69세,"13,318","1,262",260,716,197,559,708,535,624,492,756,645,"1,127","1,408","1,537",667,"1,825"
2020년11월_계_70~79세,"9,289","1,003",175,584,152,385,549,361,532,325,711,475,726,938,931,539,903
2020년11월_계_80~89세,"5,440",511,111,443,81,348,411,266,399,213,473,320,343,427,458,300,336
2020년11월_계_90~99세,810,81,17,77,16,54,73,42,58,29,60,64,33,47,58,44,57
2020년11월_계_100세 이상,58,11,0,4,1,1,2,1,5,0,7,7,3,8,5,2,1
2020년11월_남_총인구수,"34,874","2,826",562,"1,550",423,"1,272","1,510","1,147","1,370",990,"1,681","1,203","2,864","3,427","4,514","1,572","7,963"
2020년11월_남_연령구간인구수,"34,874","2,826",562,"1,550",423,"1,272","1,510","1,147","1,370",990,"1,681","1,203","2,864","3,427","4,514","1,572","7,963"
2020년11월_남_0~9세,"2,114",98,20,48,5,28,43,24,33,42,40,39,207,232,366,59,830
2020년11월_남_10~19세,"3,019",184,30,96,24,177,67,73,60,41,69,49,225,290,496,87,"1,051"
2020년11월_남_20~29세,"3,459",245,46,96,14,82,117,138,90,60,115,69,318,358,510,125,"1,076"
2020년11월_남_30~39세,"3,028",210,25,87,19,61,89,60,73,54,131,73,314,345,413,137,937
2020년11월_남_40~49세,"4,705",335,64,144,44,107,166,111,144,109,194,118,389,459,703,200,"1,418"
2020년11월_남_50~59세,"6,199",543,130,285,102,206,276,217,286,184,337,245,475,571,750,309,"1,283"
2020년11월_남_60~69세,"6,437",596,131,379,119,288,346,280,326,283,369,315,493,623,704,322,863
2020년11월_남_70~79세,"4,010",421,79,255,65,188,254,147,231,136,288,199,307,406,397,243,394
2020년11월_남_80~89세,"1,726",174,35,138,30,124,140,89,115,75,122,81,129,135,157,85,97
2020년11월_남_90~99세,162,16,2,22,1,11,12,8,10,6,12,13,7,6,17,5,14
2020년11월_남_100세 이상,15,4,0,0,0,0,0,0,2,0,4,2,0,2,1,0,0
2020년11월_여_총인구수,"36,339","3,008",553,"1,645",398,"1,179","1,529","1,250","1,396",952,"1,866","1,416","2,975","3,661","4,573","1,581","8,357"
2020년11월_여_연령구간인구수,"36,339","3,008",553,"1,645",398,"1,179","1,529","1,250","1,396",952,"1,866","1,416","2,975","3,661","4,573","1,581","8,357"
2020년11월_여_0~9세,"1,955",118,22,54,6,29,46,15,25,40,45,36,160,201,311,71,776
2020년11월_여_10~19세,"2,573",159,30,61,16,98,60,74,48,35,56,44,181,282,359,65,"1,005"
2020년11월_여_20~29세,"2,676",148,25,58,14,65,64,190,53,42,94,46,221,247,342,90,977
2020년11월_여_30~39세,"2,694",164,23,74,25,42,72,48,48,40,87,59,277,284,400,104,947
2020년11월_여_40~49세,"4,069",269,42,116,33,68,89,75,86,59,106,68,315,417,636,124,"1,566"
2020년11월_여_50~59세,"5,807",493,95,252,72,141,207,167,202,177,266,262,525,574,812,230,"1,332"
2020년11월_여_60~69세,"6,881",666,129,337,78,271,362,255,298,209,387,330,634,785,833,345,962
2020년11월_여_70~79세,"5,279",582,96,329,87,197,295,214,301,189,423,276,419,532,534,296,509
2020년11월_여_80~89세,"3,714",337,76,305,51,224,271,177,284,138,351,239,214,292,301,215,239
2020년11월_여_90~99세,648,65,15,55,15,43,61,34,48,23,48,51,26,41,41,39,43
2020년11월_여_100세 이상,43,7,0,4,1,1,2,1,3,0,3,5,3,6,4,2,1
