카테고리,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2020년10월_계_총인구수,"9,689,159","149,703","125,641","230,044","294,895","347,615","343,819","395,572","438,973","309,245","326,617","524,515","481,165","312,781","372,905","455,649","582,586","405,481","232,173","376,924","392,674","497,082","425,558","540,127","668,920","458,495"
2020년10월_계_연령구간인구수,"9,689,159","149,703","125,641","230,044","294,895","347,615","343,819","395,572","438,973","309,245","326,617","524,515","481,165","312,781","372,905","455,649","582,586","405,481","232,173","376,924","392,674","497,082","425,558","540,127","668,920","458,495"
2020년10월_계_0~9세,"631,458","7,661","6,950","13,621","20,671","19,904","21,010","23,403","29,240","16,064","19,093","33,609","30,276","20,361","25,247","31,992","40,226","28,686","12,791","25,653","24,974","22,857","34,246","37,042","51,124","34,757"
2020년10월_계_10~19세,"788,199","11,115","6,923","15,785","20,137","26,212","23,960","27,097","37,525","22,315","25,936","53,693","39,027","23,827","28,544","51,090","45,209","30,406","14,832","24,378","28,125","28,987","45,253","59,427","59,293","39,103"
2020년10월_계_20~29세,"1,462,526","23,366","18,590","33,363","45,274","62,784","56,383","56,186","67,046","42,936","43,691","73,458","67,008","50,437","62,029","60,090","87,210","55,529","37,081","58,616","66,725","109,402","55,336","74,334","94,358","61,294"
2020년10월_계_30~39세,"1,482,049","20,035","20,172","38,116","49,241","56,208","50,297","58,379","60,373","39,056","41,286","65,099","69,007","45,232","64,802","58,409","99,547","63,588","35,497","68,579","62,429","87,418","63,676","82,464","111,302","71,837"
2020년10월_계_40~49세,"1,534,932","22,317","18,168","35,799","45,357","52,866","51,005","58,169","70,233","47,163","48,924","86,820","77,183","47,649","61,205","79,327","91,429","63,508","33,179","56,168","59,214","69,025","77,551","99,370","109,438","73,865"
2020년10월_계_50~59세,"1,528,085","25,571","20,796","36,995","47,459","54,868","53,465","69,885","69,590","52,804","57,283","87,969","77,457","49,526","54,332","76,752","86,760","63,571","40,533","56,716","58,663","68,372","63,003","80,334","102,983","72,398"
2020년10월_계_60~69세,"1,235,472","19,823","17,457","28,621","36,309","42,162","46,221","57,706","54,718","45,695","49,401","67,334","63,991","38,338","39,313","57,035","76,018","55,582","32,807","46,504","48,956","58,995","47,483","59,011","83,538","62,454"
2020년10월_계_70~79세,"702,248","12,535","10,683","17,257","20,587","22,402","28,170","31,330","33,707","30,059","27,686","37,456","39,001","24,338","24,400","28,436","38,814","31,640","18,005","27,215","29,703","37,054","27,292","33,983","40,104","30,391"
2020년10월_계_80~89세,"275,146","5,932","4,806","8,500","8,434","8,728","11,423","11,628","14,121","11,408","11,498","16,320","15,684","11,138","11,017","10,644","14,626","11,297","6,422","11,230","11,764","12,930","9,685","11,643","13,993","10,275"
2020년10월_계_90~99세,"42,352","1,076",896,"1,620","1,178","1,261","1,577","1,585","2,040","1,501","1,638","2,474","2,106","1,646","1,678","1,684","2,513","1,500",850,"1,585","1,810","1,728","1,805","2,231","2,496","1,874"
2020년10월_계_100세 이상,"6,692",272,200,367,248,220,308,204,380,244,181,283,425,289,338,190,234,174,176,280,311,314,228,288,291,247
2020년10월_남_총인구수,"4,713,716","72,847","61,432","110,754","144,059","167,794","170,320","195,718","211,780","150,744","159,356","253,219","231,163","149,791","175,699","223,601","281,422","200,195","117,429","186,417","189,990","249,412","203,507","258,461","322,942","225,664"
2020년10월_남_연령구간인구수,"4,713,716","72,847","61,432","110,754","144,059","167,794","170,320","195,718","211,780","150,744","159,356","253,219","231,163","149,791","175,699","223,601","281,422","200,195","117,429","186,417","189,990","249,412","203,507","258,461","322,942","225,664"
2020년10월_남_0~9세,"324,310","3,875","3,557","7,044","10,593","10,147","10,767","12,083","14,930","8,318","9,863","17,299","15,516","10,384","12,784","16,403","20,592","14,668","6,548","13,070","12,730","11,740","17,732","19,211","26,455","18,001"
2020년10월_남_10~19세,"404,407","5,554","3,483","8,033","10,050","13,362","12,130","13,844","19,068","11,481","13,359","27,885","19,931","11,945","14,420","26,637","23,062","15,699","7,486","12,728","14,480","14,808","23,052","31,004","30,332","20,574"
2020년10월_남_20~29세,"709,822","11,498","8,867","15,903","22,381","29,507","28,109","27,879","32,351","21,040","22,287","37,702","32,321","24,224","28,051","30,674","40,502","27,240","18,694","27,546","32,272","53,360","26,564","35,571","45,004","30,275"
2020년10월_남_30~39세,"741,388","9,957","10,058","18,994","24,219","27,764","25,945","30,110","30,034","20,550","21,085","32,450","34,213","22,452","30,665","28,777","50,592","32,391","19,614","35,262","31,643","48,263","29,298","37,841","53,387","35,824"
2020년10월_남_40~49세,"760,281","10,871","9,267","17,588","22,744","26,085","26,349","30,030","34,585","24,146","24,234","41,305","38,176","23,515","29,770","37,968","45,849","32,595","17,404","28,839","29,616","36,848","36,467","46,210","52,756","37,064"
2020년10월_남_50~59세,"750,451","12,835","10,571","18,296","23,685","26,784","26,880","34,476","34,313","25,837","27,317","42,657","37,296","24,012","26,688","38,159","41,496","31,426","20,352","28,850","28,138","34,151","30,962","40,119","49,880","35,271"
2020년10월_남_60~69세,"583,531","9,847","8,693","13,650","17,674","20,031","22,326","28,026","25,707","21,323","23,582","31,325","29,505","18,054","18,214","27,393","35,294","26,213","16,124","22,584","22,528","27,440","21,915","26,981","39,432","29,670"
