,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2021년04월_계_총인구수,"294,128","3,938","4,708","10,986","4,998","8,437","10,663","30,472","24,970","23,947","15,787","20,855","10,218","15,629","5,893","20,257","28,887","37,261","16,222"
2021년04월_계_연령구간인구수,"294,128","3,938","4,708","10,986","4,998","8,437","10,663","30,472","24,970","23,947","15,787","20,855","10,218","15,629","5,893","20,257","28,887","37,261","16,222"
2021년04월_계_0~9세,"21,096",101,375,571,168,550,841,"2,142","1,614","1,170",863,"2,372",548,"1,062",390,"1,232","2,593","2,950","1,554"
2021년04월_계_10~19세,"30,813",147,362,640,244,592,"1,242","3,052","2,431","1,671","1,085","2,414","1,006","1,552",409,"2,086","4,304","5,135","2,441"
2021년04월_계_20~29세,"45,126",417,483,"1,628",851,"1,108","1,683","5,473","4,766","4,423","3,100","2,420","1,547","2,170",723,"2,938","4,047","5,468","1,881"
2021년04월_계_30~39세,"35,985",348,590,"1,542",586,999,"1,401","4,305","3,567","2,938","2,348","2,956","1,068","1,680",694,"2,013","3,135","4,126","1,689"
2021년04월_계_40~49세,"48,044",436,729,"1,513",664,"1,293","1,879","4,920","3,938","3,199","2,237","3,698","1,386","2,187",737,"2,930","5,584","7,348","3,366"
2021년04월_계_50~59세,"49,373",633,675,"1,743",865,"1,584","1,799","5,367","3,979","4,049","2,344","2,914","1,736","2,639","1,196","3,884","5,115","6,324","2,527"
2021년04월_계_60~69세,"34,908",778,771,"1,563",807,"1,243",938,"2,846","2,662","3,423","1,896","2,415","1,620","2,628",957,"3,011","2,390","3,272","1,688"
2021년04월_계_70~79세,"19,275",734,512,"1,203",533,718,547,"1,505","1,433","2,076","1,226","1,204",862,"1,157",485,"1,422","1,144","1,741",773
2021년04월_계_80~89세,"8,241",305,185,509,252,300,288,770,496,865,600,387,371,478,253,655,491,785,251
2021년04월_계_90~99세,"1,219",36,26,69,28,46,45,89,80,125,87,74,71,73,47,84,77,111,51
2021년04월_계_100세 이상,48,3,0,5,0,4,0,3,4,8,1,1,3,3,2,2,7,1,1
2021년04월_남_총인구수,"144,117","1,948","2,304","5,436","2,605","4,328","5,424","14,581","12,468","11,664","7,506","10,455","5,033","7,548","3,041","9,626","14,149","18,314","7,687"
2021년04월_남_연령구간인구수,"144,117","1,948","2,304","5,436","2,605","4,328","5,424","14,581","12,468","11,664","7,506","10,455","5,033","7,548","3,041","9,626","14,149","18,314","7,687"
2021년04월_남_0~9세,"10,939",56,202,288,92,308,466,"1,067",794,620,451,"1,256",292,563,204,648,"1,358","1,501",773
2021년04월_남_10~19세,"16,248",78,198,370,148,296,629,"1,591","1,201",873,560,"1,429",561,855,216,"1,130","2,183","2,709","1,221"
2021년04월_남_20~29세,"23,104",232,267,784,442,580,893,"2,627","2,432","2,141","1,376","1,295",859,"1,171",386,"1,548","2,201","2,856","1,014"
2021년04월_남_30~39세,"18,213",192,288,823,339,538,757,"2,138","1,896","1,580","1,195","1,423",554,855,372,981,"1,486","2,035",761
2021년04월_남_40~49세,"23,183",261,408,780,374,721,946,"2,237","1,991","1,635","1,179","1,835",683,"1,008",388,"1,303","2,496","3,383","1,555"
2021년04월_남_50~59세,"24,215",340,329,900,441,808,962,"2,562","1,996","1,991","1,135","1,404",798,"1,155",649,"1,768","2,573","3,174","1,230"
2021년04월_남_60~69세,"16,384",359,327,703,391,617,448,"1,409","1,249","1,616",813,"1,103",739,"1,221",506,"1,428","1,135","1,604",716
2021년04월_남_70~79세,"8,571",295,215,569,261,345,205,630,702,897,531,554,394,537,238,616,518,733,331
2021년04월_남_80~89세,"2,985",126,66,204,112,103,107,290,187,285,245,141,138,168,75,190,181,291,76
2021년04월_남_90~99세,270,8,4,14,5,12,11,29,20,26,21,15,15,15,7,14,17,27,10
2021년04월_남_100세 이상,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2021년04월_여_총인구수,"150,011","1,990","2,404","5,550","2,393","4,109","5,239","15,891","12,502","12,283","8,281","10,400","5,185","8,081","2,852","10,631","14,738","18,947","8,535"
2021년04월_여_연령구간인구수,"150,011","1,990","2,404","5,550","2,393","4,109","5,239","15,891","12,502","12,283","8,281","10,400","5,185","8,081","2,852","10,631","14,738","18,947","8,535"
2021년04월_여_0~9세,"10,157",45,173,283,76,242,375,"1,075",820,550,412,"1,116",256,499,186,584,"1,235","1,449",781
2021년04월_여_10~19세,"14,565",69,164,270,96,296,613,"1,461","1,230",798,525,985,445,697,193,956,"2,121","2,426","1,220"
2021년04월_여_20~29세,"22,022",185,216,844,409,528,790,"2,846","2,334","2,282","1,724","1,125",688,999,337,"1,390","1,846","2,612",867
2021년04월_여_30~39세,"17,772",156,302,719,247,461,644,"2,167","1,671","1,358","1,153","1,533",514,825,322,"1,032","1,649","2,091",928
2021년04월_여_40~49세,"24,861",175,321,733,290,572,933,"2,683","1,947","1,564","1,058","1,863",703,"1,179",349,"1,627","3,088","3,965","1,811"
2021년04월_여_50~59세,"25,158",293,346,843,424,776,837,"2,805","1,983","2,058","1,209","1,510",938,"1,484",547,"2,116","2,542","3,150","1,297"
2021년04월_여_60~69세,"18,524",419,444,860,416,626,490,"1,437","1,413","1,807","1,083","1,312",881,"1,407",451,"1,583","1,255","1,668",972
2021년04월_여_70~79세,"10,704",439,297,634,272,373,342,875,731,"1,179",695,650,468,620,247,806,626,"1,008",442
2021년04월_여_80~89세,"5,256",179,119,305,140,197,181,480,309,580,355,246,233,310,178,465,310,494,175
