카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2020년01월_계_총인구수,"62,303","19,624","9,416","14,127","5,489","9,689","3,958"
2020년01월_계_연령구간인구수,"62,303","19,624","9,416","14,127","5,489","9,689","3,958"
2020년01월_계_0~9세,"3,582","1,245",540,708,171,769,149
2020년01월_계_10~19세,"4,803","1,754",822,"1,036",304,667,220
2020년01월_계_20~29세,"6,182","2,240",837,"1,352",531,976,246
2020년01월_계_30~39세,"5,945","1,961",803,"1,302",369,"1,205",305
2020년01월_계_40~49세,"8,048","2,708","1,133","1,998",571,"1,225",413
2020년01월_계_50~59세,"11,635","3,552","1,798","2,716","1,150","1,671",748
2020년01월_계_60~69세,"11,245","3,038","1,844","2,503","1,275","1,665",920
2020년01월_계_70~79세,"6,825","1,939",990,"1,632",701,976,587
2020년01월_계_80~89세,"3,493","1,037",549,759,365,468,315
2020년01월_계_90~99세,498,134,96,110,48,58,52
2020년01월_계_100세 이상,47,16,4,11,4,9,3
2020년01월_남_총인구수,"31,986","9,965","4,819","7,182","2,848","5,142","2,030"
2020년01월_남_연령구간인구수,"31,986","9,965","4,819","7,182","2,848","5,142","2,030"
2020년01월_남_0~9세,"1,773",635,246,352,90,386,64
2020년01월_남_10~19세,"2,542",946,417,550,160,349,120
2020년01월_남_20~29세,"3,495","1,204",471,748,328,598,146
2020년01월_남_30~39세,"3,193","1,050",433,687,194,667,162
2020년01월_남_40~49세,"4,355","1,438",618,"1,075",317,660,247
2020년01월_남_50~59세,"6,131","1,862",943,"1,427",605,883,411
2020년01월_남_60~69세,"5,814","1,538",953,"1,259",665,932,467
2020년01월_남_70~79세,"3,206",867,500,751,348,458,282
2020년01월_남_80~89세,"1,324",380,213,297,131,189,114
2020년01월_남_90~99세,134,42,23,30,7,16,16
2020년01월_남_100세 이상,19,3,2,6,3,4,1
2020년01월_여_총인구수,"30,317","9,659","4,597","6,945","2,641","4,547","1,928"
2020년01월_여_연령구간인구수,"30,317","9,659","4,597","6,945","2,641","4,547","1,928"
2020년01월_여_0~9세,"1,809",610,294,356,81,383,85
2020년01월_여_10~19세,"2,261",808,405,486,144,318,100
2020년01월_여_20~29세,"2,687","1,036",366,604,203,378,100
2020년01월_여_30~39세,"2,752",911,370,615,175,538,143
2020년01월_여_40~49세,"3,693","1,270",515,923,254,565,166
2020년01월_여_50~59세,"5,504","1,690",855,"1,289",545,788,337
2020년01월_여_60~69세,"5,431","1,500",891,"1,244",610,733,453
2020년01월_여_70~79세,"3,619","1,072",490,881,353,518,305
2020년01월_여_80~89세,"2,169",657,336,462,234,279,201
2020년01월_여_90~99세,364,92,73,80,41,42,36
2020년01월_여_100세 이상,28,13,2,5,1,5,2
