카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년11월_계_총인구수,"413,164","14,657","38,176","26,836","1,835","1,682","2,174","4,004","3,045","24,136","6,309","29,193","2,161","38,998","14,180","16,609","3,263","3,112","13,141","4,269","30,994","18,802","48,098","16,617","46,451","4,422"
2021년11월_계_연령구간인구수,"413,164","14,657","38,176","26,836","1,835","1,682","2,174","4,004","3,045","24,136","6,309","29,193","2,161","38,998","14,180","16,609","3,263","3,112","13,141","4,269","30,994","18,802","48,098","16,617","46,451","4,422"
2021년11월_계_0~9세,"38,906",824,"3,555","5,580",42,10,33,53,61,"1,726",121,"2,217",68,"3,588",959,792,134,270,"1,638",284,"2,704","2,025","4,409",856,"6,371",586
2021년11월_계_10~19세,"44,214","1,114","3,899","2,506",56,50,101,139,186,"2,390",196,"3,319",107,"4,988","1,534","1,831",167,211,"1,098",351,"3,659","2,487","5,877","1,051","6,669",228
2021년11월_계_20~29세,"54,775","1,331","4,527","2,338",89,96,128,276,224,"3,249",709,"3,636",212,"5,091","1,856","2,597",579,377,"1,761",611,"4,706","2,369","7,125","4,299","5,901",688
2021년11월_계_30~39세,"63,286","1,202","4,834","7,645",70,64,97,207,158,"3,312",715,"3,301",143,"4,835","1,545","1,631",517,530,"2,759",641,"4,319","2,868","8,218","4,396","8,233","1,046"
2021년11월_계_40~49세,"72,688","1,881","5,834","4,812",123,129,178,379,331,"3,851",951,"4,807",266,"7,318","2,289","2,560",441,419,"2,174",742,"5,984","3,868","9,518","2,775","10,314",744
2021년11월_계_50~59세,"70,037","2,876","7,934","2,120",352,320,391,788,583,"4,394","1,323","5,963",450,"7,138","2,963","3,788",595,605,"2,199",812,"6,085","3,215","7,128","1,823","5,569",623
2021년11월_계_60~69세,"43,162","2,829","4,775","1,109",499,443,523,928,677,"3,508","1,331","3,988",545,"4,178","1,988","2,416",495,414,"1,086",508,"2,387","1,324","3,766",939,"2,117",389
2021년11월_계_70~79세,"16,406","1,476","1,658",394,306,273,366,666,464,"1,222",657,"1,289",240,"1,236",741,711,247,181,294,226,742,419,"1,361",327,821,89
2021년11월_계_80~89세,"8,411",943,992,282,250,256,312,494,318,446,261,600,114,549,277,250,77,93,115,83,350,192,608,125,401,23
2021년11월_계_90~99세,"1,244",175,164,49,48,40,45,71,41,38,44,73,14,76,27,31,11,9,17,10,56,34,87,25,53,6
2021년11월_계_100세 이상,35,6,4,1,0,1,0,3,2,0,1,0,2,1,1,2,0,3,0,1,2,1,1,1,2,0
2021년11월_남_총인구수,"212,262","7,238","19,295","13,996",914,865,"1,113","2,092","1,553","11,886","3,431","14,255","1,119","19,790","7,015","8,326","1,831","1,691","6,888","2,294","16,139","9,831","24,926","9,072","24,248","2,454"
2021년11월_남_연령구간인구수,"212,262","7,238","19,295","13,996",914,865,"1,113","2,092","1,553","11,886","3,431","14,255","1,119","19,790","7,015","8,326","1,831","1,691","6,888","2,294","16,139","9,831","24,926","9,072","24,248","2,454"
2021년11월_남_0~9세,"19,991",424,"1,850","2,811",20,5,18,27,42,865,58,"1,169",33,"1,825",496,414,68,140,839,153,"1,339","1,040","2,341",432,"3,264",318
2021년11월_남_10~19세,"23,002",549,"2,084","1,302",28,23,59,68,90,"1,202",105,"1,624",53,"2,630",832,"1,009",84,124,547,177,"1,881","1,334","3,081",547,"3,457",112
2021년11월_남_20~29세,"30,712",811,"2,578","1,151",56,63,83,167,134,"1,736",416,"2,064",131,"2,799","1,044","1,488",377,212,979,349,"2,692","1,361","3,911","2,247","3,436",427
2021년11월_남_30~39세,"33,825",628,"2,460","3,992",41,42,63,138,89,"1,782",425,"1,688",93,"2,439",788,878,332,319,"1,537",407,"2,382","1,478","4,416","2,616","4,204",588
2021년11월_남_40~49세,"36,703",967,"2,803","2,704",77,88,111,241,184,"1,840",548,"2,220",147,"3,573","1,015","1,125",255,238,"1,135",398,"2,897","1,928","4,850","1,576","5,344",439
