,경기도 성남시,경기도 성남시 수정구,경기도 성남시 수정구 신흥1동,경기도 성남시 수정구 신흥2동,경기도 성남시 수정구 신흥3동,경기도 성남시 수정구 태평1동,경기도 성남시 수정구 태평2동,경기도 성남시 수정구 태평3동,경기도 성남시 수정구 태평4동,경기도 성남시 수정구 수진1동,경기도 성남시 수정구 수진2동,경기도 성남시 수정구 단대동,경기도 성남시 수정구 산성동,경기도 성남시 수정구 양지동,경기도 성남시 수정구 복정동,경기도 성남시 수정구 위례동,경기도 성남시 수정구 신촌동,경기도 성남시 수정구 고등동,경기도 성남시 수정구 시흥동,경기도 성남시 중원구,경기도 성남시 중원구 성남동,경기도 성남시 중원구 중앙동,경기도 성남시 중원구 금광1동,경기도 성남시 중원구 금광2동,경기도 성남시 중원구 은행1동,경기도 성남시 중원구 은행2동,경기도 성남시 중원구 상대원1동,경기도 성남시 중원구 상대원2동,경기도 성남시 중원구 상대원3동,경기도 성남시 중원구 하대원동,경기도 성남시 중원구 도촌동,경기도 성남시 분당구,경기도 성남시 분당구 분당동,경기도 성남시 분당구 수내1동,경기도 성남시 분당구 수내2동,경기도 성남시 분당구 수내3동,경기도 성남시 분당구 정자동,경기도 성남시 분당구 정자1동,경기도 성남시 분당구 정자2동,경기도 성남시 분당구 정자3동,경기도 성남시 분당구 서현1동,경기도 성남시 분당구 서현2동,경기도 성남시 분당구 이매1동,경기도 성남시 분당구 이매2동,경기도 성남시 분당구 야탑1동,경기도 성남시 분당구 야탑2동,경기도 성남시 분당구 야탑3동,경기도 성남시 분당구 판교동,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 백현동,경기도 성남시 분당구 금곡동,경기도 성남시 분당구 구미1동,경기도 성남시 분당구 구미동,경기도 성남시 분당구 운중동
2021년10월_계_총인구수,"931,319","235,980","13,384","20,336","11,340","15,484","15,405","13,341","13,262","12,407","15,888","15,644","5,510","9,902","11,057","45,442","4,723","9,810","3,045","212,478","33,846","12,779","6,766","25,849","10,366","23,981","25,382","13,056","12,293","20,727","27,433","482,861","25,885","17,726","10,485","13,858","19,386","30,470","15,504","15,404","31,947","18,351","25,519","13,296","17,285","16,457","28,415","26,226","24,618","27,057","28,076","17,256","30,744","28,896"
2021년10월_계_연령구간인구수,"931,319","235,980","13,384","20,336","11,340","15,484","15,405","13,341","13,262","12,407","15,888","15,644","5,510","9,902","11,057","45,442","4,723","9,810","3,045","212,478","33,846","12,779","6,766","25,849","10,366","23,981","25,382","13,056","12,293","20,727","27,433","482,861","25,885","17,726","10,485","13,858","19,386","30,470","15,504","15,404","31,947","18,351","25,519","13,296","17,285","16,457","28,415","26,226","24,618","27,057","28,076","17,256","30,744","28,896"
2021년10월_계_0~9세,"66,062","14,976",468,"1,781",416,490,712,557,627,344,713,999,304,514,661,"4,732",495,"1,009",154,"12,461","1,495",819,388,"1,373",589,"1,198","1,565",458,521,"1,338","2,717","38,625","1,862","1,193","1,110",937,"1,387","1,949",853,"1,306","2,330","1,346","2,180",936,"1,233","1,192","2,053","3,086","2,549","2,592","1,808","1,252","2,107","3,364"
2021년10월_계_10~19세,"85,657","16,909",706,"1,581",650,707,"1,050",889,"1,106",629,"1,051","1,274",486,925,457,"4,221",443,591,143,"15,797","1,855",808,424,"1,917",975,"1,850","1,744",887,826,"1,697","2,814","52,951","2,853","2,169","1,971","2,415","1,859","3,220","1,303","1,744","4,244","2,206","3,056","1,762","1,251","1,750","1,937","3,642","3,023","3,020","2,268","1,577","2,557","3,124"
2021년10월_계_20~29세,"128,387","33,845","1,930","2,585","1,682","2,819","2,471","1,888","2,083","1,720","2,298","2,096",658,"1,350","2,266","5,398",757,"1,376",468,"30,237","5,865","1,432",877,"3,838","1,808","3,571","3,335","1,626","1,736","2,979","3,170","64,305","3,641","2,368",943,"1,856","3,005","4,621","1,969","1,963","4,440","2,657","3,264","1,743","2,638","2,003","3,966","2,645","3,025","3,720","3,835","2,621","4,304","3,078"
2021년10월_계_30~39세,"135,330","35,009","1,833","3,331","1,534","2,180","2,121","1,703","1,628","1,460","2,038","2,185",683,"1,063","2,494","7,095",883,"2,242",536,"30,886","5,817","1,743","1,086","3,823","1,339","3,020","4,001","1,517","1,554","2,863","4,123","69,435","3,554","2,342",807,"1,470","3,370","4,816","2,871","2,265","4,199","2,321","3,503","1,304","2,759","2,061","5,203","3,493","3,466","3,539","4,469","2,661","4,486","4,476"
2021년10월_계_40~49세,"153,177","36,307","1,969","3,091","1,708","2,058","2,138","1,921","2,031","1,661","2,267","2,358",915,"1,618","1,986","8,156",731,"1,288",411,"31,818","4,757","2,016",969,"3,820","1,537","3,476","3,819","1,842","1,714","2,941","4,927","85,052","4,399","3,585","2,547","3,059","3,141","5,787","2,512","2,768","6,084","3,113","4,418","2,204","2,615","2,703","4,125","5,570","4,588","4,594","4,185","2,817","4,734","5,504"
2021년10월_계_50~59세,"155,030","39,997","2,525","3,456","2,160","2,658","2,748","2,514","2,332","2,509","2,796","2,692",908,"1,758","1,440","7,060",598,"1,410",433,"37,045","5,452","2,355","1,164","4,375","1,736","4,343","4,476","2,756","2,444","3,758","4,186","77,988","4,236","2,930","1,546","2,185","2,908","4,797","2,336","2,449","5,117","3,301","4,169","2,403","2,669","2,547","4,427","4,033","3,993","4,815","4,532","2,883","5,147","4,565"
2021년10월_계_60~69세,"119,768","34,620","2,334","2,914","1,838","2,536","2,309","2,256","1,904","2,353","2,720","2,282",847,"1,480","1,090","5,630",498,"1,116",513,"32,156","4,868","2,153","1,150","3,974","1,350","3,602","3,926","2,349","2,126","3,323","3,335","52,992","3,035","1,437",782,"1,152","2,149","2,610","1,837","1,478","2,919","2,057","2,761","1,701","2,384","2,315","4,000","2,369","2,478","3,000","3,666","1,929","3,771","3,162"
2021년10월_계_70~79세,"57,638","16,879","1,122","1,164",979,"1,413","1,233","1,112","1,039","1,204","1,449","1,183",500,834,488,"2,106",220,556,277,"15,218","2,549","1,033",477,"1,876",707,"2,012","1,739","1,126",973,"1,248","1,478","25,541","1,416",913,462,494,"1,057","1,595","1,042",794,"1,528",803,"1,368",768,"1,163","1,179","1,756",942,980,"1,207","1,990",921,"2,069","1,094"
