카테고리,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2021년09월_계_총인구수,"163,715","14,287","29,421","39,180","20,836","22,784","37,207"
2021년09월_계_연령구간인구수,"163,715","14,287","29,421","39,180","20,836","22,784","37,207"
2021년09월_계_0~9세,"12,798",895,"2,109","2,892","1,482","2,263","3,157"
2021년09월_계_10~19세,"14,175",915,"2,356","3,869","1,927","2,050","3,058"
2021년09월_계_20~29세,"23,016","2,349","4,114","5,142","3,230","3,053","5,128"
2021년09월_계_30~39세,"22,855","2,652","4,135","4,951","2,387","3,428","5,302"
2021년09월_계_40~49세,"24,197","1,699","4,299","6,060","3,038","3,509","5,592"
2021년09월_계_50~59세,"29,355","1,987","5,184","7,126","4,099","4,042","6,917"
2021년09월_계_60~69세,"22,983","2,258","4,009","5,798","2,945","2,805","5,168"
2021년09월_계_70~79세,"9,173","1,009","2,019","2,259","1,043",992,"1,851"
2021년09월_계_80~89세,"4,389",434,"1,051",925,569,547,863
2021년09월_계_90~99세,751,86,142,155,111,94,163
2021년09월_계_100세 이상,23,3,3,3,5,1,8
2021년09월_남_총인구수,"81,403","7,263","14,962","19,435","10,230","11,197","18,316"
2021년09월_남_연령구간인구수,"81,403","7,263","14,962","19,435","10,230","11,197","18,316"
2021년09월_남_0~9세,"6,615",479,"1,104","1,431",772,"1,159","1,670"
2021년09월_남_10~19세,"7,276",482,"1,216","1,999","1,009","1,070","1,500"
2021년09월_남_20~29세,"12,119","1,224","2,239","2,718","1,680","1,576","2,682"
2021년09월_남_30~39세,"11,781","1,449","2,250","2,529","1,178","1,663","2,712"
2021년09월_남_40~49세,"12,020",899,"2,270","2,946","1,435","1,744","2,726"
2021년09월_남_50~59세,"14,077",931,"2,564","3,438","1,955","1,931","3,258"
2021년09월_남_60~69세,"11,467","1,124","2,004","2,882","1,497","1,410","2,550"
2021년09월_남_70~79세,"4,333",500,900,"1,111",480,440,902
2021년09월_남_80~89세,"1,537",154,378,346,199,181,279
2021년09월_남_90~99세,175,20,37,34,25,23,36
2021년09월_남_100세 이상,3,1,0,1,0,0,1
2021년09월_여_총인구수,"82,312","7,024","14,459","19,745","10,606","11,587","18,891"
2021년09월_여_연령구간인구수,"82,312","7,024","14,459","19,745","10,606","11,587","18,891"
2021년09월_여_0~9세,"6,183",416,"1,005","1,461",710,"1,104","1,487"
2021년09월_여_10~19세,"6,899",433,"1,140","1,870",918,980,"1,558"
2021년09월_여_20~29세,"10,897","1,125","1,875","2,424","1,550","1,477","2,446"
2021년09월_여_30~39세,"11,074","1,203","1,885","2,422","1,209","1,765","2,590"
2021년09월_여_40~49세,"12,177",800,"2,029","3,114","1,603","1,765","2,866"
2021년09월_여_50~59세,"15,278","1,056","2,620","3,688","2,144","2,111","3,659"
2021년09월_여_60~69세,"11,516","1,134","2,005","2,916","1,448","1,395","2,618"
2021년09월_여_70~79세,"4,840",509,"1,119","1,148",563,552,949
2021년09월_여_80~89세,"2,852",280,673,579,370,366,584
2021년09월_여_90~99세,576,66,105,121,86,71,127
2021년09월_여_100세 이상,20,2,3,2,5,1,7
