카테고리,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2021년01월_계_총인구수,"297,748",574,"3,519","9,895","14,103","14,696","10,840","18,482","11,145","8,796","32,922","13,513","26,456","14,192","20,633","12,609","32,041","51,121","2,211"
2021년01월_계_연령구간인구수,"297,748",574,"3,519","9,895","14,103","14,696","10,840","18,482","11,145","8,796","32,922","13,513","26,456","14,192","20,633","12,609","32,041","51,121","2,211"
2021년01월_계_0~9세,"23,039",5,125,363,692,863,842,"1,187",940,358,"2,864","1,043","2,344","1,015","1,484","1,020","3,026","4,802",66
2021년01월_계_10~19세,"30,438",18,201,628,938,"1,289","1,162","1,669","1,423",583,"4,202","1,228","3,251","1,114","1,894","1,455","4,271","5,026",86
2021년01월_계_20~29세,"38,088",67,422,"1,318","1,911","1,872","1,305","2,502","1,446","1,291","4,203","1,696","3,281","1,725","2,501","1,663","3,688","6,999",198
2021년01월_계_30~39세,"40,935",87,397,"1,160","1,846","1,806","1,279","2,378","1,457","1,201","3,870","2,348","2,969","2,540","2,864","2,032","4,003","8,469",229
2021년01월_계_40~49세,"51,316",75,510,"1,408","2,014","2,344","1,851","2,844","2,083","1,297","6,130","2,332","5,009","2,440","3,519","2,336","6,166","8,735",223
2021년01월_계_50~59세,"49,599",146,643,"1,891","2,484","2,540","1,821","3,221","1,842","1,833","5,510","2,181","4,530","2,195","3,346","2,037","4,849","8,103",427
2021년01월_계_60~69세,"37,737",120,659,"1,744","2,415","2,258","1,498","2,783","1,184","1,349","3,803","1,622","3,085","1,692","2,584","1,225","3,684","5,496",536
2021년01월_계_70~79세,"17,858",37,393,977,"1,276","1,192",759,"1,313",524,563,"1,561",773,"1,339",867,"1,487",545,"1,589","2,406",257
2021년01월_계_80~89세,"7,439",11,146,353,445,466,278,505,213,267,667,257,539,506,812,261,634,918,161
2021년01월_계_90~99세,"1,155",5,19,47,63,60,36,73,32,47,104,31,102,82,133,34,114,152,21
2021년01월_계_100세 이상,144,3,4,6,19,6,9,7,1,7,8,2,7,16,9,1,17,15,7
2021년01월_남_총인구수,"146,858",302,"1,775","4,801","6,897","7,251","5,349","9,103","5,488","4,607","16,108","6,764","13,214","6,711","9,720","6,125","15,678","25,707","1,258"
2021년01월_남_연령구간인구수,"146,858",302,"1,775","4,801","6,897","7,251","5,349","9,103","5,488","4,607","16,108","6,764","13,214","6,711","9,720","6,125","15,678","25,707","1,258"
2021년01월_남_0~9세,"11,814",4,72,182,351,451,394,575,488,180,"1,463",539,"1,223",509,795,531,"1,539","2,482",36
2021년01월_남_10~19세,"15,638",10,97,332,461,672,604,838,738,314,"2,181",641,"1,650",574,971,758,"2,187","2,555",55
2021년01월_남_20~29세,"19,948",36,232,699,999,"1,024",676,"1,337",749,682,"2,164",907,"1,755",856,"1,241",840,"1,951","3,687",113
2021년01월_남_30~39세,"20,646",47,224,633,989,940,649,"1,237",719,686,"1,801","1,181","1,464","1,320","1,400","1,044","1,880","4,296",136
2021년01월_남_40~49세,"25,359",45,279,725,"1,013","1,190",911,"1,422",977,683,"2,878","1,177","2,463","1,216","1,724","1,100","2,967","4,452",137
2021년01월_남_50~59세,"24,733",80,331,905,"1,226","1,224",917,"1,542",919,997,"2,729","1,112","2,319","1,020","1,624",981,"2,426","4,123",258
2021년01월_남_60~69세,"17,910",58,306,761,"1,123","1,036",724,"1,331",573,697,"1,873",760,"1,521",709,"1,164",561,"1,754","2,650",309
2021년01월_남_70~79세,"8,048",17,175,424,568,539,368,616,242,253,759,355,631,343,539,218,747,"1,119",135
2021년01월_남_80~89세,"2,467",4,48,128,146,160,99,184,77,101,236,87,166,142,233,86,196,304,70
2021년01월_남_90~99세,259,1,10,9,16,13,6,20,6,11,21,5,21,19,28,6,27,33,7
2021년01월_남_100세 이상,36,0,1,3,5,2,1,1,0,3,3,0,1,3,1,0,4,6,2
2021년01월_여_총인구수,"150,890",272,"1,744","5,094","7,206","7,445","5,491","9,379","5,657","4,189","16,814","6,749","13,242","7,481","10,913","6,484","16,363","25,414",953
2021년01월_여_연령구간인구수,"150,890",272,"1,744","5,094","7,206","7,445","5,491","9,379","5,657","4,189","16,814","6,749","13,242","7,481","10,913","6,484","16,363","25,414",953
2021년01월_여_0~9세,"11,225",1,53,181,341,412,448,612,452,178,"1,401",504,"1,121",506,689,489,"1,487","2,320",30
2021년01월_여_10~19세,"14,800",8,104,296,477,617,558,831,685,269,"2,021",587,"1,601",540,923,697,"2,084","2,471",31
2021년01월_여_20~29세,"18,140",31,190,619,912,848,629,"1,165",697,609,"2,039",789,"1,526",869,"1,260",823,"1,737","3,312",85
2021년01월_여_30~39세,"20,289",40,173,527,857,866,630,"1,141",738,515,"2,069","1,167","1,505","1,220","1,464",988,"2,123","4,173",93
2021년01월_여_40~49세,"25,957",30,231,683,"1,001","1,154",940,"1,422","1,106",614,"3,252","1,155","2,546","1,224","1,795","1,236","3,199","4,283",86
