카테고리,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2020년11월_계_총인구수,"133,115","6,780","1,945","1,288","2,042","2,204",715,"3,264","4,616","18,846","9,944","5,897","4,929","10,287","18,063","11,220","15,680","15,395"
2020년11월_계_연령구간인구수,"133,115","6,780","1,945","1,288","2,042","2,204",715,"3,264","4,616","18,846","9,944","5,897","4,929","10,287","18,063","11,220","15,680","15,395"
2020년11월_계_0~9세,"8,800",269,48,27,42,68,21,86,95,"1,610",821,252,200,785,"1,361",746,694,"1,675"
2020년11월_계_10~19세,"11,746",355,90,51,69,200,34,136,200,"2,385","1,121",426,320,897,"1,809","1,207","1,129","1,317"
2020년11월_계_20~29세,"14,771",473,122,67,85,78,32,172,372,"2,276","1,302",649,562,"1,052","2,668","1,349","1,901","1,611"
2020년11월_계_30~39세,"13,043",420,104,65,73,77,38,121,223,"2,007","1,039",497,399,"1,157","2,172","1,039","1,420","2,192"
2020년11월_계_40~49세,"18,488",706,137,90,141,179,71,245,418,"3,295","1,638",757,559,"1,488","2,725","1,742","1,938","2,359"
2020년11월_계_50~59세,"24,052","1,299",393,268,421,393,151,612,907,"3,426","1,782","1,019",902,"1,761","3,174","2,158","2,943","2,443"
2020년11월_계_60~69세,"22,678","1,672",534,344,571,564,188,953,"1,223","2,262","1,328","1,219","1,077","1,594","2,347","1,572","3,201","2,029"
2020년11월_계_70~79세,"12,447",953,289,225,376,397,94,549,700,"1,081",562,730,636,"1,015","1,112",921,"1,656","1,151"
2020년11월_계_80~89세,"6,181",549,194,133,240,211,68,336,412,453,293,295,246,470,614,424,694,549
2020년11월_계_90~99세,835,82,29,15,19,37,17,50,62,45,56,48,26,49,80,57,98,65
2020년11월_계_100세 이상,74,2,5,3,5,0,1,4,4,6,2,5,2,19,1,5,6,4
2020년11월_남_총인구수,"66,739","3,464","1,049",665,"1,059","1,130",360,"1,676","2,428","9,267","4,906","2,926","2,448","5,136","8,996","5,615","7,853","7,761"
2020년11월_남_연령구간인구수,"66,739","3,464","1,049",665,"1,059","1,130",360,"1,676","2,428","9,267","4,906","2,926","2,448","5,136","8,996","5,615","7,853","7,761"
2020년11월_남_0~9세,"4,501",147,29,17,22,40,10,46,48,817,435,121,102,419,681,367,355,845
2020년11월_남_10~19세,"6,064",187,57,26,37,109,17,81,112,"1,203",569,219,165,465,928,635,604,650
2020년11월_남_20~29세,"8,201",263,81,36,63,47,22,106,235,"1,230",677,346,321,580,"1,463",770,"1,086",875
2020년11월_남_30~39세,"6,797",228,62,39,45,43,19,70,145,988,507,287,220,581,"1,149",525,784,"1,105"
2020년11월_남_40~49세,"9,515",392,80,56,88,112,44,143,257,"1,570",806,393,298,796,"1,342",856,"1,007","1,275"
2020년11월_남_50~59세,"12,294",692,223,141,218,210,83,324,482,"1,722",898,508,452,885,"1,596","1,145","1,428","1,287"
2020년11월_남_60~69세,"11,279",884,297,184,301,297,92,499,645,"1,115",662,570,494,768,"1,190",784,"1,524",973
2020년11월_남_70~79세,"5,639",456,142,111,193,194,40,265,326,449,235,348,297,446,447,373,794,523
2020년11월_남_80~89세,"2,242",197,67,53,82,72,27,129,163,164,103,121,91,175,185,148,252,213
2020년11월_남_90~99세,184,18,9,1,7,6,6,12,14,9,13,11,8,14,15,10,18,13
2020년11월_남_100세 이상,23,0,2,1,3,0,0,1,1,0,1,2,0,7,0,2,1,2
2020년11월_여_총인구수,"66,376","3,316",896,623,983,"1,074",355,"1,588","2,188","9,579","5,038","2,971","2,481","5,151","9,067","5,605","7,827","7,634"
2020년11월_여_연령구간인구수,"66,376","3,316",896,623,983,"1,074",355,"1,588","2,188","9,579","5,038","2,971","2,481","5,151","9,067","5,605","7,827","7,634"
2020년11월_여_0~9세,"4,299",122,19,10,20,28,11,40,47,793,386,131,98,366,680,379,339,830
2020년11월_여_10~19세,"5,682",168,33,25,32,91,17,55,88,"1,182",552,207,155,432,881,572,525,667
2020년11월_여_20~29세,"6,570",210,41,31,22,31,10,66,137,"1,046",625,303,241,472,"1,205",579,815,736
2020년11월_여_30~39세,"6,246",192,42,26,28,34,19,51,78,"1,019",532,210,179,576,"1,023",514,636,"1,087"
2020년11월_여_40~49세,"8,973",314,57,34,53,67,27,102,161,"1,725",832,364,261,692,"1,383",886,931,"1,084"
2020년11월_여_50~59세,"11,758",607,170,127,203,183,68,288,425,"1,704",884,511,450,876,"1,578","1,013","1,515","1,156"
2020년11월_여_60~69세,"11,399",788,237,160,270,267,96,454,578,"1,147",666,649,583,826,"1,157",788,"1,677","1,056"
2020년11월_여_70~79세,"6,808",497,147,114,183,203,54,284,374,632,327,382,339,569,665,548,862,628
2020년11월_여_80~89세,"3,939",352,127,80,158,139,41,207,249,289,190,174,155,295,429,276,442,336
2020년11월_여_90~99세,651,64,20,14,12,31,11,38,48,36,43,37,18,35,65,47,80,52
2020년11월_여_100세 이상,51,2,3,2,2,0,1,3,3,6,1,3,2,12,1,3,5,2
