,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2021년04월_계_총인구수,"44,169","5,333","3,549","11,970","15,299","1,935","3,751","2,226",106,0,0,0,0
2021년04월_계_연령구간인구수,"44,169","5,333","3,549","11,970","15,299","1,935","3,751","2,226",106,0,0,0,0
2021년04월_계_0~9세,"3,311",428,355,811,"1,135",170,231,181,0,0,0,0,0
2021년04월_계_10~19세,"3,695",464,264,982,"1,425",87,335,135,3,0,0,0,0
2021년04월_계_20~29세,"5,596",656,519,"1,568","1,772",382,428,269,2,0,0,0,0
2021년04월_계_30~39세,"4,633",565,451,"1,240","1,536",236,343,259,3,0,0,0,0
2021년04월_계_40~49세,"5,614",642,390,"1,598","2,062",189,531,194,8,0,0,0,0
2021년04월_계_50~59세,"7,022",864,460,"1,982","2,502",227,643,328,16,0,0,0,0
2021년04월_계_60~69세,"6,958",809,502,"1,933","2,396",280,599,420,19,0,0,0,0
2021년04월_계_70~79세,"4,660",584,361,"1,200","1,579",225,384,289,38,0,0,0,0
2021년04월_계_80~89세,"2,294",280,209,559,759,118,221,132,16,0,0,0,0
2021년04월_계_90~99세,367,41,36,90,127,19,35,18,1,0,0,0,0
2021년04월_계_100세 이상,19,0,2,7,6,2,1,1,0,0,0,0,0
2021년04월_남_총인구수,"22,948","2,718","1,890","6,422","7,703","1,073","1,897","1,194",51,0,0,0,0
2021년04월_남_연령구간인구수,"22,948","2,718","1,890","6,422","7,703","1,073","1,897","1,194",51,0,0,0,0
2021년04월_남_0~9세,"1,665",199,197,396,561,86,126,100,0,0,0,0,0
2021년04월_남_10~19세,"1,922",254,137,538,706,54,163,68,2,0,0,0,0
2021년04월_남_20~29세,"3,639",393,343,"1,076","1,071",277,278,200,1,0,0,0,0
2021년04월_남_30~39세,"2,556",316,248,714,807,145,177,147,2,0,0,0,0
2021년04월_남_40~49세,"3,005",344,220,852,"1,066",113,291,114,5,0,0,0,0
2021년04월_남_50~59세,"3,727",470,248,"1,045","1,326",121,337,169,11,0,0,0,0
2021년04월_남_60~69세,"3,439",386,264,996,"1,158",135,278,216,6,0,0,0,0
2021년04월_남_70~79세,"2,074",254,143,552,714,101,166,129,15,0,0,0,0
2021년04월_남_80~89세,831,93,82,228,259,36,78,46,9,0,0,0,0
2021년04월_남_90~99세,85,9,8,22,34,4,3,5,0,0,0,0,0
2021년04월_남_100세 이상,5,0,0,3,1,1,0,0,0,0,0,0,0
2021년04월_여_총인구수,"21,221","2,615","1,659","5,548","7,596",862,"1,854","1,032",55,0,0,0,0
2021년04월_여_연령구간인구수,"21,221","2,615","1,659","5,548","7,596",862,"1,854","1,032",55,0,0,0,0
2021년04월_여_0~9세,"1,646",229,158,415,574,84,105,81,0,0,0,0,0
2021년04월_여_10~19세,"1,773",210,127,444,719,33,172,67,1,0,0,0,0
2021년04월_여_20~29세,"1,957",263,176,492,701,105,150,69,1,0,0,0,0
2021년04월_여_30~39세,"2,077",249,203,526,729,91,166,112,1,0,0,0,0
2021년04월_여_40~49세,"2,609",298,170,746,996,76,240,80,3,0,0,0,0
2021년04월_여_50~59세,"3,295",394,212,937,"1,176",106,306,159,5,0,0,0,0
2021년04월_여_60~69세,"3,519",423,238,937,"1,238",145,321,204,13,0,0,0,0
2021년04월_여_70~79세,"2,586",330,218,648,865,124,218,160,23,0,0,0,0
2021년04월_여_80~89세,"1,463",187,127,331,500,82,143,86,7,0,0,0,0
2021년04월_여_90~99세,282,32,28,68,93,15,32,13,1,0,0,0,0
2021년04월_여_100세 이상,14,0,2,4,5,1,1,1,0,0,0,0,0
