,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2021년11월_계_총인구수,"81,012","2,614","2,409","2,454","3,475","3,715","1,297","2,449","1,725","1,745","2,553","4,953","2,193","1,873","4,518","1,327","10,976","12,713","11,652","6,371"
2021년11월_계_연령구간인구수,"81,012","2,614","2,409","2,454","3,475","3,715","1,297","2,449","1,725","1,745","2,553","4,953","2,193","1,873","4,518","1,327","10,976","12,713","11,652","6,371"
2021년11월_계_0~9세,"3,933",72,57,65,80,113,42,56,47,45,35,182,68,42,119,40,680,840,944,406
2021년11월_계_10~19세,"6,031",118,94,115,157,191,57,112,72,60,85,298,82,75,193,54,"1,026","1,385","1,361",496
2021년11월_계_20~29세,"6,956",165,108,133,251,254,79,181,75,100,121,390,109,140,291,70,"1,218","1,338","1,408",525
2021년11월_계_30~39세,"6,192",138,120,146,195,238,78,142,96,93,125,303,113,84,257,78,"1,062","1,196","1,142",586
2021년11월_계_40~49세,"9,570",240,201,229,308,368,99,199,154,166,222,533,182,155,409,130,"1,553","1,841","1,844",737
2021년11월_계_50~59세,"13,278",423,338,419,539,632,186,410,271,263,369,934,304,327,825,203,"1,786","2,126","1,911","1,012"
2021년11월_계_60~69세,"15,055",649,590,544,787,773,292,584,380,397,589,"1,036",499,412,"1,034",282,"1,749","1,825","1,509","1,124"
2021년11월_계_70~79세,"11,335",426,492,478,634,659,239,398,328,341,556,765,431,335,767,273,"1,165","1,275",927,846
2021년11월_계_80~89세,"7,373",326,353,280,429,406,197,308,257,231,388,435,351,264,522,169,613,795,501,548
2021년11월_계_90~99세,"1,250",56,55,42,93,81,28,55,45,49,62,76,50,38,92,28,120,92,104,84
2021년11월_계_100세 이상,39,1,1,3,2,0,0,4,0,0,1,1,4,1,9,0,4,0,1,7
2021년11월_남_총인구수,"40,222","1,318","1,194","1,310","1,777","1,814",622,"1,250",862,883,"1,231","2,531","1,080",949,"2,279",684,"5,420","6,140","5,714","3,164"
2021년11월_남_연령구간인구수,"40,222","1,318","1,194","1,310","1,777","1,814",622,"1,250",862,883,"1,231","2,531","1,080",949,"2,279",684,"5,420","6,140","5,714","3,164"
2021년11월_남_0~9세,"2,052",45,32,33,44,56,22,23,28,21,18,93,41,19,56,20,355,433,491,222
2021년11월_남_10~19세,"3,068",68,58,67,82,91,33,56,40,35,42,152,42,40,108,26,499,703,681,245
2021년11월_남_20~29세,"3,882",97,71,80,139,134,48,110,50,60,71,215,66,84,172,40,653,716,782,294
2021년11월_남_30~39세,"3,303",82,69,91,115,133,47,83,55,56,75,175,72,54,152,47,543,607,554,293
2021년11월_남_40~49세,"5,337",149,132,159,212,215,64,124,95,106,147,323,124,97,256,98,798,927,904,407
2021년11월_남_50~59세,"7,319",239,197,270,308,348,100,246,156,161,218,521,175,197,461,120,941,"1,079","1,022",560
2021년11월_남_60~69세,"7,632",330,299,286,430,397,144,313,187,220,300,547,257,230,544,144,842,864,726,572
2021년11월_남_70~79세,"5,003",205,227,225,289,295,99,187,146,142,226,337,179,142,342,118,543,538,383,380
2021년11월_남_80~89세,"2,330",93,102,89,130,122,57,90,95,72,123,144,113,78,161,61,214,249,156,181
2021년11월_남_90~99세,290,10,6,10,27,23,8,18,10,10,10,24,11,8,26,10,30,24,15,10
2021년11월_남_100세 이상,6,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0
2021년11월_여_총인구수,"40,790","1,296","1,215","1,144","1,698","1,901",675,"1,199",863,862,"1,322","2,422","1,113",924,"2,239",643,"5,556","6,573","5,938","3,207"
2021년11월_여_연령구간인구수,"40,790","1,296","1,215","1,144","1,698","1,901",675,"1,199",863,862,"1,322","2,422","1,113",924,"2,239",643,"5,556","6,573","5,938","3,207"
2021년11월_여_0~9세,"1,881",27,25,32,36,57,20,33,19,24,17,89,27,23,63,20,325,407,453,184
2021년11월_여_10~19세,"2,963",50,36,48,75,100,24,56,32,25,43,146,40,35,85,28,527,682,680,251
2021년11월_여_20~29세,"3,074",68,37,53,112,120,31,71,25,40,50,175,43,56,119,30,565,622,626,231
2021년11월_여_30~39세,"2,889",56,51,55,80,105,31,59,41,37,50,128,41,30,105,31,519,589,588,293
2021년11월_여_40~49세,"4,233",91,69,70,96,153,35,75,59,60,75,210,58,58,153,32,755,914,940,330
2021년11월_여_50~59세,"5,959",184,141,149,231,284,86,164,115,102,151,413,129,130,364,83,845,"1,047",889,452
2021년11월_여_60~69세,"7,423",319,291,258,357,376,148,271,193,177,289,489,242,182,490,138,907,961,783,552
2021년11월_여_70~79세,"6,332",221,265,253,345,364,140,211,182,199,330,428,252,193,425,155,622,737,544,466
2021년11월_여_80~89세,"5,043",233,251,191,299,284,140,218,162,159,265,291,238,186,361,108,399,546,345,367
2021년11월_여_90~99세,960,46,49,32,66,58,20,37,35,39,52,52,39,30,66,18,90,68,89,74
2021년11월_여_100세 이상,33,1,0,3,1,0,0,4,0,0,0,1,4,1,8,0,2,0,1,7
