카테고리,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2020년02월_계_총인구수,"395,201","32,209","12,720","45,666","28,754","25,604","29,408","32,728","23,382","27,761","25,628","14,699","12,807","39,647","23,817","20,371"
2020년02월_계_연령구간인구수,"395,201","32,209","12,720","45,666","28,754","25,604","29,408","32,728","23,382","27,761","25,628","14,699","12,807","39,647","23,817","20,371"
2020년02월_계_0~9세,"26,170","2,077",380,"3,180","2,390","1,416","1,892","2,445",886,"1,887","2,243",799,890,"2,494","1,653","1,538"
2020년02월_계_10~19세,"29,185","2,080",620,"3,427","1,998","1,784","2,031","2,248",993,"1,760","1,692",803,928,"4,427","2,638","1,756"
2020년02월_계_20~29세,"66,339","5,553","2,223","9,698","4,486","4,245","4,562","5,189","5,249","3,799","3,527","2,540","1,992","6,521","3,295","3,460"
2020년02월_계_30~39세,"63,626","5,363","1,875","6,584","4,973","4,367","5,017","4,871","4,770","4,659","4,259","2,599","2,127","5,615","3,103","3,444"
2020년02월_계_40~49세,"60,407","4,471","1,595","6,714","4,516","3,861","4,530","4,963","2,966","4,136","3,966","2,143","2,024","6,974","4,230","3,318"
2020년02월_계_50~59세,"59,170","4,789","2,282","6,417","4,188","3,939","4,560","5,249","3,204","4,310","3,782","2,191","1,953","5,873","3,706","2,727"
2020년02월_계_60~69세,"47,785","4,105","1,965","5,070","3,280","3,079","3,609","3,912","3,019","3,837","3,403","1,939","1,570","4,056","2,850","2,091"
2020년02월_계_70~79세,"29,238","2,480","1,207","3,069","1,950","2,056","2,199","2,499","1,740","2,379","2,010","1,212",919,"2,468","1,601","1,449"
2020년02월_계_80~89세,"11,279","1,090",482,"1,269",826,737,888,"1,117",481,837,627,398,340,"1,041",640,506
2020년02월_계_90~99세,"1,701",168,77,207,121,106,109,182,68,122,99,68,53,156,96,69
2020년02월_계_100세 이상,301,33,14,31,26,14,11,53,6,35,20,7,11,22,5,13
