,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2021년05월_계_총인구수,"540,423","55,708","18,240","6,440","7,452","3,799","3,134","5,913","9,740","9,155","9,887","73,728","80,454","9,560","40,198","33,117","7,630","57,054","36,360","72,854"
2021년05월_계_연령구간인구수,"540,423","55,708","18,240","6,440","7,452","3,799","3,134","5,913","9,740","9,155","9,887","73,728","80,454","9,560","40,198","33,117","7,630","57,054","36,360","72,854"
2021년05월_계_0~9세,"47,744","6,336","2,793",209,183,84,76,149,551,601,571,"4,657","7,148",535,"2,465","1,494",500,"5,220","3,524","10,648"
2021년05월_계_10~19세,"60,636","6,121","1,261",308,320,119,140,213,666,552,631,"7,441","10,402",725,"3,814","3,001",737,"8,009","5,126","11,050"
2021년05월_계_20~29세,"68,432","5,320","2,117",584,588,298,261,402,"1,306","1,038","1,389","12,273","10,835","1,223","5,982","5,690",998,"7,062","4,369","6,697"
2021년05월_계_30~39세,"67,980","8,548","3,953",522,569,253,213,380,"1,209","1,202","1,195","8,415","9,363",970,"4,290","2,909",768,"6,884","4,431","11,906"
2021년05월_계_40~49세,"97,435","10,907","2,986",762,695,352,326,545,"1,353","1,200","1,401","11,546","15,215","1,343","6,253","4,864","1,201","11,924","7,741","16,821"
2021년05월_계_50~59세,"97,472","8,315","2,736","1,434","1,547",806,713,"1,058","1,957","1,673","2,080","16,282","14,972","1,970","8,664","7,454","1,543","9,576","6,147","8,545"
2021년05월_계_60~69세,"60,840","6,159","1,590","1,410","1,845",974,823,"1,685","1,641","1,608","1,606","8,202","7,807","1,684","5,473","4,769","1,164","4,885","3,001","4,514"
2021년05월_계_70~79세,"26,618","2,645",496,742,"1,030",573,381,956,721,873,707,"3,175","3,185",750,"2,246","1,940",495,"2,358","1,413","1,932"
2021년05월_계_80~89세,"11,774","1,195",271,396,599,308,164,449,295,353,281,"1,565","1,359",329,912,902,195,"1,016",534,651
2021년05월_계_90~99세,"1,438",158,37,72,75,32,34,75,40,49,24,163,161,30,99,92,24,112,73,88
2021년05월_계_100세 이상,54,4,0,1,1,0,3,1,1,6,2,9,7,1,0,2,5,8,1,2
2021년05월_남_총인구수,"273,340","28,706","9,320","3,522","4,068","2,028","1,720","3,067","4,977","4,581","5,081","36,743","40,297","5,061","20,443","16,959","3,866","28,424","18,314","36,163"
2021년05월_남_연령구간인구수,"273,340","28,706","9,320","3,522","4,068","2,028","1,720","3,067","4,977","4,581","5,081","36,743","40,297","5,061","20,443","16,959","3,866","28,424","18,314","36,163"
2021년05월_남_0~9세,"24,353","3,282","1,413",118,93,53,47,70,291,315,304,"2,438","3,657",281,"1,274",756,260,"2,579","1,772","5,350"
2021년05월_남_10~19세,"31,468","3,168",651,168,190,63,73,118,317,292,333,"3,839","5,469",381,"2,004","1,583",361,"4,125","2,654","5,679"
2021년05월_남_20~29세,"37,345","2,966","1,069",378,382,186,152,253,727,575,761,"6,652","5,905",672,"3,235","3,186",555,"3,792","2,407","3,492"
2021년05월_남_30~39세,"35,043","4,428","2,005",290,370,157,136,228,675,624,662,"4,430","4,704",569,"2,336","1,635",418,"3,443","2,258","5,675"
2021년05월_남_40~49세,"48,458","5,851","1,578",478,453,215,209,319,693,628,742,"5,406","7,190",731,"3,153","2,427",595,"5,766","3,753","8,271"
2021년05월_남_50~59세,"49,983","4,322","1,378",834,895,448,396,566,"1,019",829,"1,039","7,941","7,615","1,070","4,352","3,724",774,"5,018","3,248","4,515"
2021년05월_남_60~69세,"31,095","3,060",898,768,"1,005",530,450,896,836,804,809,"4,312","3,986",902,"2,824","2,523",606,"2,338","1,452","2,096"
2021년05월_남_70~79세,"11,645","1,210",244,340,497,268,196,459,317,369,328,"1,260","1,331",337,973,829,220,"1,008",588,871
2021년05월_남_80~89세,"3,682",391,78,139,175,103,53,143,95,135,101,431,410,114,271,278,68,330,170,197
2021년05월_남_90~99세,255,27,6,9,8,5,8,15,6,9,2,32,30,4,21,17,7,21,11,17
2021년05월_남_100세 이상,13,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,2,4,1,0
2021년05월_여_총인구수,"267,083","27,002","8,920","2,918","3,384","1,771","1,414","2,846","4,763","4,574","4,806","36,985","40,157","4,499","19,755","16,158","3,764","28,630","18,046","36,691"
2021년05월_여_연령구간인구수,"267,083","27,002","8,920","2,918","3,384","1,771","1,414","2,846","4,763","4,574","4,806","36,985","40,157","4,499","19,755","16,158","3,764","28,630","18,046","36,691"
2021년05월_여_0~9세,"23,391","3,054","1,380",91,90,31,29,79,260,286,267,"2,219","3,491",254,"1,191",738,240,"2,641","1,752","5,298"
2021년05월_여_10~19세,"29,168","2,953",610,140,130,56,67,95,349,260,298,"3,602","4,933",344,"1,810","1,418",376,"3,884","2,472","5,371"
2021년05월_여_20~29세,"31,087","2,354","1,048",206,206,112,109,149,579,463,628,"5,621","4,930",551,"2,747","2,504",443,"3,270","1,962","3,205"
2021년05월_여_30~39세,"32,937","4,120","1,948",232,199,96,77,152,534,578,533,"3,985","4,659",401,"1,954","1,274",350,"3,441","2,173","6,231"
2021년05월_여_40~49세,"48,977","5,056","1,408",284,242,137,117,226,660,572,659,"6,140","8,025",612,"3,100","2,437",606,"6,158","3,988","8,550"
2021년05월_여_50~59세,"47,489","3,993","1,358",600,652,358,317,492,938,844,"1,041","8,341","7,357",900,"4,312","3,730",769,"4,558","2,899","4,030"
2021년05월_여_60~69세,"29,745","3,099",692,642,840,444,373,789,805,804,797,"3,890","3,821",782,"2,649","2,246",558,"2,547","1,549","2,418"
2021년05월_여_70~79세,"14,973","1,435",252,402,533,305,185,497,404,504,379,"1,915","1,854",413,"1,273","1,111",275,"1,350",825,"1,061"
2021년05월_여_80~89세,"8,092",804,193,257,424,205,111,306,200,218,180,"1,134",949,215,641,624,127,686,364,454
2021년05월_여_90~99세,"1,183",131,31,63,67,27,26,60,34,40,22,131,131,26,78,75,17,91,62,71
2021년05월_여_100세 이상,41,3,0,1,1,0,3,1,0,5,2,7,7,1,0,1,3,4,0,2
