,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년07월_계_총인구수,"550,640","23,539","14,512","8,397","27,126","13,735","17,370","31,244","29,083","23,354","16,615","31,999","21,761","43,481","16,207","76,397","37,954","20,101","11,242","35,925","19,528","18,295","12,775"
2021년07월_계_연령구간인구수,"550,640","23,539","14,512","8,397","27,126","13,735","17,370","31,244","29,083","23,354","16,615","31,999","21,761","43,481","16,207","76,397","37,954","20,101","11,242","35,925","19,528","18,295","12,775"
2021년07월_계_0~9세,"38,113","1,549",553,365,"2,010",600,"1,289","1,921","1,714","1,256",852,"1,362","2,141","4,802",559,"8,599","2,794","1,117",326,"2,176",827,704,597
2021년07월_계_10~19세,"53,555","2,004",689,544,"2,228",919,"1,610","3,418","2,824","2,388","1,330","2,293","2,193","8,318","1,110","8,344","4,564","1,428",571,"3,424","1,252","1,186",918
2021년07월_계_20~29세,"77,175","2,799","2,349","1,290","4,107","2,267","2,433","4,878","4,628","4,032","2,488","6,899","2,545","4,281","1,748","8,960","5,111","3,420","1,142","4,888","2,841","2,451","1,618"
2021년07월_계_30~39세,"64,137","2,668","1,842",920,"3,678","1,713","2,167","3,262","3,247","2,538","2,083","3,704","2,973","4,288","1,237","10,866","3,783","2,839",996,"3,759","2,196","1,909","1,469"
2021년07월_계_40~49세,"87,015","3,519","1,783","1,090","3,983","1,889","2,725","5,039","4,426","3,616","2,308","4,439","3,986","10,575","2,180","13,682","6,132","2,569","1,218","5,019","2,675","2,324","1,838"
2021년07월_계_50~59세,"101,919","4,107","2,540","1,478","5,060","2,701","3,355","6,681","6,442","5,126","3,451","6,336","3,697","6,211","2,980","11,952","7,084","3,802","2,153","7,194","3,713","3,374","2,482"
2021년07월_계_60~69세,"76,750","3,903","2,528","1,386","3,819","2,251","2,309","3,776","3,690","2,748","2,775","4,052","2,701","3,021","3,234","8,555","5,197","3,062","2,708","5,947","3,385","3,484","2,219"
2021년07월_계_70~79세,"34,765","2,068","1,502",875,"1,585",953,"1,045","1,556","1,413","1,090",935,"1,871","1,062","1,344","2,075","3,715","2,119","1,234","1,387","2,271","1,765","1,833","1,067"
2021년07월_계_80~89세,"15,327",838,659,411,585,399,389,645,639,509,355,925,408,549,972,"1,527","1,028",546,642,"1,109",785,918,489
2021년07월_계_90~99세,"1,825",78,60,38,69,42,47,64,59,49,37,116,53,84,110,193,137,82,98,136,86,109,78
2021년07월_계_100세 이상,59,6,7,0,2,1,1,4,1,2,1,2,2,8,2,4,5,2,1,2,3,3,0
2021년07월_남_총인구수,"271,525","11,450","7,078","4,085","13,225","6,784","8,571","15,674","14,669","11,720","8,424","16,468","10,759","21,319","7,767","37,533","18,562","9,949","5,397","17,411","9,632","8,751","6,297"
2021년07월_남_연령구간인구수,"271,525","11,450","7,078","4,085","13,225","6,784","8,571","15,674","14,669","11,720","8,424","16,468","10,759","21,319","7,767","37,533","18,562","9,949","5,397","17,411","9,632","8,751","6,297"
2021년07월_남_0~9세,"19,513",739,293,196,979,290,671,996,898,668,446,718,"1,056","2,449",316,"4,409","1,418",594,168,"1,124",430,353,302
2021년07월_남_10~19세,"27,787",936,345,284,"1,151",479,837,"1,837","1,502","1,217",693,"1,181","1,051","4,233",568,"4,382","2,507",777,308,"1,771",651,590,487
2021년07월_남_20~29세,"41,070","1,435","1,106",649,"2,030","1,186","1,295","2,606","2,547","2,166","1,366","3,714","1,359","2,339",972,"4,773","2,837","1,781",650,"2,636","1,451","1,277",895
2021년07월_남_30~39세,"33,562","1,386",961,486,"1,899",966,"1,132","1,713","1,762","1,375","1,178","2,208","1,525","1,910",681,"5,311","1,860","1,587",557,"1,965","1,225","1,054",821
2021년07월_남_40~49세,"42,248","1,825",988,567,"1,942",944,"1,308","2,346","2,088","1,680","1,139","2,303","1,987","4,811","1,125","6,649","2,765","1,265",653,"2,331","1,395","1,182",955
2021년07월_남_50~59세,"49,184","2,044","1,292",705,"2,392","1,274","1,619","3,280","3,092","2,495","1,615","3,223","1,817","3,358","1,491","5,654","3,314","1,741",995,"3,239","1,780","1,591","1,173"
