카테고리,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2021년09월_계_총인구수,"40,708","2,822","2,697","6,313","10,599","4,546",974,933,"4,717","7,107"
2021년09월_계_연령구간인구수,"40,708","2,822","2,697","6,313","10,599","4,546",974,933,"4,717","7,107"
2021년09월_계_0~9세,"1,180",28,67,177,344,104,20,14,170,256
2021년09월_계_10~19세,"1,911",66,93,361,540,195,34,30,191,401
2021년09월_계_20~29세,"5,832",791,305,926,"1,522",561,93,61,833,740
2021년09월_계_30~39세,"4,523",569,228,662,"1,128",474,98,72,664,628
2021년09월_계_40~49세,"5,176",336,311,850,"1,396",546,100,98,648,891
2021년09월_계_50~59세,"6,800",367,480,"1,051","1,786",771,176,196,694,"1,279"
2021년09월_계_60~69세,"7,877",373,561,"1,163","2,033","1,009",245,265,784,"1,444"
2021년09월_계_70~79세,"4,943",188,425,758,"1,222",601,127,142,489,991
2021년09월_계_80~89세,"2,126",87,193,297,553,242,65,46,216,427
2021년09월_계_90~99세,322,17,33,65,70,40,13,7,28,49
2021년09월_계_100세 이상,18,0,1,3,5,3,3,2,0,1
2021년09월_남_총인구수,"19,863","1,349","1,368","2,963","5,139","2,151",495,532,"2,419","3,447"
2021년09월_남_연령구간인구수,"19,863","1,349","1,368","2,963","5,139","2,151",495,532,"2,419","3,447"
2021년09월_남_0~9세,621,14,31,95,174,61,12,9,91,134
2021년09월_남_10~19세,948,39,44,164,270,100,16,15,95,205
2021년09월_남_20~29세,"2,833",305,164,442,758,274,51,36,410,393
2021년09월_남_30~39세,"2,464",276,132,351,596,263,54,44,397,351
2021년09월_남_40~49세,"2,837",188,181,447,764,292,49,59,382,475
2021년09월_남_50~59세,"3,451",198,247,500,894,380,95,133,363,641
2021년09월_남_60~69세,"3,729",196,282,550,937,437,129,152,386,660
2021년09월_남_70~79세,"2,129",92,201,294,520,261,60,69,216,416
2021년09월_남_80~89세,770,40,80,107,204,77,23,11,71,157
2021년09월_남_90~99세,78,1,6,12,21,6,5,4,8,15
2021년09월_남_100세 이상,3,0,0,1,1,0,1,0,0,0
2021년09월_여_총인구수,"20,845","1,473","1,329","3,350","5,460","2,395",479,401,"2,298","3,660"
2021년09월_여_연령구간인구수,"20,845","1,473","1,329","3,350","5,460","2,395",479,401,"2,298","3,660"
2021년09월_여_0~9세,559,14,36,82,170,43,8,5,79,122
2021년09월_여_10~19세,963,27,49,197,270,95,18,15,96,196
2021년09월_여_20~29세,"2,999",486,141,484,764,287,42,25,423,347
2021년09월_여_30~39세,"2,059",293,96,311,532,211,44,28,267,277
2021년09월_여_40~49세,"2,339",148,130,403,632,254,51,39,266,416
2021년09월_여_50~59세,"3,349",169,233,551,892,391,81,63,331,638
2021년09월_여_60~69세,"4,148",177,279,613,"1,096",572,116,113,398,784
2021년09월_여_70~79세,"2,814",96,224,464,702,340,67,73,273,575
2021년09월_여_80~89세,"1,356",47,113,190,349,165,42,35,145,270
2021년09월_여_90~99세,244,16,27,53,49,34,8,3,20,34
2021년09월_여_100세 이상,15,0,1,2,4,3,2,2,0,1
