카테고리,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2020년11월_계_총인구수,"69,074","22,684","7,825","4,887","7,001","4,506","4,236","3,062","4,063","1,848","3,204","2,901","2,215",376,266
2020년11월_계_연령구간인구수,"69,074","22,684","7,825","4,887","7,001","4,506","4,236","3,062","4,063","1,848","3,204","2,901","2,215",376,266
2020년11월_계_0~9세,"3,330","1,470",512,178,312,155,163,73,125,61,127,70,68,9,7
2020년11월_계_10~19세,"4,630","2,187",680,208,403,204,233,117,152,76,142,112,102,12,2
2020년11월_계_20~29세,"5,347","2,294",702,317,503,258,254,185,230,87,206,172,112,17,10
2020년11월_계_30~39세,"5,336","2,127",660,333,616,334,254,183,240,69,216,151,126,20,7
2020년11월_계_40~49세,"7,740","3,239","1,080",423,728,376,427,267,343,147,279,202,192,23,14
2020년11월_계_50~59세,"11,963","3,809","1,349",867,"1,332",787,728,523,639,337,542,540,387,73,50
2020년11월_계_60~69세,"14,175","3,610","1,396","1,230","1,620","1,156",973,761,946,433,677,642,549,102,80
2020년11월_계_70~79세,"10,102","2,499",866,779,955,762,711,605,818,376,594,616,397,65,59
2020년11월_계_80~89세,"5,607","1,263",494,458,442,402,428,319,516,234,373,350,247,50,31
2020년11월_계_90~99세,809,170,86,91,87,71,62,28,52,28,44,45,34,5,6
2020년11월_계_100세 이상,35,16,0,3,3,1,3,1,2,0,4,1,1,0,0
2020년11월_남_총인구수,"34,607","11,193","3,913","2,468","3,522","2,301","2,111","1,505","2,071",914,"1,613","1,501","1,158",193,144
2020년11월_남_연령구간인구수,"34,607","11,193","3,913","2,468","3,522","2,301","2,111","1,505","2,071",914,"1,613","1,501","1,158",193,144
2020년11월_남_0~9세,"1,752",785,259,82,159,70,87,45,68,34,67,42,43,7,4
2020년11월_남_10~19세,"2,382","1,088",350,110,210,123,124,62,81,35,68,58,65,7,1
2020년11월_남_20~29세,"3,058","1,289",403,185,294,148,146,102,144,52,112,106,64,7,6
2020년11월_남_30~39세,"2,805","1,100",328,173,306,193,138,99,130,35,127,83,78,11,4
2020년11월_남_40~49세,"4,203","1,645",556,247,414,221,243,151,201,77,176,133,114,15,10
2020년11월_남_50~59세,"6,163","1,926",693,443,670,384,372,253,350,192,304,294,209,44,29
2020년11월_남_60~69세,"7,067","1,749",689,628,803,597,490,376,484,216,321,335,287,48,44
2020년11월_남_70~79세,"4,759","1,101",422,398,468,374,324,282,385,169,293,290,187,36,30
2020년11월_남_80~89세,"2,210",464,191,181,179,171,171,126,221,99,131,144,103,15,14
2020년11월_남_90~99세,199,41,22,21,17,20,15,8,7,5,14,16,8,3,2
2020년11월_남_100세 이상,9,5,0,0,2,0,1,1,0,0,0,0,0,0,0
2020년11월_여_총인구수,"34,467","11,491","3,912","2,419","3,479","2,205","2,125","1,557","1,992",934,"1,591","1,400","1,057",183,122
2020년11월_여_연령구간인구수,"34,467","11,491","3,912","2,419","3,479","2,205","2,125","1,557","1,992",934,"1,591","1,400","1,057",183,122
2020년11월_여_0~9세,"1,578",685,253,96,153,85,76,28,57,27,60,28,25,2,3
2020년11월_여_10~19세,"2,248","1,099",330,98,193,81,109,55,71,41,74,54,37,5,1
2020년11월_여_20~29세,"2,289","1,005",299,132,209,110,108,83,86,35,94,66,48,10,4
2020년11월_여_30~39세,"2,531","1,027",332,160,310,141,116,84,110,34,89,68,48,9,3
2020년11월_여_40~49세,"3,537","1,594",524,176,314,155,184,116,142,70,103,69,78,8,4
2020년11월_여_50~59세,"5,800","1,883",656,424,662,403,356,270,289,145,238,246,178,29,21
2020년11월_여_60~69세,"7,108","1,861",707,602,817,559,483,385,462,217,356,307,262,54,36
2020년11월_여_70~79세,"5,343","1,398",444,381,487,388,387,323,433,207,301,326,210,29,29
2020년11월_여_80~89세,"3,397",799,303,277,263,231,257,193,295,135,242,206,144,35,17
2020년11월_여_90~99세,610,129,64,70,70,51,47,20,45,23,30,29,26,2,4
2020년11월_여_100세 이상,26,11,0,3,1,1,2,0,2,0,4,1,1,0,0
