카테고리,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2021년05월_계_총인구수,"34,275","13,486","4,418","2,287","1,136","2,508","1,776","2,786","1,833","1,624",628,"1,793"
2021년05월_계_연령구간인구수,"34,275","13,486","4,418","2,287","1,136","2,508","1,776","2,786","1,833","1,624",628,"1,793"
2021년05월_계_0~9세,"1,682",948,250,61,25,51,67,102,41,47,15,75
2021년05월_계_10~19세,"2,457","1,328",337,118,44,141,95,124,60,80,45,85
2021년05월_계_20~29세,"2,818","1,505",375,140,64,118,69,179,112,93,36,127
2021년05월_계_30~39세,"2,343","1,226",337,101,53,104,80,161,83,67,19,112
2021년05월_계_40~49세,"3,674","1,829",470,188,97,197,160,239,124,139,50,181
2021년05월_계_50~59세,"5,606","2,216",721,388,181,378,291,431,317,264,99,320
2021년05월_계_60~69세,"6,338","2,061",764,473,260,574,408,612,375,336,112,363
2021년05월_계_70~79세,"5,139","1,425",605,443,239,494,313,504,366,300,126,324
2021년05월_계_80~89세,"3,610",817,483,322,141,378,260,367,309,250,103,180
2021년05월_계_90~99세,579,121,74,51,31,64,32,67,44,46,23,26
2021년05월_계_100세 이상,29,10,2,2,1,9,1,0,2,2,0,0
2021년05월_남_총인구수,"16,582","6,508","2,152","1,106",543,"1,215",847,"1,360",882,766,313,890
2021년05월_남_연령구간인구수,"16,582","6,508","2,152","1,106",543,"1,215",847,"1,360",882,766,313,890
2021년05월_남_0~9세,833,478,123,36,8,25,24,50,25,20,8,36
2021년05월_남_10~19세,"1,268",670,187,52,22,78,49,58,30,46,26,50
2021년05월_남_20~29세,"1,594",815,226,81,40,72,40,112,60,55,23,70
2021년05월_남_30~39세,"1,201",614,178,56,29,61,37,82,47,35,6,56
2021년05월_남_40~49세,"2,032",913,243,116,63,121,104,147,81,91,37,116
2021년05월_남_50~59세,"3,030","1,125",387,205,106,222,158,243,192,146,63,183
2021년05월_남_60~69세,"3,180","1,007",411,247,121,293,200,311,191,169,60,170
2021년05월_남_70~79세,"2,217",615,243,195,109,218,148,221,151,116,58,143
2021년05월_남_80~89세,"1,121",248,140,110,41,112,85,120,97,79,26,63
2021년05월_남_90~99세,100,22,14,7,4,11,2,16,7,8,6,3
2021년05월_남_100세 이상,6,1,0,1,0,2,0,0,1,1,0,0
2021년05월_여_총인구수,"17,693","6,978","2,266","1,181",593,"1,293",929,"1,426",951,858,315,903
2021년05월_여_연령구간인구수,"17,693","6,978","2,266","1,181",593,"1,293",929,"1,426",951,858,315,903
2021년05월_여_0~9세,849,470,127,25,17,26,43,52,16,27,7,39
2021년05월_여_10~19세,"1,189",658,150,66,22,63,46,66,30,34,19,35
2021년05월_여_20~29세,"1,224",690,149,59,24,46,29,67,52,38,13,57
2021년05월_여_30~39세,"1,142",612,159,45,24,43,43,79,36,32,13,56
2021년05월_여_40~49세,"1,642",916,227,72,34,76,56,92,43,48,13,65
2021년05월_여_50~59세,"2,576","1,091",334,183,75,156,133,188,125,118,36,137
2021년05월_여_60~69세,"3,158","1,054",353,226,139,281,208,301,184,167,52,193
2021년05월_여_70~79세,"2,922",810,362,248,130,276,165,283,215,184,68,181
2021년05월_여_80~89세,"2,489",569,343,212,100,266,175,247,212,171,77,117
2021년05월_여_90~99세,479,99,60,44,27,53,30,51,37,38,17,23
2021년05월_여_100세 이상,23,9,2,1,1,7,1,0,1,1,0,0
