카테고리,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2020년04월_계_총인구수,"1,074,853","472,467","15,485","23,874","44,531","21,927","11,646","10,764","22,121","20,291","30,861","36,563","15,913","38,573","33,846","19,661","22,503","32,944","46,662","21,664","2,638","299,276","34,447","47,915","24,088","39,551","31,215","20,989","24,705","16,715","10,620","26,377","22,654","303,110","28,189","19,020","36,402","52,867","28,503","29,658","34,876","21,730","51,865"
2020년04월_계_연령구간인구수,"1,074,853","472,467","15,485","23,874","44,531","21,927","11,646","10,764","22,121","20,291","30,861","36,563","15,913","38,573","33,846","19,661","22,503","32,944","46,662","21,664","2,638","299,276","34,447","47,915","24,088","39,551","31,215","20,989","24,705","16,715","10,620","26,377","22,654","303,110","28,189","19,020","36,402","52,867","28,503","29,658","34,876","21,730","51,865"
2020년04월_계_0~9세,"84,519","39,203",628,"3,253","5,602","1,340",689,"1,469","2,186","2,501","2,432","2,273",955,"2,190","2,845",811,"1,554","2,442","2,988","2,950",95,"21,622","3,454","3,611","1,325","3,409","2,129",970,"1,517","1,266","1,337","1,172","1,432","23,694","2,177","1,037","2,719","4,917","2,059","2,089","2,219","1,651","4,826"
2020년04월_계_10~19세,"107,691","42,319","1,314","1,878","3,732","1,958","1,128",764,"1,429","1,489","3,282","2,891","1,302","3,843","3,939","1,315","2,198","3,067","5,110","1,507",173,"30,504","4,650","4,728","2,254","4,681","2,970","1,415","3,348","2,276",950,"1,611","1,621","34,868","2,829","1,586","5,918","5,851","3,418","3,351","3,037","2,379","6,499"
2020년04월_계_20~29세,"150,832","62,821","2,202","2,394","5,021","2,985","1,449","1,458","2,709","2,323","3,566","4,361","2,162","6,315","4,716","2,981","3,194","5,029","7,049","2,450",457,"44,917","4,736","7,133","4,092","5,444","5,031","3,372","3,870","2,298","1,140","4,903","2,898","43,094","4,075","2,851","4,975","7,651","3,751","3,888","6,211","3,108","6,584"
2020년04월_계_30~39세,"142,505","67,039","1,512","4,223","7,935","2,511","1,357","2,321","4,263","4,531","3,529","4,299","1,820","4,329","4,322","2,337","2,792","4,975","5,210","4,498",275,"38,647","3,794","5,737","2,980","4,858","4,624","3,503","2,316","1,596","1,654","4,704","2,881","36,819","3,393","2,014","3,496","7,315","3,276","3,423","5,035","2,934","5,933"
2020년04월_계_40~49세,"185,089","79,096","2,317","4,281","8,185","3,638","1,834","1,742","3,540","3,512","5,471","5,762","2,392","6,233","6,532","2,928","3,721","5,187","7,922","3,580",319,"52,371","6,947","7,623","3,786","7,102","5,308","3,859","4,342","3,038","1,951","4,914","3,501","53,622","4,607","2,741","7,416","9,559","4,908","5,011","5,487","3,857","10,036"
2020년04월_계_50~59세,"193,448","82,236","3,246","3,332","6,188","4,295","2,124","1,443","3,251","2,547","5,051","6,942","3,256","7,621","5,778","4,163","4,296","6,090","9,246","2,880",487,"55,519","6,065","9,321","4,610","6,905","5,715","3,843","4,845","3,129","1,854","4,702","4,530","55,693","5,292","4,293","6,564","9,512","5,071","5,285","6,523","3,943","9,210"
2020년04월_계_60~69세,"113,332","53,405","2,288","2,652","4,393","2,749","1,525",849,"2,550","1,952","3,931","5,485","2,185","3,853","2,890","2,818","2,584","3,198","4,860","2,200",443,"30,577","2,741","5,256","2,793","3,978","3,141","2,144","2,429","1,481","1,096","2,262","3,256","29,350","3,037","2,519","2,975","4,252","2,914","3,025","3,527","2,123","4,978"
2020년04월_계_70~79세,"60,969","29,879","1,268","1,270","2,384","1,579",960,450,"1,506",983,"2,398","3,043","1,208","2,534","1,714","1,481","1,369","1,844","2,578","1,053",257,"15,322","1,342","2,691","1,434","1,983","1,448","1,133","1,211",850,446,"1,210","1,574","15,768","1,794","1,240","1,364","2,298","1,722","1,979","1,793","1,102","2,476"
