,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2021년05월_계_총인구수,"39,891","9,058","11,571","1,105","1,413","1,173","1,208","1,676",888,"3,695","2,777","1,213","3,047","1,067"
2021년05월_계_연령구간인구수,"39,891","9,058","11,571","1,105","1,413","1,173","1,208","1,676",888,"3,695","2,777","1,213","3,047","1,067"
2021년05월_계_0~9세,"1,658",640,490,29,36,29,36,63,17,105,63,43,83,24
2021년05월_계_10~19세,"2,545",845,807,42,62,46,72,76,49,166,121,68,160,31
2021년05월_계_20~29세,"2,886",948,792,63,85,68,58,105,41,223,138,92,193,80
2021년05월_계_30~39세,"2,398",799,694,49,79,56,56,67,27,186,143,74,122,46
2021년05월_계_40~49세,"4,068","1,227","1,218",88,115,93,107,127,84,317,231,126,265,70
2021년05월_계_50~59세,"6,580","1,492","1,878",168,239,188,201,268,158,570,461,195,586,176
2021년05월_계_60~69세,"7,653","1,363","2,238",226,293,220,221,358,192,788,619,248,669,218
2021년05월_계_70~79세,"6,531",993,"1,969",201,256,225,217,297,172,731,508,209,541,212
2021년05월_계_80~89세,"4,798",665,"1,275",196,215,215,211,278,127,524,413,144,359,176
2021년05월_계_90~99세,750,82,203,42,32,32,28,37,20,84,76,14,66,34
2021년05월_계_100세 이상,24,4,7,1,1,1,1,0,1,1,4,0,3,0
2021년05월_남_총인구수,"19,498","4,455","5,674",527,700,568,588,795,453,"1,782","1,348",587,"1,506",515
2021년05월_남_연령구간인구수,"19,498","4,455","5,674",527,700,568,588,795,453,"1,782","1,348",587,"1,506",515
2021년05월_남_0~9세,874,349,257,14,18,12,22,25,8,58,28,29,42,12
2021년05월_남_10~19세,"1,299",404,428,26,36,26,39,44,22,90,65,27,75,17
2021년05월_남_20~29세,"1,650",526,443,36,48,37,36,60,24,130,87,63,119,41
2021년05월_남_30~39세,"1,287",403,381,29,47,27,31,33,20,98,78,41,72,27
2021년05월_남_40~49세,"2,325",622,695,56,74,55,70,76,52,203,144,74,158,46
2021년05월_남_50~59세,"3,686",791,"1,056",99,142,117,121,149,106,329,280,88,310,98
2021년05월_남_60~69세,"3,889",668,"1,117",122,162,115,116,201,101,387,306,125,356,113
2021년05월_남_70~79세,"2,814",442,840,94,101,107,83,126,79,311,212,95,234,90
2021년05월_남_80~89세,"1,515",234,417,42,68,61,66,72,37,159,129,45,125,60
2021년05월_남_90~99세,155,16,37,9,4,11,4,9,4,17,18,0,15,11
2021년05월_남_100세 이상,4,0,3,0,0,0,0,0,0,0,1,0,0,0
2021년05월_여_총인구수,"20,393","4,603","5,897",578,713,605,620,881,435,"1,913","1,429",626,"1,541",552
2021년05월_여_연령구간인구수,"20,393","4,603","5,897",578,713,605,620,881,435,"1,913","1,429",626,"1,541",552
2021년05월_여_0~9세,784,291,233,15,18,17,14,38,9,47,35,14,41,12
2021년05월_여_10~19세,"1,246",441,379,16,26,20,33,32,27,76,56,41,85,14
2021년05월_여_20~29세,"1,236",422,349,27,37,31,22,45,17,93,51,29,74,39
2021년05월_여_30~39세,"1,111",396,313,20,32,29,25,34,7,88,65,33,50,19
2021년05월_여_40~49세,"1,743",605,523,32,41,38,37,51,32,114,87,52,107,24
2021년05월_여_50~59세,"2,894",701,822,69,97,71,80,119,52,241,181,107,276,78
2021년05월_여_60~69세,"3,764",695,"1,121",104,131,105,105,157,91,401,313,123,313,105
2021년05월_여_70~79세,"3,717",551,"1,129",107,155,118,134,171,93,420,296,114,307,122
2021년05월_여_80~89세,"3,283",431,858,154,147,154,145,206,90,365,284,99,234,116
2021년05월_여_90~99세,595,66,166,33,28,21,24,28,16,67,58,14,51,23
2021년05월_여_100세 이상,20,4,4,1,1,1,1,0,1,1,3,0,3,0
