,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2020년07월_계_총인구수,"219,635","10,388","17,477","8,970","4,888","11,410","13,633","19,950","34,115","23,382","22,689","20,518","11,022","21,193"
2020년07월_계_연령구간인구수,"219,635","10,388","17,477","8,970","4,888","11,410","13,633","19,950","34,115","23,382","22,689","20,518","11,022","21,193"
2020년07월_계_0~9세,"17,179",468,"1,419",431,242,945,491,"1,388","3,614","1,162","1,509","2,074","1,317","2,119"
2020년07월_계_10~19세,"20,406",655,"1,336",625,320,"1,137",689,"1,650","3,642","2,192","2,339","1,900","1,326","2,595"
2020년07월_계_20~29세,"27,463","1,117","2,235","1,364",610,"1,532","1,645","2,465","3,999","3,258","3,044","2,351","1,375","2,468"
2020년07월_계_30~39세,"27,214","1,069","2,533","1,050",527,"1,640","1,388","2,507","4,575","2,157","2,346","2,902","1,714","2,806"
2020년07월_계_40~49세,"34,820","1,416","2,675","1,184",594,"1,788","1,713","2,964","6,007","3,621","3,422","3,338","1,858","4,240"
2020년07월_계_50~59세,"41,815","1,943","3,503","1,813",999,"2,101","2,695","3,694","5,926","5,075","4,850","3,753","1,965","3,498"
2020년07월_계_60~69세,"31,013","2,016","2,432","1,474",953,"1,371","2,817","3,158","4,135","3,476","3,331","2,712",981,"2,157"
2020년07월_계_70~79세,"14,019","1,223",969,756,465,619,"1,523","1,463","1,606","1,709","1,350","1,061",349,926
2020년07월_계_80~89세,"5,039",427,327,240,149,238,583,601,535,669,438,387,123,322
2020년07월_계_90~99세,611,50,46,31,23,36,65,57,75,61,56,38,13,60
2020년07월_계_100세 이상,56,4,2,2,6,3,24,3,1,2,4,2,1,2
2020년07월_남_총인구수,"111,380","5,301","9,101","4,570","2,435","5,707","7,038","10,043","17,067","11,865","11,504","10,410","5,557","10,782"
2020년07월_남_연령구간인구수,"111,380","5,301","9,101","4,570","2,435","5,707","7,038","10,043","17,067","11,865","11,504","10,410","5,557","10,782"
2020년07월_남_0~9세,"8,889",240,729,236,138,464,256,751,"1,924",572,756,"1,041",684,"1,098"
2020년07월_남_10~19세,"10,925",332,702,326,163,625,364,884,"1,931","1,226","1,277","1,040",693,"1,362"
2020년07월_남_20~29세,"15,276",636,"1,239",740,332,827,926,"1,370","2,275","1,827","1,721","1,303",728,"1,352"
2020년07월_남_30~39세,"14,346",617,"1,399",589,302,883,847,"1,301","2,225","1,196","1,239","1,493",842,"1,413"
2020년07월_남_40~49세,"17,655",810,"1,439",611,300,874,951,"1,489","2,950","1,780","1,668","1,742",887,"2,154"
2020년07월_남_50~59세,"20,851","1,021","1,786",903,478,"1,014","1,370","1,845","2,799","2,555","2,411","1,839","1,011","1,819"
2020년07월_남_60~69세,"15,157",950,"1,213",708,455,646,"1,421","1,540","2,013","1,709","1,620","1,333",508,"1,041"
2020년07월_남_70~79세,"6,422",536,473,367,199,294,667,633,765,775,638,480,157,438
2020년07월_남_80~89세,"1,748",153,114,85,57,74,217,216,175,212,168,133,44,100
2020년07월_남_90~99세,100,5,7,5,8,6,15,14,10,12,6,5,3,4
2020년07월_남_100세 이상,11,1,0,0,3,0,4,0,0,1,0,1,0,1
2020년07월_여_총인구수,"108,255","5,087","8,376","4,400","2,453","5,703","6,595","9,907","17,048","11,517","11,185","10,108","5,465","10,411"
2020년07월_여_연령구간인구수,"108,255","5,087","8,376","4,400","2,453","5,703","6,595","9,907","17,048","11,517","11,185","10,108","5,465","10,411"
2020년07월_여_0~9세,"8,290",228,690,195,104,481,235,637,"1,690",590,753,"1,033",633,"1,021"
2020년07월_여_10~19세,"9,481",323,634,299,157,512,325,766,"1,711",966,"1,062",860,633,"1,233"
2020년07월_여_20~29세,"12,187",481,996,624,278,705,719,"1,095","1,724","1,431","1,323","1,048",647,"1,116"
2020년07월_여_30~39세,"12,868",452,"1,134",461,225,757,541,"1,206","2,350",961,"1,107","1,409",872,"1,393"
2020년07월_여_40~49세,"17,165",606,"1,236",573,294,914,762,"1,475","3,057","1,841","1,754","1,596",971,"2,086"
2020년07월_여_50~59세,"20,964",922,"1,717",910,521,"1,087","1,325","1,849","3,127","2,520","2,439","1,914",954,"1,679"
2020년07월_여_60~69세,"15,856","1,066","1,219",766,498,725,"1,396","1,618","2,122","1,767","1,711","1,379",473,"1,116"
2020년07월_여_70~79세,"7,597",687,496,389,266,325,856,830,841,934,712,581,192,488
2020년07월_여_80~89세,"3,291",274,213,155,92,164,366,385,360,457,270,254,79,222
2020년07월_여_90~99세,511,45,39,26,15,30,50,43,65,49,50,33,10,56
2020년07월_여_100세 이상,45,3,2,2,3,3,20,3,1,1,4,1,1,1
