카테고리,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2021년09월_계_총인구수,"23,764","9,401","2,188","4,010","2,573","4,194","1,398"
2021년09월_계_연령구간인구수,"23,764","9,401","2,188","4,010","2,573","4,194","1,398"
2021년09월_계_0~9세,"1,096",672,49,158,62,119,36
2021년09월_계_10~19세,"1,789",997,100,279,113,246,54
2021년09월_계_20~29세,"1,688",853,103,325,135,217,55
2021년09월_계_30~39세,"1,626",856,126,244,108,225,67
2021년09월_계_40~49세,"2,748","1,411",179,468,224,365,101
2021년09월_계_50~59세,"4,122","1,512",435,773,429,744,229
2021년09월_계_60~69세,"4,616","1,338",533,812,589,972,372
2021년09월_계_70~79세,"3,293",981,347,542,465,690,268
2021년09월_계_80~89세,"2,429",674,277,362,396,540,180
2021년09월_계_90~99세,335,99,38,45,50,68,35
2021년09월_계_100세 이상,22,8,1,2,2,8,1
2021년09월_남_총인구수,"11,826","4,690","1,092","2,013","1,259","2,072",700
2021년09월_남_연령구간인구수,"11,826","4,690","1,092","2,013","1,259","2,072",700
2021년09월_남_0~9세,588,363,29,89,28,63,16
2021년09월_남_10~19세,901,490,58,156,52,119,26
2021년09월_남_20~29세,936,468,59,163,83,129,34
2021년09월_남_30~39세,893,446,70,139,67,131,40
2021년09월_남_40~49세,"1,527",736,112,261,128,225,65
2021년09월_남_50~59세,"2,283",840,223,436,244,406,134
2021년09월_남_60~69세,"2,389",669,277,421,317,507,198
2021년09월_남_70~79세,"1,385",420,160,215,181,293,116
2021년09월_남_80~89세,847,237,93,125,147,182,63
2021년09월_남_90~99세,73,21,10,8,12,14,8
2021년09월_남_100세 이상,4,0,1,0,0,3,0
2021년09월_여_총인구수,"11,938","4,711","1,096","1,997","1,314","2,122",698
2021년09월_여_연령구간인구수,"11,938","4,711","1,096","1,997","1,314","2,122",698
2021년09월_여_0~9세,508,309,20,69,34,56,20
2021년09월_여_10~19세,888,507,42,123,61,127,28
2021년09월_여_20~29세,752,385,44,162,52,88,21
2021년09월_여_30~39세,733,410,56,105,41,94,27
2021년09월_여_40~49세,"1,221",675,67,207,96,140,36
2021년09월_여_50~59세,"1,839",672,212,337,185,338,95
2021년09월_여_60~69세,"2,227",669,256,391,272,465,174
2021년09월_여_70~79세,"1,908",561,187,327,284,397,152
2021년09월_여_80~89세,"1,582",437,184,237,249,358,117
2021년09월_여_90~99세,262,78,28,37,38,54,27
2021년09월_여_100세 이상,18,8,0,2,2,5,1
