카테고리,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2021년08월_계_총인구수,"132,090","6,716","1,903","1,269","2,012","2,170",703,"3,304","4,594","18,675","9,950","5,810","4,892","10,161","17,989","11,136","15,520","15,286"
2021년08월_계_연령구간인구수,"132,090","6,716","1,903","1,269","2,012","2,170",703,"3,304","4,594","18,675","9,950","5,810","4,892","10,161","17,989","11,136","15,520","15,286"
2021년08월_계_0~9세,"8,344",248,38,23,36,66,19,76,98,"1,515",775,241,196,772,"1,298",694,659,"1,590"
2021년08월_계_10~19세,"11,421",336,87,42,65,189,34,133,195,"2,269","1,092",387,282,885,"1,796","1,153","1,085","1,391"
2021년08월_계_20~29세,"14,515",476,108,68,74,71,35,160,346,"2,280","1,267",667,566,"1,026","2,651","1,335","1,851","1,534"
2021년08월_계_30~39세,"12,584",388,94,64,78,83,35,138,230,"1,905","1,017",453,403,"1,084","2,139","1,000","1,391","2,082"
2021년08월_계_40~49세,"17,876",682,131,77,129,165,67,229,377,"3,186","1,591",715,519,"1,435","2,662","1,702","1,852","2,357"
2021년08월_계_50~59세,"23,514","1,265",357,257,384,356,139,595,859,"3,465","1,784",993,896,"1,734","3,083","2,150","2,835","2,362"
2021년08월_계_60~69세,"24,045","1,761",559,368,612,597,197,"1,038","1,291","2,414","1,416","1,238","1,123","1,697","2,560","1,681","3,345","2,148"
2021년08월_계_70~79세,"12,343",927,270,214,377,388,91,523,701,"1,070",620,747,623,964,"1,089",910,"1,683","1,146"
2021년08월_계_80~89세,"6,563",557,219,144,235,218,71,365,426,517,332,325,263,491,640,444,713,603
2021년08월_계_90~99세,825,75,34,12,22,37,14,47,66,49,53,40,20,57,69,61,100,69
2021년08월_계_100세 이상,60,1,6,0,0,0,1,0,5,5,3,4,1,16,2,6,6,4
2021년08월_남_총인구수,"66,375","3,447","1,020",650,"1,046","1,107",358,"1,698","2,418","9,207","4,907","2,891","2,450","5,082","8,966","5,578","7,809","7,741"
2021년08월_남_연령구간인구수,"66,375","3,447","1,020",650,"1,046","1,107",358,"1,698","2,418","9,207","4,907","2,891","2,450","5,082","8,966","5,578","7,809","7,741"
2021년08월_남_0~9세,"4,285",135,26,16,19,40,8,44,45,777,422,110,102,408,645,358,329,801
2021년08월_남_10~19세,"5,918",170,53,19,34,102,18,72,111,"1,156",552,205,143,468,912,602,589,712
2021년08월_남_20~29세,"8,106",272,67,37,50,45,25,97,215,"1,221",678,348,335,578,"1,461",755,"1,064",858
2021년08월_남_30~39세,"6,646",224,59,44,54,43,20,80,157,946,500,264,228,538,"1,139",520,789,"1,041"
2021년08월_남_40~49세,"9,185",380,74,47,79,103,38,134,234,"1,526",776,369,284,765,"1,310",817,975,"1,274"
2021년08월_남_50~59세,"12,025",675,203,133,203,187,80,307,450,"1,733",893,514,456,875,"1,537","1,134","1,388","1,257"
2021년08월_남_60~69세,"12,030",926,316,195,329,313,101,554,685,"1,205",698,582,511,821,"1,317",847,"1,587","1,043"
2021년08월_남_70~79세,"5,593",438,134,102,187,191,38,263,338,453,265,352,285,423,437,376,804,507
2021년08월_남_80~89세,"2,391",212,78,55,86,78,25,137,161,181,109,136,101,186,193,156,264,233
2021년08월_남_90~99세,180,15,9,2,5,5,4,10,20,9,13,9,5,13,15,12,19,15
2021년08월_남_100세 이상,16,0,1,0,0,0,1,0,2,0,1,2,0,7,0,1,1,0
2021년08월_여_총인구수,"65,715","3,269",883,619,966,"1,063",345,"1,606","2,176","9,468","5,043","2,919","2,442","5,079","9,023","5,558","7,711","7,545"
2021년08월_여_연령구간인구수,"65,715","3,269",883,619,966,"1,063",345,"1,606","2,176","9,468","5,043","2,919","2,442","5,079","9,023","5,558","7,711","7,545"
2021년08월_여_0~9세,"4,059",113,12,7,17,26,11,32,53,738,353,131,94,364,653,336,330,789
2021년08월_여_10~19세,"5,503",166,34,23,31,87,16,61,84,"1,113",540,182,139,417,884,551,496,679
2021년08월_여_20~29세,"6,409",204,41,31,24,26,10,63,131,"1,059",589,319,231,448,"1,190",580,787,676
2021년08월_여_30~39세,"5,938",164,35,20,24,40,15,58,73,959,517,189,175,546,"1,000",480,602,"1,041"
2021년08월_여_40~49세,"8,691",302,57,30,50,62,29,95,143,"1,660",815,346,235,670,"1,352",885,877,"1,083"
2021년08월_여_50~59세,"11,489",590,154,124,181,169,59,288,409,"1,732",891,479,440,859,"1,546","1,016","1,447","1,105"
2021년08월_여_60~69세,"12,015",835,243,173,283,284,96,484,606,"1,209",718,656,612,876,"1,243",834,"1,758","1,105"
2021년08월_여_70~79세,"6,750",489,136,112,190,197,53,260,363,617,355,395,338,541,652,534,879,639
2021년08월_여_80~89세,"4,172",345,141,89,149,140,46,228,265,336,223,189,162,305,447,288,449,370
2021년08월_여_90~99세,645,60,25,10,17,32,10,37,46,40,40,31,15,44,54,49,81,54
2021년08월_여_100세 이상,44,1,5,0,0,0,0,0,3,5,2,2,1,9,2,5,5,4
