,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2021년11월_계_총인구수,"40,982","6,139","4,284","5,748","13,140","3,821","3,372","2,502","1,976"
2021년11월_계_연령구간인구수,"40,982","6,139","4,284","5,748","13,140","3,821","3,372","2,502","1,976"
2021년11월_계_0~9세,"2,320",430,164,338,"1,025",145,124,57,37
2021년11월_계_10~19세,"3,671",554,303,499,"1,549",267,216,204,79
2021년11월_계_20~29세,"3,485",576,326,390,"1,370",270,287,133,133
2021년11월_계_30~39세,"3,329",560,265,462,"1,306",261,230,133,112
2021년11월_계_40~49세,"6,114",884,580,866,"2,511",481,350,256,186
2021년11월_계_50~59세,"7,015","1,060",742,917,"2,187",702,686,389,332
2021년11월_계_60~69세,"7,785","1,144","1,040","1,071","1,784",911,728,616,491
2021년11월_계_70~79세,"4,803",633,597,789,962,529,460,461,372
2021년11월_계_80~89세,"2,191",262,235,370,395,219,260,234,216
2021년11월_계_90~99세,252,34,32,45,48,31,25,19,18
2021년11월_계_100세 이상,17,2,0,1,3,5,6,0,0
2021년11월_남_총인구수,"20,738","3,045","2,167","2,955","6,648","1,924","1,669","1,305","1,025"
2021년11월_남_연령구간인구수,"20,738","3,045","2,167","2,955","6,648","1,924","1,669","1,305","1,025"
2021년11월_남_0~9세,"1,232",226,77,194,540,75,63,37,20
2021년11월_남_10~19세,"1,892",288,161,255,790,121,101,137,39
2021년11월_남_20~29세,"2,012",342,196,243,772,145,156,77,81
2021년11월_남_30~39세,"1,772",291,147,243,672,138,137,70,74
2021년11월_남_40~49세,"3,258",468,323,487,"1,267",269,190,149,105
2021년11월_남_50~59세,"3,792",525,409,534,"1,164",371,360,234,195
2021년11월_남_60~69세,"3,818",532,521,499,863,464,375,313,251
2021년11월_남_70~79세,"2,113",273,243,347,437,238,200,204,171
2021년11월_남_80~89세,789,90,86,139,135,94,82,80,83
2021년11월_남_90~99세,54,9,4,14,7,7,3,4,6
2021년11월_남_100세 이상,6,1,0,0,1,2,2,0,0
2021년11월_여_총인구수,"20,244","3,094","2,117","2,793","6,492","1,897","1,703","1,197",951
2021년11월_여_연령구간인구수,"20,244","3,094","2,117","2,793","6,492","1,897","1,703","1,197",951
2021년11월_여_0~9세,"1,088",204,87,144,485,70,61,20,17
2021년11월_여_10~19세,"1,779",266,142,244,759,146,115,67,40
2021년11월_여_20~29세,"1,473",234,130,147,598,125,131,56,52
2021년11월_여_30~39세,"1,557",269,118,219,634,123,93,63,38
2021년11월_여_40~49세,"2,856",416,257,379,"1,244",212,160,107,81
2021년11월_여_50~59세,"3,223",535,333,383,"1,023",331,326,155,137
2021년11월_여_60~69세,"3,967",612,519,572,921,447,353,303,240
2021년11월_여_70~79세,"2,690",360,354,442,525,291,260,257,201
2021년11월_여_80~89세,"1,402",172,149,231,260,125,178,154,133
2021년11월_여_90~99세,198,25,28,31,41,24,22,15,12
2021년11월_여_100세 이상,11,1,0,1,2,3,4,0,0
