카테고리,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2021년09월_계_총인구수,"287,820","16,565","26,600","22,455","12,014","13,945","23,470","15,510","15,363","22,768","14,380","26,155","16,622","12,764","15,985","10,922","10,557","11,745"
2021년09월_계_연령구간인구수,"287,820","16,565","26,600","22,455","12,014","13,945","23,470","15,510","15,363","22,768","14,380","26,155","16,622","12,764","15,985","10,922","10,557","11,745"
2021년09월_계_0~9세,"19,515","1,198","2,261","1,155",401,952,"1,721","1,135","1,253","1,713","1,329","2,493",997,698,790,562,491,366
2021년09월_계_10~19세,"19,166","1,122","1,592","1,576",751,996,"2,041","1,605","1,071","1,402",922,"1,653","1,084",850,840,520,549,592
2021년09월_계_20~29세,"44,063","2,436","4,270","4,248","4,772","2,236","2,894","1,739","1,728","2,758","1,452","2,805","2,558","2,034","2,217","1,944","1,694","2,278"
2021년09월_계_30~39세,"47,234","2,880","4,542","3,213","1,576","2,256","3,533","2,172","2,579","4,070","2,603","4,880","2,878","2,311","2,523","1,912","1,597","1,709"
2021년09월_계_40~49세,"43,631","2,493","4,008","2,930","1,122","2,134","3,893","2,855","2,538","3,644","2,554","4,472","2,357","1,939","2,163","1,429","1,504","1,596"
2021년09월_계_50~59세,"46,340","2,688","4,362","3,632","1,296","2,235","3,921","2,476","2,335","3,633","2,088","3,860","3,068","1,988","2,971","1,759","1,936","2,092"
2021년09월_계_60~69세,"37,589","2,112","3,105","3,105",985,"1,705","2,873","1,755","2,158","3,007","1,854","3,369","2,284","1,677","2,693","1,548","1,691","1,668"
2021년09월_계_70~79세,"20,171","1,126","1,592","1,724",734,966,"1,751","1,141","1,108","1,669","1,063","1,706",945,872,"1,231",825,748,970
2021년09월_계_80~89세,"8,884",451,762,757,330,400,749,555,533,766,453,786,397,355,493,367,302,428
2021년09월_계_90~99세,"1,146",57,105,105,36,60,91,69,58,99,58,124,50,39,59,48,44,44
2021년09월_계_100세 이상,81,2,1,10,11,5,3,8,2,7,4,7,4,1,5,8,1,2
2021년09월_남_총인구수,"140,290","8,026","12,630","11,096","6,180","6,720","10,987","7,379","7,307","10,846","6,855","12,156","8,299","6,255","8,365","5,500","5,576","6,113"
2021년09월_남_연령구간인구수,"140,290","8,026","12,630","11,096","6,180","6,720","10,987","7,379","7,307","10,846","6,855","12,156","8,299","6,255","8,365","5,500","5,576","6,113"
