,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2021년11월_계_총인구수,"283,584","16,023","25,325","19,699","38,076","41,686","17,081","29,786","11,163","12,065","10,784","16,644","26,537","18,715"
2021년11월_계_연령구간인구수,"283,584","16,023","25,325","19,699","38,076","41,686","17,081","29,786","11,163","12,065","10,784","16,644","26,537","18,715"
2021년11월_계_0~9세,"18,455",870,"1,302",815,"1,975","3,887","1,192","2,457",380,421,399,"1,428","2,170","1,159"
2021년11월_계_10~19세,"22,492",762,"1,675","1,410","2,941","4,348","1,376","3,751",484,571,625,"1,005","2,275","1,269"
2021년11월_계_20~29세,"35,825","2,045","3,380","2,811","4,326","5,463","2,396","3,802","1,373","1,771","1,345","1,783","3,039","2,291"
2021년11월_계_30~39세,"33,743","2,290","3,076","1,872","3,683","5,213","2,096","3,147","1,281","1,521","1,068","3,051","3,238","2,207"
2021년11월_계_40~49세,"39,852","1,955","3,355","2,699","4,942","6,428","2,211","5,254","1,244","1,448","1,437","2,280","4,076","2,523"
2021년11월_계_50~59세,"52,548","2,992","4,916","4,169","7,309","8,099","3,422","5,423","1,968","2,177","1,889","2,575","4,356","3,253"
2021년11월_계_60~69세,"48,593","3,107","4,746","3,690","6,987","5,683","2,626","3,367","2,432","2,448","2,167","2,838","4,631","3,871"
2021년11월_계_70~79세,"22,096","1,388","2,034","1,632","3,698","1,851","1,184","1,752","1,301","1,176","1,298","1,243","1,990","1,549"
2021년11월_계_80~89세,"8,837",542,756,530,"2,001",619,506,734,611,464,503,394,663,514
2021년11월_계_90~99세,"1,112",70,81,68,212,91,70,97,83,68,52,45,98,77
2021년11월_계_100세 이상,31,2,4,3,2,4,2,2,6,0,1,2,1,2
2021년11월_남_총인구수,"140,023","8,069","12,957","10,156","18,381","20,452","8,349","14,563","5,504","6,010","5,277","8,184","13,019","9,102"
2021년11월_남_연령구간인구수,"140,023","8,069","12,957","10,156","18,381","20,452","8,349","14,563","5,504","6,010","5,277","8,184","13,019","9,102"
2021년11월_남_0~9세,"9,496",427,685,420,"1,014","1,996",633,"1,248",182,221,214,733,"1,114",609
2021년11월_남_10~19세,"11,716",371,885,761,"1,523","2,250",694,"1,976",262,292,328,523,"1,180",671
2021년11월_남_20~29세,"19,164","1,069","1,839","1,618","2,311","2,903","1,304","1,999",744,925,724,881,"1,599","1,248"
2021년11월_남_30~39세,"17,638","1,255","1,699","1,062","1,978","2,497","1,088","1,503",726,885,586,"1,606","1,626","1,127"
2021년11월_남_40~49세,"19,862","1,071","1,786","1,393","2,419","2,984","1,063","2,419",660,772,789,"1,184","2,046","1,276"
2021년11월_남_50~59세,"24,822","1,468","2,414","2,091","3,405","3,712","1,546","2,651",971,"1,050",920,"1,147","2,036","1,411"
2021년11월_남_60~69세,"23,896","1,542","2,378","1,838","3,534","2,979","1,308","1,653","1,134","1,176","1,002","1,359","2,200","1,793"
2021년11월_남_70~79세,"10,172",658,978,753,"1,553",914,529,788,595,528,551,610,962,753
2021년11월_남_80~89세,"3,045",191,282,212,595,205,168,299,209,150,155,138,239,202
2021년11월_남_90~99세,210,16,11,8,49,12,15,27,21,11,8,3,17,12
2021년11월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0,0,0,0
2021년11월_여_총인구수,"143,561","7,954","12,368","9,543","19,695","21,234","8,732","15,223","5,659","6,055","5,507","8,460","13,518","9,613"
2021년11월_여_연령구간인구수,"143,561","7,954","12,368","9,543","19,695","21,234","8,732","15,223","5,659","6,055","5,507","8,460","13,518","9,613"
2021년11월_여_0~9세,"8,959",443,617,395,961,"1,891",559,"1,209",198,200,185,695,"1,056",550
2021년11월_여_10~19세,"10,776",391,790,649,"1,418","2,098",682,"1,775",222,279,297,482,"1,095",598
2021년11월_여_20~29세,"16,661",976,"1,541","1,193","2,015","2,560","1,092","1,803",629,846,621,902,"1,440","1,043"
2021년11월_여_30~39세,"16,105","1,035","1,377",810,"1,705","2,716","1,008","1,644",555,636,482,"1,445","1,612","1,080"
2021년11월_여_40~49세,"19,990",884,"1,569","1,306","2,523","3,444","1,148","2,835",584,676,648,"1,096","2,030","1,247"
2021년11월_여_50~59세,"27,726","1,524","2,502","2,078","3,904","4,387","1,876","2,772",997,"1,127",969,"1,428","2,320","1,842"
2021년11월_여_60~69세,"24,697","1,565","2,368","1,852","3,453","2,704","1,318","1,714","1,298","1,272","1,165","1,479","2,431","2,078"
2021년11월_여_70~79세,"11,924",730,"1,056",879,"2,145",937,655,964,706,648,747,633,"1,028",796
2021년11월_여_80~89세,"5,792",351,474,318,"1,406",414,338,435,402,314,348,256,424,312
2021년11월_여_90~99세,902,54,70,60,163,79,55,70,62,57,44,42,81,65
2021년11월_여_100세 이상,29,1,4,3,2,4,1,2,6,0,1,2,1,2
