,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2021년05월_계_총인구수,"31,629","8,257","3,358","1,826","3,786","1,895","3,139","2,840","2,802","3,726"
2021년05월_계_연령구간인구수,"31,629","8,257","3,358","1,826","3,786","1,895","3,139","2,840","2,802","3,726"
2021년05월_계_0~9세,"1,297",501,127,61,131,49,93,101,91,143
2021년05월_계_10~19세,"2,060",762,182,64,208,83,267,132,131,231
2021년05월_계_20~29세,"2,419",752,181,115,262,135,247,194,242,291
2021년05월_계_30~39세,"1,989",663,163,111,213,98,178,176,180,207
2021년05월_계_40~49세,"3,362","1,114",348,165,359,164,269,256,286,401
2021년05월_계_50~59세,"5,373","1,335",559,285,644,341,578,473,520,638
2021년05월_계_60~69세,"6,070","1,309",658,429,788,384,572,655,575,700
2021년05월_계_70~79세,"5,019","1,017",657,314,631,336,513,464,434,653
2021년05월_계_80~89세,"3,514",697,436,243,476,264,364,341,292,401
2021년05월_계_90~99세,513,106,46,38,73,40,55,48,50,57
2021년05월_계_100세 이상,13,1,1,1,1,1,3,0,1,4
2021년05월_남_총인구수,"15,927","4,071","1,684",910,"1,897",920,"1,624","1,417","1,441","1,963"
2021년05월_남_연령구간인구수,"15,927","4,071","1,684",910,"1,897",920,"1,624","1,417","1,441","1,963"
2021년05월_남_0~9세,679,251,56,35,76,19,51,55,50,86
2021년05월_남_10~19세,"1,098",417,93,30,105,45,153,64,65,126
2021년05월_남_20~29세,"1,438",412,109,62,167,90,156,118,143,181
2021년05월_남_30~39세,"1,070",327,88,66,115,57,110,95,93,119
2021년05월_남_40~49세,"1,996",602,233,116,222,96,145,150,163,269
2021년05월_남_50~59세,"3,159",745,331,153,379,202,361,279,313,396
2021년05월_남_60~69세,"3,194",654,348,220,420,202,293,366,316,375
2021년05월_남_70~79세,"2,117",429,267,143,261,128,228,193,190,278
2021년05월_남_80~89세,"1,059",214,149,75,137,72,117,90,91,114
2021년05월_남_90~99세,117,20,10,10,15,9,10,7,17,19
2021년05월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"15,702","4,186","1,674",916,"1,889",975,"1,515","1,423","1,361","1,763"
2021년05월_여_연령구간인구수,"15,702","4,186","1,674",916,"1,889",975,"1,515","1,423","1,361","1,763"
2021년05월_여_0~9세,618,250,71,26,55,30,42,46,41,57
2021년05월_여_10~19세,962,345,89,34,103,38,114,68,66,105
2021년05월_여_20~29세,981,340,72,53,95,45,91,76,99,110
2021년05월_여_30~39세,919,336,75,45,98,41,68,81,87,88
2021년05월_여_40~49세,"1,366",512,115,49,137,68,124,106,123,132
2021년05월_여_50~59세,"2,214",590,228,132,265,139,217,194,207,242
2021년05월_여_60~69세,"2,876",655,310,209,368,182,279,289,259,325
2021년05월_여_70~79세,"2,902",588,390,171,370,208,285,271,244,375
2021년05월_여_80~89세,"2,455",483,287,168,339,192,247,251,201,287
2021년05월_여_90~99세,396,86,36,28,58,31,45,41,33,38
2021년05월_여_100세 이상,13,1,1,1,1,1,3,0,1,4
