,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2021년11월_계_총인구수,"55,824","14,566","2,272","2,599","1,691","19,947","2,555","2,383","1,501","2,691","3,089","1,162","1,368"
2021년11월_계_연령구간인구수,"55,824","14,566","2,272","2,599","1,691","19,947","2,555","2,383","1,501","2,691","3,089","1,162","1,368"
2021년11월_계_0~9세,"4,475",735,57,45,58,"3,233",151,40,15,42,45,19,35
2021년11월_계_10~19세,"4,478","1,184",113,75,56,"2,501",112,88,35,80,109,54,71
2021년11월_계_20~29세,"4,056","1,288",75,127,52,"1,755",230,105,53,94,164,41,72
2021년11월_계_30~39세,"5,305","1,080",75,105,81,"3,319",200,93,39,114,114,34,51
2021년11월_계_40~49세,"7,220","1,858",169,152,110,"3,826",234,194,85,184,230,75,103
2021년11월_계_50~59세,"7,926","2,395",320,398,254,"2,446",321,338,200,385,461,206,202
2021년11월_계_60~69세,"9,794","2,912",527,708,429,"1,561",472,587,415,718,756,379,330
2021년11월_계_70~79세,"6,755","1,852",479,496,328,745,412,498,314,560,614,187,270
2021년11월_계_80~89세,"5,082","1,097",410,420,285,485,361,386,308,463,529,138,200
2021년11월_계_90~99세,710,162,47,72,38,73,59,50,36,48,67,28,30
2021년11월_계_100세 이상,23,3,0,1,0,3,3,4,1,3,0,1,4
2021년11월_남_총인구수,"27,414","7,167","1,141","1,293",833,"9,759","1,271","1,164",727,"1,324","1,477",579,679
2021년11월_남_연령구간인구수,"27,414","7,167","1,141","1,293",833,"9,759","1,271","1,164",727,"1,324","1,477",579,679
2021년11월_남_0~9세,"2,276",374,30,24,26,"1,645",79,23,5,21,23,9,17
2021년11월_남_10~19세,"2,363",653,68,37,35,"1,285",56,45,19,45,53,35,32
2021년11월_남_20~29세,"2,273",750,45,82,31,906,148,60,34,53,99,20,45
2021년11월_남_30~39세,"2,663",564,40,68,40,"1,557",114,58,23,72,79,15,33
2021년11월_남_40~49세,"3,871",993,107,103,73,"1,875",157,128,57,134,140,45,59
2021년11월_남_50~59세,"4,168","1,197",198,215,161,"1,200",186,189,126,218,251,107,120
2021년11월_남_60~69세,"4,917","1,386",283,380,232,775,231,285,219,369,380,208,169
2021년11월_남_70~79세,"3,026",833,214,217,138,345,179,224,134,257,270,95,120
2021년11월_남_80~89세,"1,718",387,145,148,88,160,110,141,106,148,170,38,77
2021년11월_남_90~99세,137,30,11,18,9,11,11,11,4,7,12,6,7
2021년11월_남_100세 이상,2,0,0,1,0,0,0,0,0,0,0,1,0
2021년11월_여_총인구수,"28,410","7,399","1,131","1,306",858,"10,188","1,284","1,219",774,"1,367","1,612",583,689
2021년11월_여_연령구간인구수,"28,410","7,399","1,131","1,306",858,"10,188","1,284","1,219",774,"1,367","1,612",583,689
2021년11월_여_0~9세,"2,199",361,27,21,32,"1,588",72,17,10,21,22,10,18
2021년11월_여_10~19세,"2,115",531,45,38,21,"1,216",56,43,16,35,56,19,39
2021년11월_여_20~29세,"1,783",538,30,45,21,849,82,45,19,41,65,21,27
2021년11월_여_30~39세,"2,642",516,35,37,41,"1,762",86,35,16,42,35,19,18
2021년11월_여_40~49세,"3,349",865,62,49,37,"1,951",77,66,28,50,90,30,44
2021년11월_여_50~59세,"3,758","1,198",122,183,93,"1,246",135,149,74,167,210,99,82
2021년11월_여_60~69세,"4,877","1,526",244,328,197,786,241,302,196,349,376,171,161
2021년11월_여_70~79세,"3,729","1,019",265,279,190,400,233,274,180,303,344,92,150
2021년11월_여_80~89세,"3,364",710,265,272,197,325,251,245,202,315,359,100,123
2021년11월_여_90~99세,573,132,36,54,29,62,48,39,32,41,55,22,23
2021년11월_여_100세 이상,21,3,0,0,0,3,3,4,1,3,0,0,4
