,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2020년06월_계_총인구수,"220,028","10,360","17,498","8,972","4,884","11,437","13,693","20,055","34,161","23,444","22,721","20,565","11,033","21,205"
2020년06월_계_연령구간인구수,"220,028","10,360","17,498","8,972","4,884","11,437","13,693","20,055","34,161","23,444","22,721","20,565","11,033","21,205"
2020년06월_계_0~9세,"17,279",474,"1,433",432,239,958,496,"1,405","3,620","1,172","1,511","2,067","1,333","2,139"
2020년06월_계_10~19세,"20,445",657,"1,332",633,323,"1,139",700,"1,639","3,644","2,203","2,353","1,914","1,316","2,592"
2020년06월_계_20~29세,"27,627","1,100","2,252","1,375",602,"1,546","1,659","2,496","4,025","3,285","3,070","2,368","1,381","2,468"
2020년06월_계_30~39세,"27,317","1,070","2,536","1,047",528,"1,647","1,393","2,521","4,603","2,178","2,346","2,916","1,719","2,813"
2020년06월_계_40~49세,"34,899","1,417","2,678","1,191",601,"1,790","1,727","2,970","6,002","3,649","3,423","3,342","1,856","4,253"
2020년06월_계_50~59세,"41,912","1,942","3,516","1,806","1,009","2,097","2,708","3,727","5,945","5,065","4,862","3,771","1,973","3,491"
2020년06월_계_60~69세,"30,913","2,014","2,412","1,464",948,"1,371","2,812","3,170","4,118","3,465","3,323","2,698",970,"2,148"
2020년06월_계_70~79세,"13,948","1,207",963,751,457,616,"1,524","1,464","1,598","1,699","1,338","1,068",346,917
2020년06월_계_80~89세,"5,026",426,327,239,148,236,586,603,531,664,436,382,126,322
2020년06월_계_90~99세,605,49,47,32,23,34,64,57,74,62,55,37,12,59
2020년06월_계_100세 이상,57,4,2,2,6,3,24,3,1,2,4,2,1,3
2020년06월_남_총인구수,"111,559","5,287","9,106","4,579","2,439","5,722","7,069","10,105","17,078","11,887","11,512","10,440","5,553","10,782"
2020년06월_남_연령구간인구수,"111,559","5,287","9,106","4,579","2,439","5,722","7,069","10,105","17,078","11,887","11,512","10,440","5,553","10,782"
2020년06월_남_0~9세,"8,938",245,735,234,137,473,260,756,"1,923",575,758,"1,041",694,"1,107"
2020년06월_남_10~19세,"10,944",333,705,332,161,628,372,880,"1,930","1,231","1,285","1,044",680,"1,363"
2020년06월_남_20~29세,"15,353",622,"1,246",748,330,827,935,"1,393","2,281","1,839","1,733","1,318",732,"1,349"
2020년06월_남_30~39세,"14,363",620,"1,396",590,302,884,850,"1,306","2,228","1,199","1,236","1,496",841,"1,415"
2020년06월_남_40~49세,"17,706",814,"1,431",615,306,879,957,"1,496","2,952","1,803","1,665","1,742",889,"2,157"
2020년06월_남_50~59세,"20,914","1,016","1,799",902,486,"1,017","1,373","1,860","2,814","2,550","2,416","1,847","1,014","1,820"
2020년06월_남_60~69세,"15,103",950,"1,202",704,452,645,"1,421","1,546","2,006","1,696","1,615","1,330",501,"1,035"
2020년06월_남_70~79세,"6,389",529,471,363,197,292,665,637,761,772,632,485,155,430
2020년06월_남_80~89세,"1,741",152,114,85,57,73,217,217,173,209,166,131,45,102
2020년06월_남_90~99세,97,5,7,6,8,4,15,14,10,12,6,5,2,3
2020년06월_남_100세 이상,11,1,0,0,3,0,4,0,0,1,0,1,0,1
2020년06월_여_총인구수,"108,469","5,073","8,392","4,393","2,445","5,715","6,624","9,950","17,083","11,557","11,209","10,125","5,480","10,423"
2020년06월_여_연령구간인구수,"108,469","5,073","8,392","4,393","2,445","5,715","6,624","9,950","17,083","11,557","11,209","10,125","5,480","10,423"
2020년06월_여_0~9세,"8,341",229,698,198,102,485,236,649,"1,697",597,753,"1,026",639,"1,032"
2020년06월_여_10~19세,"9,501",324,627,301,162,511,328,759,"1,714",972,"1,068",870,636,"1,229"
2020년06월_여_20~29세,"12,274",478,"1,006",627,272,719,724,"1,103","1,744","1,446","1,337","1,050",649,"1,119"
2020년06월_여_30~39세,"12,954",450,"1,140",457,226,763,543,"1,215","2,375",979,"1,110","1,420",878,"1,398"
2020년06월_여_40~49세,"17,193",603,"1,247",576,295,911,770,"1,474","3,050","1,846","1,758","1,600",967,"2,096"
2020년06월_여_50~59세,"20,998",926,"1,717",904,523,"1,080","1,335","1,867","3,131","2,515","2,446","1,924",959,"1,671"
2020년06월_여_60~69세,"15,810","1,064","1,210",760,496,726,"1,391","1,624","2,112","1,769","1,708","1,368",469,"1,113"
2020년06월_여_70~79세,"7,559",678,492,388,260,324,859,827,837,927,706,583,191,487
2020년06월_여_80~89세,"3,285",274,213,154,91,163,369,386,358,455,270,251,81,220
2020년06월_여_90~99세,508,44,40,26,15,30,49,43,64,50,49,32,10,56
2020년06월_여_100세 이상,46,3,2,2,3,3,20,3,1,1,4,1,1,2
