,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2020년09월_계_총인구수,"25,444","10,143",831,"1,075","1,402",886,"1,965","1,791","1,861","2,909","1,084","1,497"
2020년09월_계_연령구간인구수,"25,444","10,143",831,"1,075","1,402",886,"1,965","1,791","1,861","2,909","1,084","1,497"
2020년09월_계_0~9세,"1,320",704,18,48,56,39,83,80,54,141,58,39
2020년09월_계_10~19세,"1,670",847,25,72,83,38,88,82,88,220,61,66
2020년09월_계_20~29세,"1,965",932,37,62,75,54,151,132,144,229,65,84
2020년09월_계_30~39세,"1,694",867,35,46,55,66,104,94,95,197,83,52
2020년09월_계_40~49세,"2,797","1,355",67,95,127,77,199,180,150,318,96,133
2020년09월_계_50~59세,"4,558","1,696",177,203,257,168,360,312,340,558,206,281
2020년09월_계_60~69세,"4,768","1,583",219,209,296,196,398,368,371,599,219,310
2020년09월_계_70~79세,"3,822","1,245",154,185,240,141,318,315,359,394,156,315
2020년09월_계_80~89세,"2,455",801,86,130,176,100,226,196,226,208,119,187
2020년09월_계_90~99세,368,103,11,25,34,7,36,27,31,44,20,30
2020년09월_계_100세 이상,27,10,2,0,3,0,2,5,3,1,1,0
2020년09월_남_총인구수,"12,845","5,090",415,519,665,453,"1,016",899,922,"1,519",575,772
2020년09월_남_연령구간인구수,"12,845","5,090",415,519,665,453,"1,016",899,922,"1,519",575,772
2020년09월_남_0~9세,650,339,8,20,24,16,44,42,27,75,32,23
2020년09월_남_10~19세,894,439,15,38,39,19,52,45,49,125,36,37
2020년09월_남_20~29세,"1,113",530,22,36,46,33,82,67,69,138,44,46
2020년09월_남_30~39세,825,399,22,21,21,35,67,40,46,96,46,32
2020년09월_남_40~49세,"1,628",767,41,51,67,47,126,113,98,178,58,82
2020년09월_남_50~59세,"2,577",942,97,108,141,92,212,187,198,323,104,173
2020년09월_남_60~69세,"2,510",829,112,112,157,107,199,196,188,319,127,164
2020년09월_남_70~79세,"1,744",552,71,83,113,67,149,146,159,191,73,140
2020년09월_남_80~89세,804,259,24,44,46,35,81,56,78,64,49,68
2020년09월_남_90~99세,91,30,2,6,10,2,4,5,9,10,6,7
2020년09월_남_100세 이상,9,4,1,0,1,0,0,2,1,0,0,0
2020년09월_여_총인구수,"12,599","5,053",416,556,737,433,949,892,939,"1,390",509,725
2020년09월_여_연령구간인구수,"12,599","5,053",416,556,737,433,949,892,939,"1,390",509,725
2020년09월_여_0~9세,670,365,10,28,32,23,39,38,27,66,26,16
2020년09월_여_10~19세,776,408,10,34,44,19,36,37,39,95,25,29
2020년09월_여_20~29세,852,402,15,26,29,21,69,65,75,91,21,38
2020년09월_여_30~39세,869,468,13,25,34,31,37,54,49,101,37,20
2020년09월_여_40~49세,"1,169",588,26,44,60,30,73,67,52,140,38,51
2020년09월_여_50~59세,"1,981",754,80,95,116,76,148,125,142,235,102,108
2020년09월_여_60~69세,"2,258",754,107,97,139,89,199,172,183,280,92,146
2020년09월_여_70~79세,"2,078",693,83,102,127,74,169,169,200,203,83,175
2020년09월_여_80~89세,"1,651",542,62,86,130,65,145,140,148,144,70,119
2020년09월_여_90~99세,277,73,9,19,24,5,32,22,22,34,14,23
2020년09월_여_100세 이상,18,6,1,0,2,0,2,3,2,1,1,0
