카테고리,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2021년07월_계_총인구수,"63,239","12,427","9,667",604,223,"3,097","2,931","4,324","3,859","4,890","1,884","2,637","3,304","2,300","3,107","2,261","2,996","1,258","1,470"
2021년07월_계_연령구간인구수,"63,239","12,427","9,667",604,223,"3,097","2,931","4,324","3,859","4,890","1,884","2,637","3,304","2,300","3,107","2,261","2,996","1,258","1,470"
2021년07월_계_0~9세,"2,519",990,506,22,0,66,82,120,93,122,52,38,89,61,101,61,55,29,32
2021년07월_계_10~19세,"3,708","1,395",741,22,12,93,113,187,161,215,87,91,109,104,117,71,96,40,54
2021년07월_계_20~29세,"4,033","1,227",729,16,9,127,150,226,200,236,79,111,216,123,204,108,133,57,82
2021년07월_계_30~39세,"3,488","1,126",666,25,15,127,134,165,153,194,65,88,147,113,160,98,93,49,70
2021년07월_계_40~49세,"6,096","1,839","1,149",31,32,225,223,328,288,424,149,202,241,150,265,134,203,84,129
2021년07월_계_50~59세,"9,983","1,984","1,641",32,43,456,464,669,635,799,285,404,557,338,457,373,425,194,227
2021년07월_계_60~69세,"12,945","1,838","1,919",95,32,701,621,942,863,"1,066",434,611,732,586,707,536,620,276,366
2021년07월_계_70~79세,"11,344","1,235","1,481",176,43,707,585,944,799,"1,003",394,567,620,457,580,439,717,305,292
2021년07월_계_80~89세,"7,795",658,731,153,34,504,475,661,568,722,293,422,501,311,436,396,548,186,196
2021년07월_계_90~99세,"1,281",126,100,32,3,89,83,80,93,102,44,103,86,57,76,45,103,37,22
2021년07월_계_100세 이상,47,9,4,0,0,2,1,2,6,7,2,0,6,0,4,0,3,1,0
2021년07월_남_총인구수,"30,749","6,110","4,726",304,118,"1,531","1,410","2,096","1,864","2,361",920,"1,260","1,573","1,087","1,520","1,106","1,422",597,744
2021년07월_남_연령구간인구수,"30,749","6,110","4,726",304,118,"1,531","1,410","2,096","1,864","2,361",920,"1,260","1,573","1,087","1,520","1,106","1,422",597,744
2021년07월_남_0~9세,"1,254",496,249,10,0,35,36,63,32,56,28,14,48,32,54,37,32,13,19
2021년07월_남_10~19세,"1,986",750,390,11,4,48,57,98,80,117,39,50,63,60,63,42,55,26,33
2021년07월_남_20~29세,"2,359",688,409,7,8,86,81,142,118,151,46,80,122,75,118,71,74,32,51
2021년07월_남_30~39세,"1,895",542,343,14,12,81,86,94,96,109,38,48,89,55,94,63,59,33,39
2021년07월_남_40~49세,"3,527",915,606,16,27,161,137,191,188,267,102,137,155,87,166,100,133,52,87
2021년07월_남_50~59세,"5,614","1,055",892,16,27,292,267,381,353,448,172,237,302,205,273,204,252,110,128
2021년07월_남_60~69세,"6,450",854,924,53,17,360,349,460,423,520,218,310,374,296,354,285,317,140,196
2021년07월_남_70~79세,"4,946",572,650,93,15,288,238,410,386,416,174,255,252,181,257,192,304,128,135
2021년07월_남_80~89세,"2,440",215,245,74,8,160,142,236,175,250,89,114,146,92,114,105,175,51,49
2021년07월_남_90~99세,273,21,18,10,0,19,17,20,13,27,13,15,22,4,27,7,21,12,7
2021년07월_남_100세 이상,5,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"32,490","6,317","4,941",300,105,"1,566","1,521","2,228","1,995","2,529",964,"1,377","1,731","1,213","1,587","1,155","1,574",661,726
2021년07월_여_연령구간인구수,"32,490","6,317","4,941",300,105,"1,566","1,521","2,228","1,995","2,529",964,"1,377","1,731","1,213","1,587","1,155","1,574",661,726
2021년07월_여_0~9세,"1,265",494,257,12,0,31,46,57,61,66,24,24,41,29,47,24,23,16,13
2021년07월_여_10~19세,"1,722",645,351,11,8,45,56,89,81,98,48,41,46,44,54,29,41,14,21
2021년07월_여_20~29세,"1,674",539,320,9,1,41,69,84,82,85,33,31,94,48,86,37,59,25,31
2021년07월_여_30~39세,"1,593",584,323,11,3,46,48,71,57,85,27,40,58,58,66,35,34,16,31
2021년07월_여_40~49세,"2,569",924,543,15,5,64,86,137,100,157,47,65,86,63,99,34,70,32,42
2021년07월_여_50~59세,"4,369",929,749,16,16,164,197,288,282,351,113,167,255,133,184,169,173,84,99
2021년07월_여_60~69세,"6,495",984,995,42,15,341,272,482,440,546,216,301,358,290,353,251,303,136,170
2021년07월_여_70~79세,"6,398",663,831,83,28,419,347,534,413,587,220,312,368,276,323,247,413,177,157
2021년07월_여_80~89세,"5,355",443,486,79,26,344,333,425,393,472,204,308,355,219,322,291,373,135,147
2021년07월_여_90~99세,"1,008",105,82,22,3,70,66,60,80,75,31,88,64,53,49,38,82,25,15
2021년07월_여_100세 이상,42,7,4,0,0,1,1,1,6,7,1,0,6,0,4,0,3,1,0
