카테고리,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020년10월_계_총인구수,"39,161","4,260",243,"5,835",245,225,"1,493",324,"3,160","2,273","3,564","2,538",215,"2,353",449,227,515,324,"1,770","1,574","1,575","2,713",276,978,"2,032"
2020년10월_계_연령구간인구수,"39,161","4,260",243,"5,835",245,225,"1,493",324,"3,160","2,273","3,564","2,538",215,"2,353",449,227,515,324,"1,770","1,574","1,575","2,713",276,978,"2,032"
2020년10월_계_0~9세,"1,591",151,5,222,10,13,47,6,173,83,142,110,9,75,12,11,33,12,77,76,76,121,9,21,97
2020년10월_계_10~19세,"2,046",227,5,283,5,6,50,12,220,99,214,219,5,125,23,16,34,21,105,101,66,98,7,32,73
2020년10월_계_20~29세,"2,817",288,15,515,8,6,111,22,228,142,216,172,7,207,66,16,50,31,118,133,82,195,16,47,126
2020년10월_계_30~39세,"2,745",270,15,433,17,14,94,19,215,141,232,173,12,202,51,14,58,27,119,127,112,175,33,62,130
2020년10월_계_40~49세,"4,358",461,16,651,22,22,188,38,404,215,415,278,32,310,73,28,92,42,195,222,156,223,23,77,175
2020년10월_계_50~59세,"7,083",775,55,"1,114",40,33,295,68,573,436,630,376,58,454,89,49,104,62,317,283,242,459,48,149,374
2020년10월_계_60~69세,"7,647",845,50,"1,241",64,49,237,71,579,456,696,460,42,392,70,42,71,65,332,284,334,555,68,223,421
2020년10월_계_70~79세,"6,429",737,41,818,56,53,293,62,509,429,628,421,30,328,40,25,43,42,288,209,294,479,45,219,340
2020년10월_계_80~89세,"3,943",446,39,482,21,28,162,25,241,248,343,299,17,215,24,23,30,17,198,124,189,347,24,133,268
2020년10월_계_90~99세,484,59,2,72,2,1,16,1,18,23,48,29,2,40,1,3,0,5,21,13,22,60,3,15,28
2020년10월_계_100세 이상,18,1,0,4,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,2,2,1,0,0,0
2020년10월_남_총인구수,"20,881","2,236",127,"3,142",126,131,808,187,"1,681","1,201","1,867","1,305",124,"1,312",288,128,296,191,946,865,827,"1,408",151,489,"1,045"
2020년10월_남_연령구간인구수,"20,881","2,236",127,"3,142",126,131,808,187,"1,681","1,201","1,867","1,305",124,"1,312",288,128,296,191,946,865,827,"1,408",151,489,"1,045"
2020년10월_남_0~9세,822,85,2,121,5,11,24,2,84,45,77,57,6,32,6,6,17,5,32,32,41,61,5,11,55
2020년10월_남_10~19세,"1,055",108,1,133,2,4,25,9,119,52,102,106,3,75,14,10,23,11,59,55,28,54,4,16,42
2020년10월_남_20~29세,"1,698",187,11,287,5,4,66,11,141,81,112,108,3,130,47,9,24,20,78,74,52,117,12,41,78
2020년10월_남_30~39세,"1,734",163,9,277,11,11,65,16,129,99,140,113,5,132,40,9,41,16,66,77,71,104,22,38,80
2020년10월_남_40~49세,"2,921",303,11,419,17,17,140,28,271,137,267,168,25,223,55,24,64,33,131,153,111,150,14,49,111
2020년10월_남_50~59세,"4,308",470,36,642,24,21,194,46,350,250,388,223,39,286,62,32,64,43,203,177,154,285,24,78,217
2020년10월_남_60~69세,"4,198",468,32,690,36,26,122,33,308,244,376,257,23,226,40,23,36,38,179,166,173,309,39,126,228
2020년10월_남_70~79세,"2,885",309,13,390,20,24,120,33,217,195,293,191,17,135,16,11,20,22,142,97,134,216,24,95,151
2020년10월_남_80~89세,"1,167",132,12,169,5,12,50,9,60,92,105,78,3,70,8,3,7,2,51,29,59,99,5,33,74
2020년10월_남_90~99세,88,11,0,13,1,1,2,0,2,6,7,4,0,2,0,1,0,1,5,4,3,12,2,2,9
2020년10월_남_100세 이상,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020년10월_여_총인구수,"18,280","2,024",116,"2,693",119,94,685,137,"1,479","1,072","1,697","1,233",91,"1,041",161,99,219,133,824,709,748,"1,305",125,489,987
2020년10월_여_연령구간인구수,"18,280","2,024",116,"2,693",119,94,685,137,"1,479","1,072","1,697","1,233",91,"1,041",161,99,219,133,824,709,748,"1,305",125,489,987
2020년10월_여_0~9세,769,66,3,101,5,2,23,4,89,38,65,53,3,43,6,5,16,7,45,44,35,60,4,10,42
2020년10월_여_10~19세,991,119,4,150,3,2,25,3,101,47,112,113,2,50,9,6,11,10,46,46,38,44,3,16,31
2020년10월_여_20~29세,"1,119",101,4,228,3,2,45,11,87,61,104,64,4,77,19,7,26,11,40,59,30,78,4,6,48
2020년10월_여_30~39세,"1,011",107,6,156,6,3,29,3,86,42,92,60,7,70,11,5,17,11,53,50,41,71,11,24,50
2020년10월_여_40~49세,"1,437",158,5,232,5,5,48,10,133,78,148,110,7,87,18,4,28,9,64,69,45,73,9,28,64
2020년10월_여_50~59세,"2,775",305,19,472,16,12,101,22,223,186,242,153,19,168,27,17,40,19,114,106,88,174,24,71,157
2020년10월_여_60~69세,"3,449",377,18,551,28,23,115,38,271,212,320,203,19,166,30,19,35,27,153,118,161,246,29,97,193
2020년10월_여_70~79세,"3,544",428,28,428,36,29,173,29,292,234,335,230,13,193,24,14,23,20,146,112,160,263,21,124,189
2020년10월_여_80~89세,"2,776",314,27,313,16,16,112,16,181,156,238,221,14,145,16,20,23,15,147,95,130,248,19,100,194
2020년10월_여_90~99세,396,48,2,59,1,0,14,1,16,17,41,25,2,38,1,2,0,4,16,9,19,48,1,13,19
2020년10월_여_100세 이상,13,1,0,3,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,1,1,0,0,0,0
