카테고리,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2021년04월_계_총인구수,"317,672","18,791","24,523","16,409","21,148","8,876","27,215","48,905","20,531","32,058","26,550","30,258","16,900","14,307","11,201"
2021년04월_계_연령구간인구수,"317,672","18,791","24,523","16,409","21,148","8,876","27,215","48,905","20,531","32,058","26,550","30,258","16,900","14,307","11,201"
2021년04월_계_0~9세,"23,328",813,"1,944","1,275","1,786",473,"1,587","3,472","1,142","2,098","2,080","3,347","1,539","1,141",631
2021년04월_계_10~19세,"29,835","1,099","3,089","1,232","2,289",591,"2,024","4,316","1,674","3,412","3,149","3,281","1,825","1,253",601
2021년04월_계_20~29세,"45,027","2,518","3,196","2,113","2,808","1,343","4,179","7,901","3,136","5,758","3,641","3,321","2,234","1,763","1,116"
2021년04월_계_30~39세,"41,793","2,266","2,806","2,039","2,718","1,287","3,849","7,700","2,234","3,551","3,146","4,469","2,342","1,933","1,453"
2021년04월_계_40~49세,"50,890","2,470","4,297","2,524","3,636","1,363","4,119","8,378","2,907","5,155","4,198","5,475","2,600","2,278","1,490"
2021년04월_계_50~59세,"61,178","3,652","4,734","3,268","3,695","1,724","5,253","9,319","4,598","6,620","5,441","4,874","3,256","2,675","2,069"
2021년04월_계_60~69세,"42,452","3,678","2,790","2,490","2,702","1,286","4,008","5,517","3,058","3,541","3,380","3,493","2,158","2,151","2,200"
2021년04월_계_70~79세,"16,709","1,676","1,248","1,038","1,107",594,"1,505","1,718","1,229","1,340","1,094","1,478",697,795,"1,190"
2021년04월_계_80~89세,"5,763",562,364,377,356,194,625,511,502,513,377,468,219,290,405
2021년04월_계_90~99세,677,55,54,52,50,20,63,73,50,70,44,49,28,27,42
2021년04월_계_100세 이상,20,2,1,1,1,1,3,0,1,0,0,3,2,1,4
2021년04월_남_총인구수,"162,114","9,518","12,579","8,337","10,713","4,714","13,797","25,363","10,466","16,428","13,313","15,119","8,450","7,370","5,947"
2021년04월_남_연령구간인구수,"162,114","9,518","12,579","8,337","10,713","4,714","13,797","25,363","10,466","16,428","13,313","15,119","8,450","7,370","5,947"
2021년04월_남_0~9세,"11,994",418,"1,017",647,929,237,821,"1,758",641,"1,077","1,081","1,675",771,599,323
2021년04월_남_10~19세,"15,805",566,"1,679",662,"1,193",314,"1,094","2,273",880,"1,771","1,720","1,698",968,654,333
2021년04월_남_20~29세,"25,076","1,426","1,817","1,144","1,538",791,"2,301","4,318","1,755","3,311","2,081","1,793","1,199",964,638
2021년04월_남_30~39세,"22,374","1,287","1,453","1,100","1,447",715,"2,135","4,264","1,218","1,907","1,595","2,202","1,171","1,038",842
2021년04월_남_40~49세,"24,926","1,330","1,990","1,284","1,754",736,"2,072","4,097","1,452","2,412","1,829","2,697","1,207","1,191",875
2021년04월_남_50~59세,"30,733","1,784","2,455","1,644","1,874",901,"2,533","4,725","2,263","3,320","2,625","2,467","1,626","1,345","1,171"
2021년04월_남_60~69세,"21,076","1,724","1,408","1,217","1,312",643,"1,935","2,832","1,547","1,805","1,724","1,696","1,084","1,079","1,070"
2021년04월_남_70~79세,"7,992",766,611,479,518,297,691,911,537,632,532,717,348,404,549
2021년04월_남_80~89세,"2,018",209,141,153,138,78,203,169,163,181,118,161,72,91,141
2021년04월_남_90~99세,119,8,8,7,10,2,12,16,10,12,8,13,4,4,5
2021년04월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021년04월_여_총인구수,"155,558","9,273","11,944","8,072","10,435","4,162","13,418","23,542","10,065","15,630","13,237","15,139","8,450","6,937","5,254"
2021년04월_여_연령구간인구수,"155,558","9,273","11,944","8,072","10,435","4,162","13,418","23,542","10,065","15,630","13,237","15,139","8,450","6,937","5,254"
2021년04월_여_0~9세,"11,334",395,927,628,857,236,766,"1,714",501,"1,021",999,"1,672",768,542,308
2021년04월_여_10~19세,"14,030",533,"1,410",570,"1,096",277,930,"2,043",794,"1,641","1,429","1,583",857,599,268
2021년04월_여_20~29세,"19,951","1,092","1,379",969,"1,270",552,"1,878","3,583","1,381","2,447","1,560","1,528","1,035",799,478
2021년04월_여_30~39세,"19,419",979,"1,353",939,"1,271",572,"1,714","3,436","1,016","1,644","1,551","2,267","1,171",895,611
2021년04월_여_40~49세,"25,964","1,140","2,307","1,240","1,882",627,"2,047","4,281","1,455","2,743","2,369","2,778","1,393","1,087",615
2021년04월_여_50~59세,"30,445","1,868","2,279","1,624","1,821",823,"2,720","4,594","2,335","3,300","2,816","2,407","1,630","1,330",898
2021년04월_여_60~69세,"21,376","1,954","1,382","1,273","1,390",643,"2,073","2,685","1,511","1,736","1,656","1,797","1,074","1,072","1,130"
2021년04월_여_70~79세,"8,717",910,637,559,589,297,814,807,692,708,562,761,349,391,641
2021년04월_여_80~89세,"3,745",353,223,224,218,116,422,342,339,332,259,307,147,199,264
2021년04월_여_90~99세,558,47,46,45,40,18,51,57,40,58,36,36,24,23,37
2021년04월_여_100세 이상,19,2,1,1,1,1,3,0,1,0,0,3,2,0,4
