,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2021년09월_계_총인구수,"30,683","9,884","1,420","1,825","2,512","8,324","1,892","1,541","3,285"
2021년09월_계_연령구간인구수,"30,683","9,884","1,420","1,825","2,512","8,324","1,892","1,541","3,285"
2021년09월_계_0~9세,"1,338",576,33,41,64,458,42,26,98
2021년09월_계_10~19세,"1,921",864,38,49,65,732,32,42,99
2021년09월_계_20~29세,"2,314",900,82,101,183,721,102,67,158
2021년09월_계_30~39세,"2,089",766,60,102,156,688,103,68,146
2021년09월_계_40~49세,"3,592","1,433",94,139,224,"1,189",126,121,266
2021년09월_계_50~59세,"5,730","1,839",239,324,517,"1,576",395,278,562
2021년09월_계_60~69세,"6,517","1,735",385,461,637,"1,589",496,351,863
2021년09월_계_70~79세,"4,128","1,085",235,330,383,861,337,324,573
2021년09월_계_80~89세,"2,696",615,226,243,243,459,219,243,448
2021년09월_계_90~99세,349,69,26,34,40,51,39,21,69
2021년09월_계_100세 이상,9,2,2,1,0,0,1,0,3
2021년09월_남_총인구수,"15,762","4,985",710,921,"1,377","4,319","1,020",797,"1,633"
2021년09월_남_연령구간인구수,"15,762","4,985",710,921,"1,377","4,319","1,020",797,"1,633"
2021년09월_남_0~9세,697,304,18,20,30,236,25,14,50
2021년09월_남_10~19세,"1,024",476,20,28,33,378,18,18,53
2021년09월_남_20~29세,"1,360",534,46,57,110,412,64,46,91
2021년09월_남_30~39세,"1,128",385,34,58,96,367,64,45,79
2021년09월_남_40~49세,"2,023",746,54,91,150,650,84,80,168
2021년09월_남_50~59세,"3,250","1,012",134,183,309,879,244,169,320
2021년09월_남_60~69세,"3,465",861,221,243,363,833,286,188,470
2021년09월_남_70~79세,"1,845",455,98,152,188,386,159,154,253
2021년09월_남_80~89세,885,198,75,77,88,165,66,80,136
2021년09월_남_90~99세,81,14,9,11,10,13,9,3,12
2021년09월_남_100세 이상,4,0,1,1,0,0,1,0,1
2021년09월_여_총인구수,"14,921","4,899",710,904,"1,135","4,005",872,744,"1,652"
2021년09월_여_연령구간인구수,"14,921","4,899",710,904,"1,135","4,005",872,744,"1,652"
2021년09월_여_0~9세,641,272,15,21,34,222,17,12,48
2021년09월_여_10~19세,897,388,18,21,32,354,14,24,46
2021년09월_여_20~29세,954,366,36,44,73,309,38,21,67
2021년09월_여_30~39세,961,381,26,44,60,321,39,23,67
2021년09월_여_40~49세,"1,569",687,40,48,74,539,42,41,98
2021년09월_여_50~59세,"2,480",827,105,141,208,697,151,109,242
2021년09월_여_60~69세,"3,052",874,164,218,274,756,210,163,393
2021년09월_여_70~79세,"2,283",630,137,178,195,475,178,170,320
2021년09월_여_80~89세,"1,811",417,151,166,155,294,153,163,312
2021년09월_여_90~99세,268,55,17,23,30,38,30,18,57
2021년09월_여_100세 이상,5,2,1,0,0,0,0,0,2
