카테고리,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2021년07월_계_총인구수,"242,852","8,055","3,106","1,597","7,171","2,898","11,993","1,098","8,141","3,542","1,071","3,127","1,396","6,069","9,214","26,988","7,327","26,192","20,724","34,862","34,509","23,772"
2021년07월_계_연령구간인구수,"242,852","8,055","3,106","1,597","7,171","2,898","11,993","1,098","8,141","3,542","1,071","3,127","1,396","6,069","9,214","26,988","7,327","26,192","20,724","34,862","34,509","23,772"
2021년07월_계_0~9세,"25,144",551,82,27,370,64,"1,356",34,463,170,28,70,51,373,497,"4,288",597,"2,331","1,563","3,269","5,531","3,429"
2021년07월_계_10~19세,"27,866",624,117,60,576,149,"1,140",51,651,268,28,109,70,648,921,"3,523",650,"3,019","2,212","4,203","5,084","3,763"
2021년07월_계_20~29세,"23,512",669,218,81,547,203,921,58,743,277,45,196,72,633,944,"2,280",824,"2,821","2,762","4,027","2,981","2,210"
2021년07월_계_30~39세,"34,387",831,209,90,577,146,"1,678",78,826,290,63,174,95,614,837,"5,557","1,049","3,478","3,234","4,735","6,311","3,515"
2021년07월_계_40~49세,"47,410","1,242",343,152,961,305,"2,191",107,"1,350",439,104,372,180,"1,171","1,591","6,194","1,337","4,953","4,400","6,840","7,656","5,522"
2021년07월_계_50~59세,"39,372","1,618",607,329,"1,284",547,"1,900",227,"1,669",645,200,566,260,"1,205","1,880","2,989","1,358","4,848","3,942","5,966","4,184","3,148"
2021년07월_계_60~69세,"28,107","1,491",742,397,"1,413",729,"1,566",299,"1,419",727,264,734,320,880,"1,668","1,550","1,073","3,448","1,941","4,091","1,884","1,471"
2021년07월_계_70~79세,"11,103",629,496,282,832,455,815,161,617,430,204,523,203,360,625,419,319,914,471,"1,241",628,479
2021년07월_계_80~89세,"5,111",341,255,158,508,256,370,70,342,249,115,333,125,167,225,164,106,327,169,424,205,202
2021년07월_계_90~99세,812,58,36,21,98,42,54,13,60,46,20,46,20,17,25,24,14,52,28,65,43,30
2021년07월_계_100세 이상,28,1,1,0,5,2,2,0,1,1,0,4,0,1,1,0,0,1,2,1,2,3
2021년07월_남_총인구수,"127,340","4,125","1,610",805,"3,547","1,506","6,225",558,"4,501","1,837",542,"1,595",690,"3,380","4,979","14,453","3,959","13,617","11,787","17,968","17,529","12,127"
2021년07월_남_연령구간인구수,"127,340","4,125","1,610",805,"3,547","1,506","6,225",558,"4,501","1,837",542,"1,595",690,"3,380","4,979","14,453","3,959","13,617","11,787","17,968","17,529","12,127"
2021년07월_남_0~9세,"13,023",281,48,13,195,37,682,17,259,89,17,38,26,203,277,"2,215",304,"1,194",825,"1,710","2,797","1,796"
2021년07월_남_10~19세,"14,554",328,64,33,281,83,601,31,351,148,15,65,31,344,502,"1,831",346,"1,616","1,153","2,167","2,607","1,957"
2021년07월_남_20~29세,"13,308",393,120,50,310,134,524,32,443,136,24,117,44,376,538,"1,285",510,"1,546","1,649","2,268","1,577","1,232"
2021년07월_남_30~39세,"18,027",423,135,51,303,88,832,51,480,170,33,102,50,370,466,"2,927",591,"1,821","2,037","2,456","3,037","1,604"
2021년07월_남_40~49세,"25,730",656,212,92,531,181,"1,230",58,806,263,69,239,102,703,903,"3,475",763,"2,633","2,604","3,527","3,955","2,728"
2021년07월_남_50~59세,"21,252",854,327,192,652,291,"1,041",120,973,352,119,316,151,702,"1,033","1,686",720,"2,461","2,232","3,065","2,230","1,735"
2021년07월_남_60~69세,"14,417",779,369,211,733,387,798,157,760,363,138,372,164,475,870,790,538,"1,784",988,"2,029",944,768
2021년07월_남_70~79세,"5,305",299,237,113,377,215,400,71,308,222,91,237,80,160,309,202,159,453,245,593,299,235
2021년07월_남_80~89세,"1,586",103,91,47,155,82,104,17,109,90,35,101,40,45,75,38,26,103,49,136,77,63
2021년07월_남_90~99세,130,8,6,3,9,8,13,4,12,4,1,7,2,2,5,4,2,6,5,16,5,8
2021년07월_남_100세 이상,8,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
2021년07월_여_총인구수,"115,512","3,930","1,496",792,"3,624","1,392","5,768",540,"3,640","1,705",529,"1,532",706,"2,689","4,235","12,535","3,368","12,575","8,937","16,894","16,980","11,645"
2021년07월_여_연령구간인구수,"115,512","3,930","1,496",792,"3,624","1,392","5,768",540,"3,640","1,705",529,"1,532",706,"2,689","4,235","12,535","3,368","12,575","8,937","16,894","16,980","11,645"
2021년07월_여_0~9세,"12,121",270,34,14,175,27,674,17,204,81,11,32,25,170,220,"2,073",293,"1,137",738,"1,559","2,734","1,633"
2021년07월_여_10~19세,"13,312",296,53,27,295,66,539,20,300,120,13,44,39,304,419,"1,692",304,"1,403","1,059","2,036","2,477","1,806"
2021년07월_여_20~29세,"10,204",276,98,31,237,69,397,26,300,141,21,79,28,257,406,995,314,"1,275","1,113","1,759","1,404",978
2021년07월_여_30~39세,"16,360",408,74,39,274,58,846,27,346,120,30,72,45,244,371,"2,630",458,"1,657","1,197","2,279","3,274","1,911"
2021년07월_여_40~49세,"21,680",586,131,60,430,124,961,49,544,176,35,133,78,468,688,"2,719",574,"2,320","1,796","3,313","3,701","2,794"
2021년07월_여_50~59세,"18,120",764,280,137,632,256,859,107,696,293,81,250,109,503,847,"1,303",638,"2,387","1,710","2,901","1,954","1,413"
2021년07월_여_60~69세,"13,690",712,373,186,680,342,768,142,659,364,126,362,156,405,798,760,535,"1,664",953,"2,062",940,703
2021년07월_여_70~79세,"5,798",330,259,169,455,240,415,90,309,208,113,286,123,200,316,217,160,461,226,648,329,244
2021년07월_여_80~89세,"3,525",238,164,111,353,174,266,53,233,159,80,232,85,122,150,126,80,224,120,288,128,139
2021년07월_여_90~99세,682,50,30,18,89,34,41,9,48,42,19,39,18,15,20,20,12,46,23,49,38,22
2021년07월_여_100세 이상,20,0,0,0,4,2,2,0,1,1,0,3,0,1,0,0,0,1,2,0,1,2
