카테고리,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2020년10월_계_총인구수,"229,424","36,062","20,022","60,776","31,904","16,204","64,456"
2020년10월_계_연령구간인구수,"229,424","36,062","20,022","60,776","31,904","16,204","64,456"
2020년10월_계_0~9세,"24,044","4,077",942,"7,256","4,055","1,437","6,277"
2020년10월_계_10~19세,"24,935","4,220","1,179","6,903","3,303","1,993","7,337"
2020년10월_계_20~29세,"31,115","4,465","3,723","7,044","4,095","2,187","9,601"
2020년10월_계_30~39세,"39,172","5,673","4,811","10,044","6,077","2,381","10,186"
2020년10월_계_40~49세,"43,201","6,781","3,696","11,509","6,016","3,118","12,081"
2020년10월_계_50~59세,"33,133","5,364","2,799","8,447","4,217","2,506","9,800"
2020년10월_계_60~69세,"19,659","3,112","1,722","5,525","2,585","1,447","5,268"
2020년10월_계_70~79세,"9,681","1,588",808,"2,761","1,069",766,"2,689"
2020년10월_계_80~89세,"3,933",688,301,"1,136",411,331,"1,066"
2020년10월_계_90~99세,507,87,35,139,70,33,143
2020년10월_계_100세 이상,44,7,6,12,6,5,8
2020년10월_남_총인구수,"118,665","18,097","11,765","30,703","16,349","8,339","33,412"
2020년10월_남_연령구간인구수,"118,665","18,097","11,765","30,703","16,349","8,339","33,412"
2020년10월_남_0~9세,"12,244","2,113",465,"3,681","2,059",753,"3,173"
2020년10월_남_10~19세,"12,727","2,079",595,"3,489","1,673","1,031","3,860"
2020년10월_남_20~29세,"16,832","2,343","2,112","3,741","2,166","1,195","5,275"
2020년10월_남_30~39세,"21,188","2,922","3,099","5,217","3,185","1,305","5,460"
2020년10월_남_40~49세,"22,888","3,443","2,283","6,077","3,155","1,580","6,350"
2020년10월_남_50~59세,"17,228","2,732","1,753","4,238","2,113","1,312","5,080"
2020년10월_남_60~69세,"9,715","1,532",937,"2,622","1,310",708,"2,606"
2020년10월_남_70~79세,"4,283",662,383,"1,222",527,331,"1,158"
2020년10월_남_80~89세,"1,446",256,129,383,150,114,414
2020년10월_남_90~99세,102,13,7,30,10,7,35
2020년10월_남_100세 이상,12,2,2,3,1,3,1
2020년10월_여_총인구수,"110,759","17,965","8,257","30,073","15,555","7,865","31,044"
2020년10월_여_연령구간인구수,"110,759","17,965","8,257","30,073","15,555","7,865","31,044"
2020년10월_여_0~9세,"11,800","1,964",477,"3,575","1,996",684,"3,104"
2020년10월_여_10~19세,"12,208","2,141",584,"3,414","1,630",962,"3,477"
2020년10월_여_20~29세,"14,283","2,122","1,611","3,303","1,929",992,"4,326"
2020년10월_여_30~39세,"17,984","2,751","1,712","4,827","2,892","1,076","4,726"
2020년10월_여_40~49세,"20,313","3,338","1,413","5,432","2,861","1,538","5,731"
2020년10월_여_50~59세,"15,905","2,632","1,046","4,209","2,104","1,194","4,720"
2020년10월_여_60~69세,"9,944","1,580",785,"2,903","1,275",739,"2,662"
2020년10월_여_70~79세,"5,398",926,425,"1,539",542,435,"1,531"
2020년10월_여_80~89세,"2,487",432,172,753,261,217,652
2020년10월_여_90~99세,405,74,28,109,60,26,108
2020년10월_여_100세 이상,32,5,4,9,5,2,7
