,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2021년06월_계_총인구수,"266,747","26,423","35,861","20,778","5,818","5,497","3,308","3,708","2,973","9,802","6,464","19,933","35,807","35,386","16,150","38,839"
2021년06월_계_연령구간인구수,"266,747","26,423","35,861","20,778","5,818","5,497","3,308","3,708","2,973","9,802","6,464","19,933","35,807","35,386","16,150","38,839"
2021년06월_계_0~9세,"19,981","1,722","2,291","2,237",142,135,71,116,81,534,206,"1,927","2,628","3,790",960,"3,141"
2021년06월_계_10~19세,"22,908","2,785","3,363","1,206",265,243,103,152,102,577,390,"1,982","3,872","2,876",791,"4,201"
2021년06월_계_20~29세,"36,418","3,979","5,349","3,122",474,448,204,253,243,"1,506",959,"2,040","4,335","4,423","3,740","5,343"
2021년06월_계_30~39세,"33,080","2,690","3,859","4,020",456,387,197,215,180,"1,152",672,"2,564","3,793","5,357","2,765","4,773"
2021년06월_계_40~49세,"41,596","4,146","6,145","3,038",600,589,271,355,275,"1,246",780,"3,539","6,131","5,559","2,178","6,744"
2021년06월_계_50~59세,"45,440","4,353","6,945","2,792","1,157","1,001",570,690,576,"1,872","1,265","3,006","6,159","5,988","2,449","6,617"
2021년06월_계_60~69세,"36,654","3,385","4,294","2,399","1,394","1,338",863,907,711,"1,764","1,156","2,645","4,971","4,262","1,893","4,672"
2021년06월_계_70~79세,"19,822","2,162","2,305","1,230",806,840,610,573,506,789,646,"1,515","2,593","2,148",919,"2,180"
2021년06월_계_80~89세,"9,642","1,084","1,182",653,464,457,367,379,254,324,357,631,"1,173",887,403,"1,027"
2021년06월_계_90~99세,"1,174",113,125,78,59,56,51,65,43,38,32,83,149,93,52,137
2021년06월_계_100세 이상,32,4,3,3,1,3,1,3,2,0,1,1,3,3,0,4
2021년06월_남_총인구수,"134,238","13,293","18,739","11,058","3,131","2,791","1,740","1,916","1,534","4,748","3,215","9,799","17,063","17,002","8,809","19,400"
2021년06월_남_연령구간인구수,"134,238","13,293","18,739","11,058","3,131","2,791","1,740","1,916","1,534","4,748","3,215","9,799","17,063","17,002","8,809","19,400"
2021년06월_남_0~9세,"10,175",908,"1,184","1,181",75,69,34,56,48,267,114,976,"1,263","1,856",518,"1,626"
2021년06월_남_10~19세,"11,848","1,471","1,693",645,146,126,52,76,54,294,212,"1,082","1,896","1,424",416,"2,261"
2021년06월_남_20~29세,"19,917","2,238","3,080","1,740",294,252,134,159,151,771,521,"1,082","2,224","2,338","2,046","2,887"
2021년06월_남_30~39세,"17,820","1,478","2,199","2,266",263,239,124,125,109,610,398,"1,323","1,843","2,675","1,680","2,488"
2021년06월_남_40~49세,"21,326","2,022","3,215","1,781",375,365,172,211,160,610,405,"1,768","2,970","2,660","1,276","3,336"
2021년06월_남_50~59세,"22,784","2,224","3,719","1,429",659,509,324,383,323,871,632,"1,448","2,950","2,756","1,319","3,238"
2021년06월_남_60~69세,"17,934","1,635","2,227","1,212",745,696,482,497,349,848,555,"1,206","2,344","1,957",937,"2,244"
2021년06월_남_70~79세,"8,859",915,997,567,400,387,289,280,246,366,259,663,"1,103",971,464,952
2021년06월_남_80~89세,"3,313",377,389,219,161,140,119,116,80,104,112,231,437,339,145,344
2021년06월_남_90~99세,256,24,36,18,12,8,10,13,12,7,7,20,33,25,8,23
2021년06월_남_100세 이상,6,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1
2021년06월_여_총인구수,"132,509","13,130","17,122","9,720","2,687","2,706","1,568","1,792","1,439","5,054","3,249","10,134","18,744","18,384","7,341","19,439"
2021년06월_여_연령구간인구수,"132,509","13,130","17,122","9,720","2,687","2,706","1,568","1,792","1,439","5,054","3,249","10,134","18,744","18,384","7,341","19,439"
2021년06월_여_0~9세,"9,806",814,"1,107","1,056",67,66,37,60,33,267,92,951,"1,365","1,934",442,"1,515"
2021년06월_여_10~19세,"11,060","1,314","1,670",561,119,117,51,76,48,283,178,900,"1,976","1,452",375,"1,940"
2021년06월_여_20~29세,"16,501","1,741","2,269","1,382",180,196,70,94,92,735,438,958,"2,111","2,085","1,694","2,456"
2021년06월_여_30~39세,"15,260","1,212","1,660","1,754",193,148,73,90,71,542,274,"1,241","1,950","2,682","1,085","2,285"
2021년06월_여_40~49세,"20,270","2,124","2,930","1,257",225,224,99,144,115,636,375,"1,771","3,161","2,899",902,"3,408"
2021년06월_여_50~59세,"22,656","2,129","3,226","1,363",498,492,246,307,253,"1,001",633,"1,558","3,209","3,232","1,130","3,379"
2021년06월_여_60~69세,"18,720","1,750","2,067","1,187",649,642,381,410,362,916,601,"1,439","2,627","2,305",956,"2,428"
2021년06월_여_70~79세,"10,963","1,247","1,308",663,406,453,321,293,260,423,387,852,"1,490","1,177",455,"1,228"
2021년06월_여_80~89세,"6,329",707,793,434,303,317,248,263,174,220,245,400,736,548,258,683
2021년06월_여_90~99세,918,89,89,60,47,48,41,52,31,31,25,63,116,68,44,114
2021년06월_여_100세 이상,26,3,3,3,0,3,1,3,0,0,1,1,3,2,0,3
