카테고리,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020년11월_계_총인구수,"455,058","31,573","30,495","22,480","25,972","42,257","20,948","21,378","15,826","18,450","15,104","13,665","20,616","20,981","20,147","46,573","33,623","25,009","29,961"
2020년11월_계_연령구간인구수,"455,058","31,573","30,495","22,480","25,972","42,257","20,948","21,378","15,826","18,450","15,104","13,665","20,616","20,981","20,147","46,573","33,623","25,009","29,961"
2020년11월_계_0~9세,"31,741","2,955","1,724","1,385","1,427","3,407","1,001","1,473",908,"1,509","1,020","1,428","1,077","1,851","1,324","3,437","1,739","2,074","2,002"
2020년11월_계_10~19세,"50,988","5,141","2,562","1,555","3,376","7,652","1,351","1,794","1,143","1,632","1,287","1,237","1,401","3,066","2,984","5,308","2,325","3,688","3,486"
2020년11월_계_20~29세,"59,949","3,431","5,035","3,560","4,161","4,541","2,679","2,699","2,063","2,192","2,148","1,591","2,680","2,485","2,620","5,938","5,293","3,206","3,627"
2020년11월_계_30~39세,"58,110","3,331","5,281","4,028","2,835","4,015","2,751","3,045","2,048","2,526","2,130","2,583","2,665","2,098","1,820","5,815","5,153","2,750","3,236"
2020년11월_계_40~49세,"79,161","6,970","4,616","3,222","4,589","9,266","3,132","3,361","2,259","3,063","2,316","2,138","3,011","4,107","3,827","8,045","5,262","4,759","5,218"
2020년11월_계_50~59세,"76,713","5,006","4,953","3,684","4,850","6,697","3,931","3,348","2,987","2,847","2,554","2,031","3,625","3,530","3,654","7,871","5,432","4,420","5,293"
2020년11월_계_60~69세,"57,301","2,842","3,822","3,011","2,670","4,087","3,580","3,308","2,522","2,734","2,155","1,638","3,443","2,187","2,241","5,740","4,781","2,584","3,956"
2020년11월_계_70~79세,"28,528","1,320","1,720","1,355","1,451","1,702","1,853","1,713","1,363","1,380","1,075",758,"1,815","1,104","1,124","3,087","2,664","1,001","2,043"
2020년11월_계_80~89세,"10,682",482,663,583,534,718,568,544,463,495,364,211,799,450,465,"1,128",856,427,932
2020년11월_계_90~99세,"1,697",89,105,83,70,165,88,85,58,62,48,39,97,95,72,189,103,99,150
2020년11월_계_100세 이상,188,6,14,14,9,7,14,8,12,10,7,11,3,8,16,15,15,1,18
2020년11월_남_총인구수,"223,217","15,159","14,826","10,744","12,697","20,911","10,744","10,480","8,343","9,059","7,482","6,725","10,126","10,234","9,875","22,706","16,479","12,150","14,477"
2020년11월_남_연령구간인구수,"223,217","15,159","14,826","10,744","12,697","20,911","10,744","10,480","8,343","9,059","7,482","6,725","10,126","10,234","9,875","22,706","16,479","12,150","14,477"
2020년11월_남_0~9세,"16,282","1,479",869,728,692,"1,782",520,754,493,761,515,742,559,980,664,"1,755",910,"1,058","1,021"
2020년11월_남_10~19세,"26,550","2,575","1,359",846,"1,823","4,161",676,884,591,863,687,599,709,"1,562","1,566","2,755","1,188","1,905","1,801"
2020년11월_남_20~29세,"30,580","1,672","2,474","1,733","2,197","2,366","1,423","1,393","1,085","1,136","1,100",809,"1,421","1,264","1,351","3,070","2,551","1,642","1,893"
2020년11월_남_30~39세,"28,599","1,405","2,696","1,971","1,400","1,757","1,512","1,551","1,110","1,245","1,122","1,305","1,408",913,848,"2,860","2,732","1,224","1,540"
2020년11월_남_40~49세,"37,900","3,191","2,215","1,549","2,029","4,148","1,633","1,706","1,267","1,559","1,149","1,066","1,559","1,928","1,757","3,886","2,620","2,139","2,499"
2020년11월_남_50~59세,"38,132","2,625","2,334","1,672","2,407","3,472","2,048","1,627","1,632","1,373","1,221",976,"1,776","1,808","1,878","3,831","2,615","2,206","2,631"
2020년11월_남_60~69세,"27,492","1,386","1,806","1,406","1,292","2,018","1,817","1,512","1,350","1,280","1,039",774,"1,628","1,063","1,125","2,657","2,212","1,267","1,860"
2020년11월_남_70~79세,"13,457",633,817,619,672,905,894,832,618,661,506,367,767,529,487,"1,452","1,249",533,916
2020년11월_남_80~89세,"3,756",165,219,199,166,256,200,206,180,161,133,76,272,164,176,397,367,143,276
2020년11월_남_90~99세,421,26,32,18,16,46,16,13,13,18,8,9,24,20,20,41,32,33,36
2020년11월_남_100세 이상,48,2,5,3,3,0,5,2,4,2,2,2,3,3,3,2,3,0,4
2020년11월_여_총인구수,"231,841","16,414","15,669","11,736","13,275","21,346","10,204","10,898","7,483","9,391","7,622","6,940","10,490","10,747","10,272","23,867","17,144","12,859","15,484"
2020년11월_여_연령구간인구수,"231,841","16,414","15,669","11,736","13,275","21,346","10,204","10,898","7,483","9,391","7,622","6,940","10,490","10,747","10,272","23,867","17,144","12,859","15,484"
2020년11월_여_0~9세,"15,459","1,476",855,657,735,"1,625",481,719,415,748,505,686,518,871,660,"1,682",829,"1,016",981
2020년11월_여_10~19세,"24,438","2,566","1,203",709,"1,553","3,491",675,910,552,769,600,638,692,"1,504","1,418","2,553","1,137","1,783","1,685"
2020년11월_여_20~29세,"29,369","1,759","2,561","1,827","1,964","2,175","1,256","1,306",978,"1,056","1,048",782,"1,259","1,221","1,269","2,868","2,742","1,564","1,734"
2020년11월_여_30~39세,"29,511","1,926","2,585","2,057","1,435","2,258","1,239","1,494",938,"1,281","1,008","1,278","1,257","1,185",972,"2,955","2,421","1,526","1,696"
2020년11월_여_40~49세,"41,261","3,779","2,401","1,673","2,560","5,118","1,499","1,655",992,"1,504","1,167","1,072","1,452","2,179","2,070","4,159","2,642","2,620","2,719"
2020년11월_여_50~59세,"38,581","2,381","2,619","2,012","2,443","3,225","1,883","1,721","1,355","1,474","1,333","1,055","1,849","1,722","1,776","4,040","2,817","2,214","2,662"
2020년11월_여_60~69세,"29,809","1,456","2,016","1,605","1,378","2,069","1,763","1,796","1,172","1,454","1,116",864,"1,815","1,124","1,116","3,083","2,569","1,317","2,096"
2020년11월_여_70~79세,"15,071",687,903,736,779,797,959,881,745,719,569,391,"1,048",575,637,"1,635","1,415",468,"1,127"
2020년11월_여_80~89세,"6,926",317,444,384,368,462,368,338,283,334,231,135,527,286,289,731,489,284,656
