카테고리,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020년05월_계_총인구수,"41,779","8,594","1,665",856,"1,631","5,349","5,692","3,115","8,890","5,987"
2020년05월_계_연령구간인구수,"41,779","8,594","1,665",856,"1,631","5,349","5,692","3,115","8,890","5,987"
2020년05월_계_0~9세,"1,968",442,41,29,49,240,282,127,450,308
2020년05월_계_10~19세,"2,992",735,82,45,74,351,443,216,683,363
2020년05월_계_20~29세,"3,408",779,104,44,92,406,425,219,753,586
2020년05월_계_30~39세,"3,269",724,74,43,87,354,506,183,657,641
2020년05월_계_40~49세,"5,427","1,115",189,73,148,657,780,392,"1,160",913
2020년05월_계_50~59세,"8,192","1,611",363,180,364,"1,000","1,158",673,"1,712","1,131"
2020년05월_계_60~69세,"8,520","1,637",410,225,452,"1,170","1,157",677,"1,745","1,047"
2020년05월_계_70~79세,"5,036",917,262,136,235,705,615,366,"1,132",668
2020년05월_계_80~89세,"2,582",554,114,72,113,403,299,235,500,292
2020년05월_계_90~99세,344,72,26,9,16,58,27,26,79,31
2020년05월_계_100세 이상,41,8,0,0,1,5,0,1,19,7
2020년05월_남_총인구수,"21,376","4,372",879,441,856,"2,704","2,979","1,568","4,468","3,109"
2020년05월_남_연령구간인구수,"21,376","4,372",879,441,856,"2,704","2,979","1,568","4,468","3,109"
2020년05월_남_0~9세,979,226,18,19,22,119,127,61,238,149
2020년05월_남_10~19세,"1,589",377,46,25,33,177,252,117,351,211
2020년05월_남_20~29세,"1,960",446,61,29,57,238,245,122,422,340
2020년05월_남_30~39세,"1,772",382,47,18,47,189,277,91,344,377
2020년05월_남_40~49세,"2,981",592,120,38,81,378,421,216,625,510
2020년05월_남_50~59세,"4,361",860,199,92,196,525,614,361,900,614
2020년05월_남_60~69세,"4,401",848,233,128,259,599,609,347,883,495
2020년05월_남_70~79세,"2,326",437,118,58,118,317,315,163,513,287
2020년05월_남_80~89세,917,188,34,33,41,145,112,81,170,113
2020년05월_남_90~99세,79,14,3,1,2,16,7,8,17,11
2020년05월_남_100세 이상,11,2,0,0,0,1,0,1,5,2
2020년05월_여_총인구수,"20,403","4,222",786,415,775,"2,645","2,713","1,547","4,422","2,878"
2020년05월_여_연령구간인구수,"20,403","4,222",786,415,775,"2,645","2,713","1,547","4,422","2,878"
2020년05월_여_0~9세,989,216,23,10,27,121,155,66,212,159
2020년05월_여_10~19세,"1,403",358,36,20,41,174,191,99,332,152
2020년05월_여_20~29세,"1,448",333,43,15,35,168,180,97,331,246
2020년05월_여_30~39세,"1,497",342,27,25,40,165,229,92,313,264
2020년05월_여_40~49세,"2,446",523,69,35,67,279,359,176,535,403
2020년05월_여_50~59세,"3,831",751,164,88,168,475,544,312,812,517
2020년05월_여_60~69세,"4,119",789,177,97,193,571,548,330,862,552
2020년05월_여_70~79세,"2,710",480,144,78,117,388,300,203,619,381
2020년05월_여_80~89세,"1,665",366,80,39,72,258,187,154,330,179
2020년05월_여_90~99세,265,58,23,8,14,42,20,18,62,20
2020년05월_여_100세 이상,30,6,0,0,1,4,0,0,14,5
