카테고리,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2021년01월_계_총인구수,"26,687","6,967","6,239","2,405","3,739","7,337",0
2021년01월_계_연령구간인구수,"26,687","6,967","6,239","2,405","3,739","7,337",0
2021년01월_계_0~9세,"1,271",545,202,60,153,311,0
2021년01월_계_10~19세,"1,601",579,338,99,184,401,0
2021년01월_계_20~29세,"2,832",889,525,157,398,863,0
2021년01월_계_30~39세,"2,224",783,354,157,313,617,0
2021년01월_계_40~49세,"3,043",903,616,209,381,934,0
2021년01월_계_50~59세,"4,786","1,131","1,140",444,678,"1,393",0
2021년01월_계_60~69세,"5,227","1,030","1,385",589,774,"1,449",0
2021년01월_계_70~79세,"3,483",656,"1,010",430,516,871,0
2021년01월_계_80~89세,"1,861",372,547,222,295,425,0
2021년01월_계_90~99세,342,74,118,37,43,70,0
2021년01월_계_100세 이상,17,5,4,1,4,3,0
2021년01월_남_총인구수,"13,762","3,641","3,107","1,184","1,945","3,885",0
2021년01월_남_연령구간인구수,"13,762","3,641","3,107","1,184","1,945","3,885",0
2021년01월_남_0~9세,650,285,101,29,75,160,0
2021년01월_남_10~19세,871,319,180,57,93,222,0
2021년01월_남_20~29세,"1,797",554,338,89,252,564,0
2021년01월_남_30~39세,"1,263",423,199,96,192,353,0
2021년01월_남_40~49세,"1,696",477,335,131,220,533,0
2021년01월_남_50~59세,"2,584",612,636,229,356,751,0
2021년01월_남_60~69세,"2,674",522,685,305,409,753,0
2021년01월_남_70~79세,"1,497",305,415,175,229,373,0
2021년01월_남_80~89세,649,122,195,64,108,160,0
2021년01월_남_90~99세,78,21,23,9,11,14,0
2021년01월_남_100세 이상,3,1,0,0,0,2,0
2021년01월_여_총인구수,"12,925","3,326","3,132","1,221","1,794","3,452",0
2021년01월_여_연령구간인구수,"12,925","3,326","3,132","1,221","1,794","3,452",0
2021년01월_여_0~9세,621,260,101,31,78,151,0
2021년01월_여_10~19세,730,260,158,42,91,179,0
2021년01월_여_20~29세,"1,035",335,187,68,146,299,0
2021년01월_여_30~39세,961,360,155,61,121,264,0
2021년01월_여_40~49세,"1,347",426,281,78,161,401,0
2021년01월_여_50~59세,"2,202",519,504,215,322,642,0
2021년01월_여_60~69세,"2,553",508,700,284,365,696,0
2021년01월_여_70~79세,"1,986",351,595,255,287,498,0
2021년01월_여_80~89세,"1,212",250,352,158,187,265,0
2021년01월_여_90~99세,264,53,95,28,32,56,0
2021년01월_여_100세 이상,14,4,4,1,4,1,0
