카테고리,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2020년07월_계_총인구수,"25,477","10,177",832,"1,067","1,408",878,"1,976","1,785","1,866","2,895","1,088","1,505"
2020년07월_계_연령구간인구수,"25,477","10,177",832,"1,067","1,408",878,"1,976","1,785","1,866","2,895","1,088","1,505"
2020년07월_계_0~9세,"1,341",716,15,51,68,36,85,77,54,137,62,40
2020년07월_계_10~19세,"1,670",848,25,67,80,39,89,82,91,221,60,68
2020년07월_계_20~29세,"1,969",932,39,63,74,51,154,132,143,233,67,81
2020년07월_계_30~39세,"1,732",891,38,48,57,66,106,93,98,197,83,55
2020년07월_계_40~49세,"2,833","1,370",66,93,129,80,202,181,158,316,99,139
2020년07월_계_50~59세,"4,574","1,710",180,200,259,167,361,314,341,560,206,276
2020년07월_계_60~69세,"4,711","1,562",214,207,290,194,397,366,369,585,213,314
2020년07월_계_70~79세,"3,835","1,243",162,185,245,139,319,314,354,395,162,317
2020년07월_계_80~89세,"2,423",792,80,132,169,99,227,193,223,207,116,185
2020년07월_계_90~99세,362,104,11,21,34,7,34,27,32,43,19,30
2020년07월_계_100세 이상,27,9,2,0,3,0,2,6,3,1,1,0
2020년07월_남_총인구수,"12,873","5,107",418,517,668,448,"1,022",895,922,"1,523",575,778
2020년07월_남_연령구간인구수,"12,873","5,107",418,517,668,448,"1,022",895,922,"1,523",575,778
2020년07월_남_0~9세,668,348,6,23,30,15,46,42,28,73,34,23
2020년07월_남_10~19세,890,436,15,35,38,20,52,43,51,126,35,39
2020년07월_남_20~29세,"1,116",528,24,35,47,30,87,66,67,143,44,45
2020년07월_남_30~39세,838,404,24,22,22,34,66,40,47,97,48,34
2020년07월_남_40~49세,"1,659",781,41,51,67,46,128,114,103,180,60,88
2020년07월_남_50~59세,"2,581",948,98,107,142,93,210,189,198,325,102,169
2020년07월_남_60~69세,"2,479",822,110,111,154,106,198,194,185,312,122,165
2020년07월_남_70~79세,"1,750",548,73,82,113,68,150,147,155,194,78,142
2020년07월_남_80~89세,793,258,24,47,44,34,81,53,77,63,46,66
2020년07월_남_90~99세,90,30,2,4,10,2,4,5,10,10,6,7
2020년07월_남_100세 이상,9,4,1,0,1,0,0,2,1,0,0,0
2020년07월_여_총인구수,"12,604","5,070",414,550,740,430,954,890,944,"1,372",513,727
2020년07월_여_연령구간인구수,"12,604","5,070",414,550,740,430,954,890,944,"1,372",513,727
2020년07월_여_0~9세,673,368,9,28,38,21,39,35,26,64,28,17
2020년07월_여_10~19세,780,412,10,32,42,19,37,39,40,95,25,29
2020년07월_여_20~29세,853,404,15,28,27,21,67,66,76,90,23,36
2020년07월_여_30~39세,894,487,14,26,35,32,40,53,51,100,35,21
2020년07월_여_40~49세,"1,174",589,25,42,62,34,74,67,55,136,39,51
2020년07월_여_50~59세,"1,993",762,82,93,117,74,151,125,143,235,104,107
2020년07월_여_60~69세,"2,232",740,104,96,136,88,199,172,184,273,91,149
2020년07월_여_70~79세,"2,085",695,89,103,132,71,169,167,199,201,84,175
2020년07월_여_80~89세,"1,630",534,56,85,125,65,146,140,146,144,70,119
2020년07월_여_90~99세,272,74,9,17,24,5,30,22,22,33,13,23
2020년07월_여_100세 이상,18,5,1,0,2,0,2,4,2,1,1,0
