,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2020년10월_계_총인구수,"83,090","30,022","27,426",0,"3,247","3,553","2,080","6,143","10,619"
2020년10월_계_연령구간인구수,"83,090","30,022","27,426",0,"3,247","3,553","2,080","6,143","10,619"
2020년10월_계_0~9세,"7,718","2,304","4,187",0,86,124,51,208,758
2020년10월_계_10~19세,"8,081","3,240","2,838",0,191,135,79,401,"1,197"
2020년10월_계_20~29세,"9,157","3,877","2,931",0,214,290,103,528,"1,214"
2020년10월_계_30~39세,"11,418","3,216","5,875",0,177,268,117,472,"1,293"
2020년10월_계_40~49세,"13,400","5,008","4,984",0,318,365,170,727,"1,828"
2020년10월_계_50~59세,"13,715","5,346","3,260",0,644,759,388,"1,248","2,070"
2020년10월_계_60~69세,"10,156","3,649","1,929",0,725,782,547,"1,264","1,260"
2020년10월_계_70~79세,"5,509","2,078",830,0,471,455,339,727,609
2020년10월_계_80~89세,"3,456","1,151",525,0,379,327,247,484,343
2020년10월_계_90~99세,461,148,63,0,41,47,37,78,47
2020년10월_계_100세 이상,19,5,4,0,1,1,2,6,0
2020년10월_남_총인구수,"43,522","15,410","14,508",0,"1,667","1,853","1,053","3,243","5,788"
2020년10월_남_연령구간인구수,"43,522","15,410","14,508",0,"1,667","1,853","1,053","3,243","5,788"
2020년10월_남_0~9세,"3,966","1,203","2,134",0,44,60,25,111,389
2020년10월_남_10~19세,"4,246","1,709","1,455",0,97,67,42,205,671
2020년10월_남_20~29세,"5,277","2,212","1,642",0,127,171,66,335,724
2020년10월_남_30~39세,"6,258","1,694","3,198",0,111,155,67,278,755
2020년10월_남_40~49세,"7,326","2,618","2,756",0,192,228,102,426,"1,004"
2020년10월_남_50~59세,"7,484","2,862","1,768",0,376,416,223,693,"1,146"
2020년10월_남_60~69세,"5,194","1,766",967,0,383,425,278,687,688
2020년10월_남_70~79세,"2,511",930,376,0,216,218,152,339,280
2020년10월_남_80~89세,"1,170",384,196,0,114,102,91,158,125
2020년10월_남_90~99세,85,30,16,0,7,10,7,9,6
2020년10월_남_100세 이상,5,2,0,0,0,1,0,2,0
2020년10월_여_총인구수,"39,568","14,612","12,918",0,"1,580","1,700","1,027","2,900","4,831"
2020년10월_여_연령구간인구수,"39,568","14,612","12,918",0,"1,580","1,700","1,027","2,900","4,831"
2020년10월_여_0~9세,"3,752","1,101","2,053",0,42,64,26,97,369
2020년10월_여_10~19세,"3,835","1,531","1,383",0,94,68,37,196,526
2020년10월_여_20~29세,"3,880","1,665","1,289",0,87,119,37,193,490
2020년10월_여_30~39세,"5,160","1,522","2,677",0,66,113,50,194,538
2020년10월_여_40~49세,"6,074","2,390","2,228",0,126,137,68,301,824
2020년10월_여_50~59세,"6,231","2,484","1,492",0,268,343,165,555,924
2020년10월_여_60~69세,"4,962","1,883",962,0,342,357,269,577,572
2020년10월_여_70~79세,"2,998","1,148",454,0,255,237,187,388,329
2020년10월_여_80~89세,"2,286",767,329,0,265,225,156,326,218
2020년10월_여_90~99세,376,118,47,0,34,37,30,69,41
2020년10월_여_100세 이상,14,3,4,0,1,0,2,4,0
