,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2021년09월_계_총인구수,"242,103","8,065","3,089","1,573","7,186","2,867","11,944","1,093","8,097","3,510","1,070","3,109","1,388","6,009","9,188","26,975","7,318","26,055","20,771","34,623","34,423","23,750"
2021년09월_계_연령구간인구수,"242,103","8,065","3,089","1,573","7,186","2,867","11,944","1,093","8,097","3,510","1,070","3,109","1,388","6,009","9,188","26,975","7,318","26,055","20,771","34,623","34,423","23,750"
2021년09월_계_0~9세,"24,712",561,77,27,368,57,"1,322",31,442,166,29,68,44,359,491,"4,245",582,"2,305","1,564","3,187","5,408","3,379"
2021년09월_계_10~19세,"27,902",623,119,60,580,147,"1,145",47,654,264,26,100,73,633,905,"3,550",663,"3,001","2,212","4,188","5,128","3,784"
2021년09월_계_20~29세,"23,118",665,213,77,527,202,886,59,726,270,46,194,68,627,941,"2,268",812,"2,772","2,733","3,920","2,928","2,184"
2021년09월_계_30~39세,"33,825",833,208,83,570,137,"1,644",72,816,284,59,169,96,606,836,"5,455","1,035","3,399","3,238","4,645","6,195","3,445"
2021년09월_계_40~49세,"47,308","1,241",333,151,977,299,"2,198",109,"1,329",430,106,360,175,"1,153","1,566","6,226","1,339","4,935","4,367","6,795","7,706","5,513"
2021년09월_계_50~59세,"39,623","1,609",603,315,"1,283",539,"1,914",226,"1,683",648,192,558,260,"1,198","1,877","3,026","1,359","4,850","4,009","5,987","4,260","3,227"
2021년09월_계_60~69세,"28,395","1,501",750,401,"1,426",719,"1,582",304,"1,427",723,271,736,322,881,"1,696","1,593","1,084","3,485","1,964","4,128","1,909","1,493"
2021년09월_계_70~79세,"11,234",632,496,281,847,464,816,162,621,425,206,541,203,364,626,424,323,930,481,"1,266",640,486
2021년09월_계_80~89세,"5,129",342,251,156,505,256,382,70,340,250,111,330,127,172,222,163,106,328,172,436,206,204
2021년09월_계_90~99세,828,57,38,22,98,44,53,13,59,49,24,49,20,15,27,25,15,48,29,70,41,32
2021년09월_계_100세 이상,29,1,1,0,5,3,2,0,0,1,0,4,0,1,1,0,0,2,2,1,2,3
