,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2020년05월_계_총인구수,"83,384","2,738","2,543","2,565","3,712","3,879","1,366","2,587","1,791","1,853","2,716","5,013","2,244","1,909","4,670","1,369","11,351","12,837","11,655","6,586"
2020년05월_계_연령구간인구수,"83,384","2,738","2,543","2,565","3,712","3,879","1,366","2,587","1,791","1,853","2,716","5,013","2,244","1,909","4,670","1,369","11,351","12,837","11,655","6,586"
2020년05월_계_0~9세,"4,528",106,69,70,104,125,50,82,58,47,46,183,58,44,152,45,795,958,"1,081",455
2020년05월_계_10~19세,"6,377",141,113,124,170,228,63,132,79,81,111,317,98,76,203,64,"1,046","1,380","1,440",511
2020년05월_계_20~29세,"7,353",170,125,165,287,284,96,196,99,113,136,414,131,138,339,88,"1,327","1,376","1,281",588
2020년05월_계_30~39세,"6,901",191,148,166,238,262,90,173,104,110,152,346,139,104,287,79,"1,161","1,263","1,249",639
2020년05월_계_40~49세,"10,247",267,223,258,352,417,111,229,185,198,247,577,192,184,452,150,"1,607","1,887","1,936",775
2020년05월_계_50~59세,"14,147",455,390,446,633,707,211,463,267,289,428,943,358,358,899,217,"1,929","2,179","1,864","1,111"
2020년05월_계_60~69세,"14,207",636,582,541,775,744,287,550,378,388,576,982,454,386,937,261,"1,646","1,673","1,358","1,053"
2020년05월_계_70~79세,"11,235",413,482,473,640,639,248,401,338,355,567,764,436,346,798,284,"1,098","1,253",865,835
2020년05월_계_80~89세,"7,191",309,358,273,421,406,187,313,240,225,377,428,337,240,513,156,630,761,499,518
2020년05월_계_90~99세,"1,130",49,48,42,87,67,21,47,41,44,75,57,40,32,80,25,104,106,81,84
2020년05월_계_100세 이상,68,1,5,7,5,0,2,1,2,3,1,2,1,1,10,0,8,1,1,17
2020년05월_남_총인구수,"41,319","1,387","1,271","1,329","1,848","1,929",652,"1,302",895,935,"1,298","2,559","1,092",970,"2,340",714,"5,574","6,301","5,641","3,282"
2020년05월_남_연령구간인구수,"41,319","1,387","1,271","1,329","1,848","1,929",652,"1,302",895,935,"1,298","2,559","1,092",970,"2,340",714,"5,574","6,301","5,641","3,282"
2020년05월_남_0~9세,"2,342",63,38,38,47,67,27,41,35,21,23,96,33,22,78,24,405,511,533,240
2020년05월_남_10~19세,"3,274",80,68,67,88,107,37,62,40,46,56,169,48,45,115,30,508,725,721,262
2020년05월_남_20~29세,"4,074",104,78,93,160,150,54,114,63,65,75,228,73,77,193,55,703,756,697,336
2020년05월_남_30~39세,"3,691",122,85,107,135,152,53,98,61,67,95,196,86,61,167,49,597,646,604,310
2020년05월_남_40~49세,"5,780",159,147,169,233,257,76,145,118,131,160,349,139,128,275,110,847,953,947,437
2020년05월_남_50~59세,"7,676",243,226,274,341,392,114,260,145,165,248,529,201,205,505,129,985,"1,105",994,615
2020년05월_남_60~69세,"7,089",336,300,270,404,375,134,293,188,207,289,501,216,199,483,133,784,800,649,528
2020년05월_남_70~79세,"4,871",185,216,220,291,283,95,180,149,154,222,338,176,158,337,118,500,523,353,373
2020년05월_남_80~89세,"2,253",85,104,82,121,122,56,95,85,69,121,136,114,65,161,59,220,259,132,167
2020년05월_남_90~99세,256,10,7,8,26,24,6,14,10,10,8,17,6,10,26,7,21,23,11,12
2020년05월_남_100세 이상,13,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,4,0,0,2
2020년05월_여_총인구수,"42,065","1,351","1,272","1,236","1,864","1,950",714,"1,285",896,918,"1,418","2,454","1,152",939,"2,330",655,"5,777","6,536","6,014","3,304"
2020년05월_여_연령구간인구수,"42,065","1,351","1,272","1,236","1,864","1,950",714,"1,285",896,918,"1,418","2,454","1,152",939,"2,330",655,"5,777","6,536","6,014","3,304"
2020년05월_여_0~9세,"2,186",43,31,32,57,58,23,41,23,26,23,87,25,22,74,21,390,447,548,215
2020년05월_여_10~19세,"3,103",61,45,57,82,121,26,70,39,35,55,148,50,31,88,34,538,655,719,249
2020년05월_여_20~29세,"3,279",66,47,72,127,134,42,82,36,48,61,186,58,61,146,33,624,620,584,252
2020년05월_여_30~39세,"3,210",69,63,59,103,110,37,75,43,43,57,150,53,43,120,30,564,617,645,329
2020년05월_여_40~49세,"4,467",108,76,89,119,160,35,84,67,67,87,228,53,56,177,40,760,934,989,338
2020년05월_여_50~59세,"6,471",212,164,172,292,315,97,203,122,124,180,414,157,153,394,88,944,"1,074",870,496
2020년05월_여_60~69세,"7,118",300,282,271,371,369,153,257,190,181,287,481,238,187,454,128,862,873,709,525
2020년05월_여_70~79세,"6,364",228,266,253,349,356,153,221,189,201,345,426,260,188,461,166,598,730,512,462
2020년05월_여_80~89세,"4,938",224,254,191,300,284,131,218,155,156,256,292,223,175,352,97,410,502,367,351
2020년05월_여_90~99세,874,39,41,34,61,43,15,33,31,34,67,40,34,22,54,18,83,83,70,72
2020년05월_여_100세 이상,55,1,3,6,3,0,2,1,1,3,0,2,1,1,10,0,4,1,1,15
