카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021년12월_계_총인구수,"387,289","112,984","46,550","23,189","9,558","15,844","1,490","2,493","28,610","22,041","18,308","39,051","33,369","33,802"
2021년12월_계_연령구간인구수,"387,289","112,984","46,550","23,189","9,558","15,844","1,490","2,493","28,610","22,041","18,308","39,051","33,369","33,802"
2021년12월_계_0~9세,"33,239","10,532","3,486","1,313",424,"1,029",26,143,"2,681","1,470","1,859","2,808","2,443","5,025"
2021년12월_계_10~19세,"33,989","8,975","4,680","1,772",626,"1,277",60,169,"2,432","2,012","1,587","3,581","2,656","4,162"
2021년12월_계_20~29세,"44,958","13,163","5,521","2,842","1,005","1,223",105,173,"3,758","2,758","2,311","4,960","4,230","2,909"
2021년12월_계_30~39세,"55,722","18,928","6,088","2,716",998,"1,451",99,207,"4,514","2,823","2,762","4,988","4,545","5,603"
2021년12월_계_40~49세,"68,000","20,630","8,152","3,512","1,319","2,550",136,328,"4,719","3,676","3,205","6,748","5,630","7,395"
2021년12월_계_50~59세,"65,287","17,762","8,205","4,572","1,917","2,704",258,452,"4,600","4,045","3,094","7,441","6,060","4,177"
2021년12월_계_60~69세,"52,575","14,054","6,307","3,828","1,896","3,160",419,536,"3,533","3,253","2,248","5,529","4,988","2,824"
2021년12월_계_70~79세,"22,867","6,195","2,730","1,652",851,"1,659",225,288,"1,604","1,411",890,"2,123","2,008","1,231"
2021년12월_계_80~89세,"9,295","2,379","1,222",862,444,677,136,168,679,515,304,785,707,417
2021년12월_계_90~99세,"1,311",355,154,118,74,110,26,27,89,75,44,84,98,57
2021년12월_계_100세 이상,46,11,5,2,4,4,0,2,1,3,4,4,4,2
2021년12월_남_총인구수,"197,673","57,022","24,168","12,365","5,252","8,054",782,"1,320","14,725","11,105","9,152","19,825","17,142","16,761"
2021년12월_남_연령구간인구수,"197,673","57,022","24,168","12,365","5,252","8,054",782,"1,320","14,725","11,105","9,152","19,825","17,142","16,761"
2021년12월_남_0~9세,"17,004","5,420","1,819",680,215,513,16,73,"1,389",728,961,"1,402","1,271","2,517"
2021년12월_남_10~19세,"17,349","4,590","2,366",945,332,694,29,94,"1,254",963,762,"1,808","1,383","2,129"
2021년12월_남_20~29세,"23,893","6,903","2,920","1,563",582,660,57,93,"2,016","1,471","1,204","2,649","2,262","1,513"
2021년12월_남_30~39세,"28,954","9,785","3,213","1,516",585,763,54,99,"2,361","1,513","1,405","2,683","2,369","2,608"
2021년12월_남_40~49세,"35,920","11,010","4,322","1,909",783,"1,371",76,182,"2,503","1,904","1,648","3,452","3,025","3,735"
2021년12월_남_50~59세,"33,402","8,655","4,417","2,529","1,078","1,405",150,258,"2,444","2,043","1,489","3,714","3,072","2,148"
2021년12월_남_60~69세,"26,223","6,757","3,301","2,044","1,050","1,529",226,294,"1,767","1,605","1,118","2,749","2,468","1,315"
2021년12월_남_70~79세,"11,051","2,905","1,319",824,445,824,111,145,738,674,421,"1,042",995,608
2021년12월_남_80~89세,"3,593",914,461,325,164,267,56,75,246,187,135,304,280,179
2021년12월_남_90~99세,276,79,29,30,17,27,7,6,7,17,9,22,17,9
2021년12월_남_100세 이상,8,4,1,0,1,1,0,1,0,0,0,0,0,0
2021년12월_여_총인구수,"189,616","55,962","22,382","10,824","4,306","7,790",708,"1,173","13,885","10,936","9,156","19,226","16,227","17,041"
2021년12월_여_연령구간인구수,"189,616","55,962","22,382","10,824","4,306","7,790",708,"1,173","13,885","10,936","9,156","19,226","16,227","17,041"
2021년12월_여_0~9세,"16,235","5,112","1,667",633,209,516,10,70,"1,292",742,898,"1,406","1,172","2,508"
2021년12월_여_10~19세,"16,640","4,385","2,314",827,294,583,31,75,"1,178","1,049",825,"1,773","1,273","2,033"
2021년12월_여_20~29세,"21,065","6,260","2,601","1,279",423,563,48,80,"1,742","1,287","1,107","2,311","1,968","1,396"
2021년12월_여_30~39세,"26,768","9,143","2,875","1,200",413,688,45,108,"2,153","1,310","1,357","2,305","2,176","2,995"
2021년12월_여_40~49세,"32,080","9,620","3,830","1,603",536,"1,179",60,146,"2,216","1,772","1,557","3,296","2,605","3,660"
2021년12월_여_50~59세,"31,885","9,107","3,788","2,043",839,"1,299",108,194,"2,156","2,002","1,605","3,727","2,988","2,029"
2021년12월_여_60~69세,"26,352","7,297","3,006","1,784",846,"1,631",193,242,"1,766","1,648","1,130","2,780","2,520","1,509"
2021년12월_여_70~79세,"11,816","3,290","1,411",828,406,835,114,143,866,737,469,"1,081","1,013",623
2021년12월_여_80~89세,"5,702","1,465",761,537,280,410,80,93,433,328,169,481,427,238
2021년12월_여_90~99세,"1,035",276,125,88,57,83,19,21,82,58,35,62,81,48
2021년12월_여_100세 이상,38,7,4,2,3,3,0,1,1,3,4,4,4,2
