,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2020년09월_계_총인구수,"43,590","7,915","19,330","3,233","3,952","2,650","1,792","1,030","2,775",193,720
2020년09월_계_연령구간인구수,"43,590","7,915","19,330","3,233","3,952","2,650","1,792","1,030","2,775",193,720
2020년09월_계_0~9세,"2,811",719,"1,625",91,125,81,51,22,62,9,26
2020년09월_계_10~19세,"3,188",449,"1,934",178,191,153,68,51,118,9,37
2020년09월_계_20~29세,"5,390","1,247","2,463",334,457,235,146,82,330,42,54
2020년09월_계_30~39세,"4,235","1,026","2,173",203,276,180,122,63,142,9,41
2020년09월_계_40~49세,"5,027",820,"2,705",292,414,256,144,85,236,17,58
2020년09월_계_50~59세,"7,186","1,068","3,176",590,715,515,348,159,441,33,141
2020년09월_계_60~69세,"7,448","1,110","2,691",695,855,548,464,238,656,33,158
2020년09월_계_70~79세,"5,052",873,"1,532",501,570,431,274,224,498,26,123
2020년09월_계_80~89세,"2,804",520,860,315,295,233,148,95,254,13,71
2020년09월_계_90~99세,404,78,152,30,46,16,24,10,36,1,11
2020년09월_계_100세 이상,45,5,19,4,8,2,3,1,2,1,0
2020년09월_남_총인구수,"22,827","4,300","9,812","1,711","2,103","1,434",954,550,"1,490",111,362
2020년09월_남_연령구간인구수,"22,827","4,300","9,812","1,711","2,103","1,434",954,550,"1,490",111,362
2020년09월_남_0~9세,"1,434",363,835,46,56,40,28,14,31,4,17
2020년09월_남_10~19세,"1,700",255,"1,002",95,116,88,37,32,53,3,19
2020년09월_남_20~29세,"3,411",866,"1,376",228,319,150,89,51,262,37,33
2020년09월_남_30~39세,"2,411",615,"1,164",118,170,116,73,38,88,5,24
2020년09월_남_40~49세,"2,749",459,"1,379",177,251,147,88,55,147,8,38
2020년09월_남_50~59세,"3,847",600,"1,653",316,382,286,182,93,247,19,69
2020년09월_남_60~69세,"3,838",555,"1,364",380,438,294,268,120,324,17,78
2020년09월_남_70~79세,"2,293",375,705,223,248,205,122,106,237,14,58
2020년09월_남_80~89세,"1,014",189,284,116,107,102,58,39,89,4,26
2020년09월_남_90~99세,115,23,42,10,15,5,8,1,11,0,0
2020년09월_남_100세 이상,15,0,8,2,1,1,1,1,1,0,0
2020년09월_여_총인구수,"20,763","3,615","9,518","1,522","1,849","1,216",838,480,"1,285",82,358
2020년09월_여_연령구간인구수,"20,763","3,615","9,518","1,522","1,849","1,216",838,480,"1,285",82,358
2020년09월_여_0~9세,"1,377",356,790,45,69,41,23,8,31,5,9
2020년09월_여_10~19세,"1,488",194,932,83,75,65,31,19,65,6,18
2020년09월_여_20~29세,"1,979",381,"1,087",106,138,85,57,31,68,5,21
2020년09월_여_30~39세,"1,824",411,"1,009",85,106,64,49,25,54,4,17
2020년09월_여_40~49세,"2,278",361,"1,326",115,163,109,56,30,89,9,20
2020년09월_여_50~59세,"3,339",468,"1,523",274,333,229,166,66,194,14,72
2020년09월_여_60~69세,"3,610",555,"1,327",315,417,254,196,118,332,16,80
2020년09월_여_70~79세,"2,759",498,827,278,322,226,152,118,261,12,65
2020년09월_여_80~89세,"1,790",331,576,199,188,131,90,56,165,9,45
2020년09월_여_90~99세,289,55,110,20,31,11,16,9,25,1,11
2020년09월_여_100세 이상,30,5,11,2,7,1,2,0,1,1,0
