카테고리,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020년03월_계_총인구수,"13,288,975","1,192,762","276,842","370,922","175,533","369,465","941,688","234,421","219,408","487,859","453,679","561,966","241,916","320,050","827,132","316,220","519,124","94,231","652,763","347,334","305,429","1,072,909","471,039","298,863","303,007","58,280","199,099","705,264","227,112","477,425","275,960","164,602","277,431","1,065,613","254,216","438,790","372,607","454,494","216,404","183,751","443,071","827,603","374,913","223,704","147,853","111,083","43,552","62,262","117,025"
2020년03월_계_연령구간인구수,"13,288,975","1,192,762","276,842","370,922","175,533","369,465","941,688","234,421","219,408","487,859","453,679","561,966","241,916","320,050","827,132","316,220","519,124","94,231","652,763","347,334","305,429","1,072,909","471,039","298,863","303,007","58,280","199,099","705,264","227,112","477,425","275,960","164,602","277,431","1,065,613","254,216","438,790","372,607","454,494","216,404","183,751","443,071","827,603","374,913","223,704","147,853","111,083","43,552","62,262","117,025"
2020년03월_계_0~9세,"1,175,669","102,370","19,545","33,997","10,125","38,703","71,391","15,726","14,001","41,664","34,970","41,750","16,344","25,406","60,612","25,366","48,500","6,727","46,168","24,201","21,967","84,647","39,167","21,674","23,806","4,572","16,026","67,006","24,772","46,839","22,036","13,544","29,853","104,630","21,936","45,098","37,596","44,831","19,688","14,642","52,248","105,999","35,963","19,805","9,084","7,666","2,866","3,548","7,550"
2020년03월_계_10~19세,"1,344,847","122,085","29,898","34,329","14,559","43,299","90,182","17,670","17,459","55,053","43,344","54,677","19,641","35,036","73,275","32,484","52,939","8,849","66,861","35,369","31,492","108,017","42,352","30,607","35,058","6,264","18,869","77,613","24,875","49,642","27,657","15,160","23,988","122,266","25,060","51,368","45,838","48,361","22,289","18,160","45,404","94,023","33,457","23,810","12,832","9,823","3,252","4,735","9,654"
2020년03월_계_20~29세,"1,779,533","186,605","44,136","55,086","28,403","58,980","132,119","33,926","31,521","66,672","62,874","80,181","35,055","45,126","119,178","40,986","70,145","11,119","105,647","57,070","48,577","150,346","62,629","44,739","42,978","7,998","27,462","83,359","30,648","66,563","38,447","23,184","33,203","133,904","33,471","54,824","45,609","55,377","29,129","21,688","48,060","98,748","44,167","26,535","17,833","12,060","5,397","6,187","10,384"
2020년03월_계_30~39세,"1,916,550","183,235","33,836","60,058","25,047","64,294","138,735","34,850","31,797","72,088","59,673","79,380","33,920","45,460","119,568","44,887","77,513","10,439","85,931","44,011","41,920","142,165","66,780","38,571","36,814","7,873","27,354","91,235","39,674","73,786","39,457","22,849","47,552","148,528","34,447","61,774","52,307","66,944","30,760","23,318","71,019","150,282","59,016","27,461","14,892","11,801","4,280","5,890","11,053"
2020년03월_계_40~49세,"2,296,447","205,546","46,922","61,819","27,990","68,815","159,670","37,055","34,146","88,469","74,587","90,930","36,023","54,907","132,149","54,770","91,109","14,686","110,706","58,845","51,861","185,328","78,977","52,497","53,854","9,102","33,388","129,601","42,365","87,157","45,608","25,375","48,463","200,892","43,397","84,780","72,715","79,160","34,958","29,965","82,072","158,021","65,252","38,792","21,198","16,144","5,042","8,029","16,382"
2020년03월_계_50~59세,"2,208,632","196,329","49,415","62,583","30,813","53,518","155,990","40,392","39,456","76,142","79,147","100,011","44,355","55,656","150,174","52,552","84,435","16,378","126,688","67,562","59,126","192,899","81,990","55,411","55,498","10,230","35,929","114,606","32,576","83,756","48,418","30,033","40,603","160,068","42,595","64,070","53,403","70,076","34,999","30,871","63,562","110,008","62,020","36,942","29,509","20,118","7,304","11,502","20,899"
2020년03월_계_60~69세,"1,435,865","113,294","29,161","37,571","21,457","25,105","108,279","31,213","29,522","47,544","53,444","67,916","32,821","35,095","104,671","37,898","51,035","12,559","65,919","34,756","31,163","112,453","53,029","30,317","29,107","6,587","23,115","78,275","18,511","41,747","31,173","20,520","32,324","101,021","29,345","39,399","32,277","46,084","24,263","23,534","45,041","64,097","44,821","26,901","22,887","17,438","7,202","11,467","21,389"
2020년03월_계_70~79세,"745,509","55,145","15,425","17,010","11,657","11,053","56,792","16,494","14,985","25,313","30,421","31,063","15,997","15,066","45,192","18,356","27,850","8,693","28,857","16,362","12,495","60,801","29,788","15,265","15,748","3,477","11,572","43,385","9,398","18,330","14,702","9,015","15,029","64,118","15,600","25,675","22,843","28,159","12,837","13,281","24,397","30,612","21,155","15,774","12,398","10,115","5,067","6,792","12,726"
