카테고리,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2021년11월_계_총인구수,"50,665","12,984","1,925","1,614","1,744","1,551","1,452","1,448","4,193","3,858","2,557","1,752","1,712","1,788","4,556","3,757",826,"2,135",813
2021년11월_계_연령구간인구수,"50,665","12,984","1,925","1,614","1,744","1,551","1,452","1,448","4,193","3,858","2,557","1,752","1,712","1,788","4,556","3,757",826,"2,135",813
2021년11월_계_0~9세,"1,805",746,28,39,27,20,41,35,121,150,88,43,33,41,229,85,19,47,13
2021년11월_계_10~19세,"2,174",997,56,32,52,36,48,37,136,117,44,43,56,47,248,119,13,75,18
2021년11월_계_20~29세,"2,858","1,050",79,67,77,55,47,49,204,243,108,68,85,98,359,161,20,63,25
2021년11월_계_30~39세,"2,966","1,073",79,71,60,41,69,71,216,251,127,93,89,81,329,172,26,82,36
2021년11월_계_40~49세,"4,456","1,709",143,94,116,103,67,84,340,332,179,105,118,115,483,250,43,126,49
2021년11월_계_50~59세,"8,227","2,099",301,246,331,269,239,235,619,662,404,286,282,303,750,609,151,321,120
2021년11월_계_60~69세,"12,160","2,551",563,441,503,428,453,422,"1,068",958,679,465,399,429,870,926,192,600,213
2021년11월_계_70~79세,"8,845","1,700",348,327,338,306,272,278,840,642,505,337,335,349,727,773,183,420,165
2021년11월_계_80~89세,"6,300",934,295,257,213,248,187,211,553,426,374,279,287,293,491,588,157,353,154
2021년11월_계_90~99세,853,124,32,40,26,45,28,26,91,74,48,33,27,31,70,71,22,47,18
2021년11월_계_100세 이상,21,1,1,0,1,0,1,0,5,3,1,0,1,1,0,3,0,1,2
2021년11월_남_총인구수,"24,806","6,344",958,793,867,752,740,726,"2,052","1,886","1,251",875,851,861,"2,169","1,827",396,"1,069",389
2021년11월_남_연령구간인구수,"24,806","6,344",958,793,867,752,740,726,"2,052","1,886","1,251",875,851,861,"2,169","1,827",396,"1,069",389
2021년11월_남_0~9세,957,406,17,23,18,13,16,22,69,67,42,17,19,25,113,46,8,27,9
2021년11월_남_10~19세,"1,136",527,34,17,24,23,29,15,75,65,23,25,29,22,111,61,8,39,9
2021년11월_남_20~29세,"1,652",593,53,43,39,29,36,28,112,132,67,39,58,58,207,95,8,37,18
2021년11월_남_30~39세,"1,654",538,52,47,42,25,39,37,129,138,75,57,51,46,184,115,14,44,21
2021년11월_남_40~49세,"2,597",885,95,64,76,73,38,52,198,207,119,74,78,75,256,159,24,92,32
2021년11월_남_50~59세,"4,484","1,111",179,136,180,143,118,124,334,370,225,160,156,182,392,326,92,186,70
2021년11월_남_60~69세,"6,160","1,205",285,223,265,217,258,241,557,468,339,250,197,226,433,465,104,311,116
2021년11월_남_70~79세,"3,897",749,140,148,146,144,130,122,380,282,235,152,150,140,310,341,69,193,66
2021년11월_남_80~89세,"2,083",305,98,85,71,74,70,80,172,138,117,95,109,81,154,196,62,129,47
2021년11월_남_90~99세,183,25,5,7,6,11,6,5,25,19,9,6,4,6,9,21,7,11,1
2021년11월_남_100세 이상,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
2021년11월_여_총인구수,"25,859","6,640",967,821,877,799,712,722,"2,141","1,972","1,306",877,861,927,"2,387","1,930",430,"1,066",424
2021년11월_여_연령구간인구수,"25,859","6,640",967,821,877,799,712,722,"2,141","1,972","1,306",877,861,927,"2,387","1,930",430,"1,066",424
2021년11월_여_0~9세,848,340,11,16,9,7,25,13,52,83,46,26,14,16,116,39,11,20,4
2021년11월_여_10~19세,"1,038",470,22,15,28,13,19,22,61,52,21,18,27,25,137,58,5,36,9
2021년11월_여_20~29세,"1,206",457,26,24,38,26,11,21,92,111,41,29,27,40,152,66,12,26,7
2021년11월_여_30~39세,"1,312",535,27,24,18,16,30,34,87,113,52,36,38,35,145,57,12,38,15
2021년11월_여_40~49세,"1,859",824,48,30,40,30,29,32,142,125,60,31,40,40,227,91,19,34,17
2021년11월_여_50~59세,"3,743",988,122,110,151,126,121,111,285,292,179,126,126,121,358,283,59,135,50
2021년11월_여_60~69세,"6,000","1,346",278,218,238,211,195,181,511,490,340,215,202,203,437,461,88,289,97
2021년11월_여_70~79세,"4,948",951,208,179,192,162,142,156,460,360,270,185,185,209,417,432,114,227,99
2021년11월_여_80~89세,"4,217",629,197,172,142,174,117,131,381,288,257,184,178,212,337,392,95,224,107
2021년11월_여_90~99세,670,99,27,33,20,34,22,21,66,55,39,27,23,25,61,50,15,36,17
2021년11월_여_100세 이상,18,1,1,0,1,0,1,0,4,3,1,0,1,1,0,1,0,1,2
