,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2021년04월_계_총인구수,"53,437","8,152","15,030","6,505","1,843","2,052","3,703","3,534","2,275","3,182","1,910","2,994","2,257"
2021년04월_계_연령구간인구수,"53,437","8,152","15,030","6,505","1,843","2,052","3,703","3,534","2,275","3,182","1,910","2,994","2,257"
2021년04월_계_0~9세,"3,393",569,"1,518",541,64,45,100,109,72,96,71,139,69
2021년04월_계_10~19세,"4,407",780,"1,819",682,92,68,191,128,102,167,80,192,106
2021년04월_계_20~29세,"5,050",874,"1,603",931,107,111,259,237,182,233,119,254,140
2021년04월_계_30~39세,"4,617",698,"1,831",781,112,85,222,183,138,162,101,155,149
2021년04월_계_40~49세,"7,375","1,033","2,908","1,259",167,179,374,317,192,295,143,294,214
2021년04월_계_50~59세,"9,421","1,418","2,557","1,396",311,386,654,591,416,537,297,484,374
2021년04월_계_60~69세,"8,227","1,235","1,540",529,344,449,798,804,463,607,384,590,484
2021년04월_계_70~79세,"6,263",921,833,249,316,392,638,650,386,621,379,483,395
2021년04월_계_80~89세,"4,103",519,384,114,292,292,419,446,298,406,290,346,297
2021년04월_계_90~99세,560,102,36,23,34,44,47,67,25,55,44,55,28
2021년04월_계_100세 이상,21,3,1,0,4,1,1,2,1,3,2,2,1
2021년04월_남_총인구수,"27,586","4,044","8,002","3,764",909,"1,035","1,865","1,773","1,153","1,535",919,"1,457","1,130"
2021년04월_남_연령구간인구수,"27,586","4,044","8,002","3,764",909,"1,035","1,865","1,773","1,153","1,535",919,"1,457","1,130"
2021년04월_남_0~9세,"1,710",302,721,276,40,18,49,63,48,56,31,75,31
2021년04월_남_10~19세,"2,334",417,969,357,43,44,103,69,63,90,46,85,48
2021년04월_남_20~29세,"2,952",480,883,577,64,68,177,154,106,140,74,142,87
2021년04월_남_30~39세,"2,507",354,917,464,76,48,134,108,87,92,57,79,91
2021년04월_남_40~49세,"4,383",545,"1,729",776,102,105,219,207,118,173,91,174,144
2021년04월_남_50~59세,"5,398",734,"1,473",863,196,233,352,355,232,306,173,274,207
2021년04월_남_60~69세,"4,255",626,816,309,162,263,410,400,247,301,193,291,237
2021년04월_남_70~79세,"2,666",398,380,105,128,166,267,290,156,245,152,204,175
2021년04월_남_80~89세,"1,273",164,109,33,89,83,143,119,91,121,97,121,103
2021년04월_남_90~99세,105,24,5,4,8,7,10,8,5,10,5,12,7
2021년04월_남_100세 이상,3,0,0,0,1,0,1,0,0,1,0,0,0
2021년04월_여_총인구수,"25,851","4,108","7,028","2,741",934,"1,017","1,838","1,761","1,122","1,647",991,"1,537","1,127"
2021년04월_여_연령구간인구수,"25,851","4,108","7,028","2,741",934,"1,017","1,838","1,761","1,122","1,647",991,"1,537","1,127"
2021년04월_여_0~9세,"1,683",267,797,265,24,27,51,46,24,40,40,64,38
2021년04월_여_10~19세,"2,073",363,850,325,49,24,88,59,39,77,34,107,58
2021년04월_여_20~29세,"2,098",394,720,354,43,43,82,83,76,93,45,112,53
2021년04월_여_30~39세,"2,110",344,914,317,36,37,88,75,51,70,44,76,58
2021년04월_여_40~49세,"2,992",488,"1,179",483,65,74,155,110,74,122,52,120,70
2021년04월_여_50~59세,"4,023",684,"1,084",533,115,153,302,236,184,231,124,210,167
2021년04월_여_60~69세,"3,972",609,724,220,182,186,388,404,216,306,191,299,247
2021년04월_여_70~79세,"3,597",523,453,144,188,226,371,360,230,376,227,279,220
2021년04월_여_80~89세,"2,830",355,275,81,203,209,276,327,207,285,193,225,194
2021년04월_여_90~99세,455,78,31,19,26,37,37,59,20,45,39,43,21
2021년04월_여_100세 이상,18,3,1,0,3,1,0,2,1,2,2,2,1
