카테고리,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2020년08월_계_총인구수,"427,237","21,110","18,795","30,930","31,689","31,942","12,011","32,550","16,153","22,185","19,473","21,216","17,398","20,403","21,792","23,774","44,939","22,560","18,317"
2020년08월_계_연령구간인구수,"427,237","21,110","18,795","30,930","31,689","31,942","12,011","32,550","16,153","22,185","19,473","21,216","17,398","20,403","21,792","23,774","44,939","22,560","18,317"
2020년08월_계_0~9세,"34,603","1,556","1,503","1,692","3,083","2,392",607,"3,130","1,906","2,015","1,737","1,509","1,198","1,190","1,389","1,713","4,325","1,507","2,151"
2020년08월_계_10~19세,"45,233","1,996","1,650","2,714","4,214","3,743","1,924","3,529","2,749","2,934","2,163","2,798","1,350","1,654","2,029","2,616","4,267","1,629","1,274"
2020년08월_계_20~29세,"55,827","2,834","2,757","5,194","3,612","4,254","1,507","4,302","1,391","2,469","2,351","2,700","2,568","2,912","2,879","3,232","5,472","3,418","1,975"
2020년08월_계_30~39세,"64,508","3,655","3,863","5,083","3,897","4,598",908,"5,681","1,593","2,697","2,757","2,452","3,040","3,210","3,028","3,681","6,967","4,546","2,852"
2020년08월_계_40~49세,"77,731","3,818","3,325","4,879","6,422","6,126","2,311","6,668","3,749","4,574","3,603","4,008","2,844","3,090","3,342","4,315","7,803","3,821","3,033"
2020년08월_계_50~59세,"63,069","2,965","2,483","4,756","4,729","5,197","2,111","4,088","2,115","3,415","2,818","3,440","2,461","3,222","3,598","3,515","6,297","3,319","2,540"
2020년08월_계_60~69세,"47,339","2,384","1,794","3,568","3,061","3,209","1,252","2,948","1,314","2,202","2,293","2,251","2,088","2,828","3,189","2,364","5,587","2,579","2,428"
2020년08월_계_70~79세,"27,309","1,341","1,025","2,130","1,852","1,611","1,007","1,608",927,"1,275","1,228","1,330","1,313","1,664","1,641","1,628","2,981","1,292","1,456"
