,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020년12월_계_총인구수,"113,342","10,996","4,167","8,791","9,072","7,280","5,234","6,705","18,411","28,740","3,545","10,401"
2020년12월_계_연령구간인구수,"113,342","10,996","4,167","8,791","9,072","7,280","5,234","6,705","18,411","28,740","3,545","10,401"
2020년12월_계_0~9세,"5,139",418,185,397,218,353,145,349,"1,028","1,529",174,343
2020년12월_계_10~19세,"7,403",539,249,567,491,425,271,445,"1,442","2,234",183,557
2020년12월_계_20~29세,"11,990","1,056",453,886,797,739,490,612,"1,963","3,481",604,909
2020년12월_계_30~39세,"10,610","1,065",383,818,641,742,378,648,"1,836","2,867",349,883
2020년12월_계_40~49세,"15,159","1,445",540,"1,113","1,115",976,677,969,"2,622","4,017",438,"1,247"
2020년12월_계_50~59세,"19,559","1,944",706,"1,511","1,664","1,186",930,"1,067","3,203","5,038",485,"1,825"
2020년12월_계_60~69세,"22,171","2,245",853,"1,697","1,853","1,460","1,062","1,259","3,422","5,241",667,"2,412"
2020년12월_계_70~79세,"14,556","1,549",547,"1,202","1,517",892,905,920,"1,997","3,013",466,"1,548"
2020년12월_계_80~89세,"5,886",636,220,509,689,420,339,363,784,"1,168",151,607
2020년12월_계_90~99세,737,90,22,79,75,57,29,61,99,137,26,62
2020년12월_계_100세 이상,132,9,9,12,12,30,8,12,15,15,2,8
2020년12월_남_총인구수,"55,846","5,480","2,015","4,267","4,552","3,574","2,593","3,251","9,158","14,014","1,881","5,061"
2020년12월_남_연령구간인구수,"55,846","5,480","2,015","4,267","4,552","3,574","2,593","3,251","9,158","14,014","1,881","5,061"
2020년12월_남_0~9세,"2,593",205,100,207,126,181,67,178,510,750,98,171
2020년12월_남_10~19세,"3,833",278,134,300,257,213,142,237,756,"1,140",92,284
2020년12월_남_20~29세,"6,573",547,248,494,430,390,274,316,"1,080","1,911",376,507
2020년12월_남_30~39세,"5,720",581,203,422,377,399,225,332,"1,002","1,502",202,475
2020년12월_남_40~49세,"7,953",807,274,553,637,527,387,504,"1,337","1,992",253,682
2020년12월_남_50~59세,"9,979","1,077",347,745,935,618,498,551,"1,620","2,397",264,927
2020년12월_남_60~69세,"10,590","1,077",383,806,901,689,482,587,"1,623","2,529",328,"1,185"
2020년12월_남_70~79세,"6,334",661,233,529,624,394,370,402,922,"1,361",205,633
2020년12월_남_80~89세,"2,088",232,85,189,250,144,136,127,284,403,52,186
2020년12월_남_90~99세,150,13,4,19,10,15,8,14,18,29,10,10
2020년12월_남_100세 이상,33,2,4,3,5,4,4,3,6,0,1,1
2020년12월_여_총인구수,"57,496","5,516","2,152","4,524","4,520","3,706","2,641","3,454","9,253","14,726","1,664","5,340"
2020년12월_여_연령구간인구수,"57,496","5,516","2,152","4,524","4,520","3,706","2,641","3,454","9,253","14,726","1,664","5,340"
2020년12월_여_0~9세,"2,546",213,85,190,92,172,78,171,518,779,76,172
2020년12월_여_10~19세,"3,570",261,115,267,234,212,129,208,686,"1,094",91,273
2020년12월_여_20~29세,"5,417",509,205,392,367,349,216,296,883,"1,570",228,402
2020년12월_여_30~39세,"4,890",484,180,396,264,343,153,316,834,"1,365",147,408
2020년12월_여_40~49세,"7,206",638,266,560,478,449,290,465,"1,285","2,025",185,565
2020년12월_여_50~59세,"9,580",867,359,766,729,568,432,516,"1,583","2,641",221,898
2020년12월_여_60~69세,"11,581","1,168",470,891,952,771,580,672,"1,799","2,712",339,"1,227"
2020년12월_여_70~79세,"8,222",888,314,673,893,498,535,518,"1,075","1,652",261,915
2020년12월_여_80~89세,"3,798",404,135,320,439,276,203,236,500,765,99,421
2020년12월_여_90~99세,587,77,18,60,65,42,21,47,81,108,16,52
2020년12월_여_100세 이상,99,7,5,9,7,26,4,9,9,15,1,7
