,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2021년06월_계_총인구수,"283,612","14,407","25,793","20,059","38,404","42,030","16,770","29,891","11,646","12,186","10,852","16,092","26,607","18,875"
2021년06월_계_연령구간인구수,"283,612","14,407","25,793","20,059","38,404","42,030","16,770","29,891","11,646","12,186","10,852","16,092","26,607","18,875"
2021년06월_계_0~9세,"18,689",682,"1,400",889,"2,055","3,959","1,186","2,504",398,432,431,"1,359","2,187","1,207"
2021년06월_계_10~19세,"22,756",673,"1,728","1,487","3,015","4,399","1,334","3,814",524,591,605,978,"2,303","1,305"
2021년06월_계_20~29세,"36,711","1,905","3,524","2,882","4,437","5,682","2,424","3,882","1,441","1,874","1,362","1,824","3,109","2,365"
2021년06월_계_30~39세,"33,680","1,946","3,179","1,970","3,730","5,334","1,994","3,105","1,368","1,498","1,119","2,872","3,278","2,287"
2021년06월_계_40~49세,"40,125","1,712","3,421","2,797","5,098","6,526","2,179","5,347","1,341","1,477","1,433","2,188","4,103","2,503"
2021년06월_계_50~59세,"52,802","2,786","5,038","4,209","7,401","8,121","3,374","5,373","2,085","2,197","1,937","2,561","4,392","3,328"
2021년06월_계_60~69세,"47,455","2,824","4,669","3,635","6,830","5,500","2,546","3,334","2,486","2,441","2,147","2,705","4,565","3,773"
2021년06월_계_70~79세,"21,725","1,301","2,031","1,613","3,665","1,810","1,171","1,725","1,321","1,156","1,285","1,179","1,937","1,531"
2021년06월_계_80~89세,"8,562",515,724,511,"1,963",605,488,718,601,456,478,379,629,495
2021년06월_계_90~99세,"1,071",61,73,63,208,92,71,86,75,63,54,45,102,78
2021년06월_계_100세 이상,36,2,6,3,2,2,3,3,6,1,1,2,2,3
2021년06월_남_총인구수,"140,238","7,307","13,226","10,324","18,614","20,663","8,194","14,649","5,738","6,071","5,306","7,893","13,065","9,188"
2021년06월_남_연령구간인구수,"140,238","7,307","13,226","10,324","18,614","20,663","8,194","14,649","5,738","6,071","5,306","7,893","13,065","9,188"
2021년06월_남_0~9세,"9,654",334,756,463,"1,066","2,056",624,"1,273",193,227,224,688,"1,132",618
2021년06월_남_10~19세,"11,846",319,923,811,"1,550","2,275",673,"2,000",291,304,315,494,"1,196",695
2021년06월_남_20~29세,"19,709","1,003","1,921","1,643","2,392","3,028","1,315","2,077",786,986,732,900,"1,643","1,283"
2021년06월_남_30~39세,"17,536","1,098","1,742","1,100","2,000","2,554","1,037","1,476",763,849,610,"1,498","1,640","1,169"
2021년06월_남_40~49세,"19,957",954,"1,798","1,441","2,484","3,034","1,043","2,458",694,796,793,"1,148","2,048","1,266"
2021년06월_남_50~59세,"25,036","1,377","2,501","2,095","3,485","3,752","1,526","2,651","1,029","1,058",929,"1,150","2,043","1,440"
2021년06월_남_60~69세,"23,351","1,404","2,324","1,818","3,458","2,862","1,273","1,628","1,158","1,172",998,"1,305","2,177","1,774"
2021년06월_남_70~79세,"10,026",625,984,751,"1,538",892,525,767,607,521,550,578,951,737
2021년06월_남_80~89세,"2,912",177,269,194,594,199,159,295,197,147,146,130,214,191
2021년06월_남_90~99세,208,15,8,8,47,11,17,24,20,11,9,2,21,15
2021년06월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0
2021년06월_여_총인구수,"143,374","7,100","12,567","9,735","19,790","21,367","8,576","15,242","5,908","6,115","5,546","8,199","13,542","9,687"
2021년06월_여_연령구간인구수,"143,374","7,100","12,567","9,735","19,790","21,367","8,576","15,242","5,908","6,115","5,546","8,199","13,542","9,687"
2021년06월_여_0~9세,"9,035",348,644,426,989,"1,903",562,"1,231",205,205,207,671,"1,055",589
2021년06월_여_10~19세,"10,910",354,805,676,"1,465","2,124",661,"1,814",233,287,290,484,"1,107",610
2021년06월_여_20~29세,"17,002",902,"1,603","1,239","2,045","2,654","1,109","1,805",655,888,630,924,"1,466","1,082"
2021년06월_여_30~39세,"16,144",848,"1,437",870,"1,730","2,780",957,"1,629",605,649,509,"1,374","1,638","1,118"
2021년06월_여_40~49세,"20,168",758,"1,623","1,356","2,614","3,492","1,136","2,889",647,681,640,"1,040","2,055","1,237"
2021년06월_여_50~59세,"27,766","1,409","2,537","2,114","3,916","4,369","1,848","2,722","1,056","1,139","1,008","1,411","2,349","1,888"
2021년06월_여_60~69세,"24,104","1,420","2,345","1,817","3,372","2,638","1,273","1,706","1,328","1,269","1,149","1,400","2,388","1,999"
2021년06월_여_70~79세,"11,699",676,"1,047",862,"2,127",918,646,958,714,635,735,601,986,794
2021년06월_여_80~89세,"5,650",338,455,317,"1,369",406,329,423,404,309,332,249,415,304
2021년06월_여_90~99세,863,46,65,55,161,81,54,62,55,52,45,43,81,63
2021년06월_여_100세 이상,33,1,6,3,2,2,1,3,6,1,1,2,2,3
