,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2021년01월_계_총인구수,"62,485","7,134","6,210","7,842","10,655","3,725","1,677","2,991","8,005","4,412","6,750","3,084"
2021년01월_계_연령구간인구수,"62,485","7,134","6,210","7,842","10,655","3,725","1,677","2,991","8,005","4,412","6,750","3,084"
2021년01월_계_0~9세,"3,690",453,253,355,849,135,87,85,471,322,574,106
2021년01월_계_10~19세,"5,005",609,485,617,903,218,112,166,680,441,573,201
2021년01월_계_20~29세,"6,628",773,718,803,"1,191",397,177,278,837,524,620,310
2021년01월_계_30~39세,"6,826",796,540,768,"1,438",351,162,224,894,568,843,242
2021년01월_계_40~49세,"9,953","1,216",887,"1,218","1,788",512,258,372,"1,321",776,"1,173",432
2021년01월_계_50~59세,"10,181","1,198","1,080","1,287","1,613",689,252,509,"1,305",778,"1,021",449
2021년01월_계_60~69세,"10,082","1,082","1,087","1,364","1,516",701,299,625,"1,245",572,999,592
2021년01월_계_70~79세,"6,730",643,776,950,977,455,213,447,850,302,619,498
2021년01월_계_80~89세,"2,875",303,319,422,324,244,100,246,339,99,268,211
2021년01월_계_90~99세,441,51,54,51,45,23,16,32,56,25,54,34
2021년01월_계_100세 이상,74,10,11,7,11,0,1,7,7,5,6,9
2021년01월_남_총인구수,"31,549","3,671","3,136","3,888","5,261","1,908",830,"1,533","4,101","2,281","3,380","1,560"
2021년01월_남_연령구간인구수,"31,549","3,671","3,136","3,888","5,261","1,908",830,"1,533","4,101","2,281","3,380","1,560"
2021년01월_남_0~9세,"1,926",244,137,184,423,73,45,51,255,162,299,53
2021년01월_남_10~19세,"2,597",316,250,303,482,103,53,76,349,219,325,121
2021년01월_남_20~29세,"3,603",432,391,431,623,225,99,170,488,268,317,159
2021년01월_남_30~39세,"3,653",420,286,427,730,195,89,129,491,325,424,137
2021년01월_남_40~49세,"5,370",662,462,672,932,291,141,221,694,406,639,250
2021년01월_남_50~59세,"5,426",664,595,674,782,377,124,291,712,422,534,251
2021년01월_남_60~69세,"4,864",545,527,645,704,364,155,289,594,289,467,285
2021년01월_남_70~79세,"2,961",277,352,397,449,188,90,202,370,145,278,213
2021년01월_남_80~89세,"1,016",95,122,142,122,82,29,93,130,36,89,76
2021년01월_남_90~99세,110,13,12,12,9,10,5,9,16,6,8,10
2021년01월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2021년01월_여_총인구수,"30,936","3,463","3,074","3,954","5,394","1,817",847,"1,458","3,904","2,131","3,370","1,524"
2021년01월_여_연령구간인구수,"30,936","3,463","3,074","3,954","5,394","1,817",847,"1,458","3,904","2,131","3,370","1,524"
2021년01월_여_0~9세,"1,764",209,116,171,426,62,42,34,216,160,275,53
2021년01월_여_10~19세,"2,408",293,235,314,421,115,59,90,331,222,248,80
2021년01월_여_20~29세,"3,025",341,327,372,568,172,78,108,349,256,303,151
2021년01월_여_30~39세,"3,173",376,254,341,708,156,73,95,403,243,419,105
2021년01월_여_40~49세,"4,583",554,425,546,856,221,117,151,627,370,534,182
2021년01월_여_50~59세,"4,755",534,485,613,831,312,128,218,593,356,487,198
2021년01월_여_60~69세,"5,218",537,560,719,812,337,144,336,651,283,532,307
2021년01월_여_70~79세,"3,769",366,424,553,528,267,123,245,480,157,341,285
2021년01월_여_80~89세,"1,859",208,197,280,202,162,71,153,209,63,179,135
2021년01월_여_90~99세,331,38,42,39,36,13,11,23,40,19,46,24
2021년01월_여_100세 이상,51,7,9,6,6,0,1,5,5,2,6,4
