카테고리,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2021년12월_계_총인구수,"35,675","10,460","4,363","4,694","1,822","1,592","3,172","2,476","3,475","1,630","1,991"
2021년12월_계_연령구간인구수,"35,675","10,460","4,363","4,694","1,822","1,592","3,172","2,476","3,475","1,630","1,991"
2021년12월_계_0~9세,"1,628",605,265,274,63,41,123,81,86,44,46
2021년12월_계_10~19세,"2,412",961,226,365,116,102,186,155,142,80,79
2021년12월_계_20~29세,"2,625",960,302,385,116,111,187,163,178,100,123
2021년12월_계_30~39세,"2,755",865,639,404,96,82,231,134,156,59,89
2021년12월_계_40~49세,"4,626","1,558",684,740,196,155,428,262,279,145,179
2021년12월_계_50~59세,"6,682","1,879",702,889,352,314,608,487,716,377,358
2021년12월_계_60~69세,"7,925","1,874",840,968,456,390,834,572,955,454,582
2021년12월_계_70~79세,"4,373","1,088",502,470,264,248,361,349,541,223,327
2021년12월_계_80~89세,"2,312",562,186,185,150,132,188,228,373,128,180
2021년12월_계_90~99세,327,104,17,13,13,15,25,44,49,20,27
2021년12월_계_100세 이상,10,4,0,1,0,2,1,1,0,0,1
2021년12월_남_총인구수,"18,565","5,366","2,290","2,444",948,794,"1,686","1,252","1,845",889,"1,051"
2021년12월_남_연령구간인구수,"18,565","5,366","2,290","2,444",948,794,"1,686","1,252","1,845",889,"1,051"
2021년12월_남_0~9세,835,316,135,138,29,16,63,46,41,24,27
2021년12월_남_10~19세,"1,240",508,101,183,55,57,92,75,72,48,49
2021년12월_남_20~29세,"1,532",574,168,219,72,62,112,103,99,61,62
2021년12월_남_30~39세,"1,528",441,368,213,59,51,140,73,102,30,51
2021년12월_남_40~49세,"2,656",815,420,411,117,95,260,144,179,91,124
2021년12월_남_50~59세,"3,744","1,030",403,492,202,183,333,267,401,234,199
2021년12월_남_60~69세,"4,195",984,400,504,254,202,454,293,534,255,315
2021년12월_남_70~79세,"1,977",486,226,216,102,95,167,163,261,101,160
2021년12월_남_80~89세,790,191,66,67,54,29,60,80,144,42,57
2021년12월_남_90~99세,65,19,3,1,4,3,5,8,12,3,7
2021년12월_남_100세 이상,3,2,0,0,0,1,0,0,0,0,0
2021년12월_여_총인구수,"17,110","5,094","2,073","2,250",874,798,"1,486","1,224","1,630",741,940
2021년12월_여_연령구간인구수,"17,110","5,094","2,073","2,250",874,798,"1,486","1,224","1,630",741,940
2021년12월_여_0~9세,793,289,130,136,34,25,60,35,45,20,19
2021년12월_여_10~19세,"1,172",453,125,182,61,45,94,80,70,32,30
2021년12월_여_20~29세,"1,093",386,134,166,44,49,75,60,79,39,61
2021년12월_여_30~39세,"1,227",424,271,191,37,31,91,61,54,29,38
2021년12월_여_40~49세,"1,970",743,264,329,79,60,168,118,100,54,55
2021년12월_여_50~59세,"2,938",849,299,397,150,131,275,220,315,143,159
2021년12월_여_60~69세,"3,730",890,440,464,202,188,380,279,421,199,267
2021년12월_여_70~79세,"2,396",602,276,254,162,153,194,186,280,122,167
2021년12월_여_80~89세,"1,522",371,120,118,96,103,128,148,229,86,123
2021년12월_여_90~99세,262,85,14,12,9,12,20,36,37,17,20
2021년12월_여_100세 이상,7,2,0,1,0,1,1,1,0,0,1
