,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2020년04월_계_총인구수,"24,627","8,459","2,732","2,902","4,212","6,322"
2020년04월_계_연령구간인구수,"24,627","8,459","2,732","2,902","4,212","6,322"
2020년04월_계_0~9세,"1,852",763,59,131,306,593
2020년04월_계_10~19세,"1,825",749,160,286,169,461
2020년04월_계_20~29세,"3,811","1,221",270,280,"1,066",974
2020년04월_계_30~39세,"2,836","1,039",144,258,530,865
2020년04월_계_40~49세,"2,777","1,165",228,381,328,675
2020년04월_계_50~59세,"3,993","1,353",605,549,540,946
2020년04월_계_60~69세,"3,558","1,001",576,473,585,923
2020년04월_계_70~79세,"2,466",753,419,324,415,555
2020년04월_계_80~89세,"1,296",361,229,191,235,280
2020년04월_계_90~99세,198,51,41,24,36,46
2020년04월_계_100세 이상,15,3,1,5,2,4
2020년04월_남_총인구수,"13,318","4,402","1,473","1,511","2,544","3,388"
2020년04월_남_연령구간인구수,"13,318","4,402","1,473","1,511","2,544","3,388"
2020년04월_남_0~9세,921,380,31,73,144,293
2020년04월_남_10~19세,932,389,82,147,96,218
2020년04월_남_20~29세,"2,646",741,207,154,865,679
2020년04월_남_30~39세,"1,639",580,81,129,358,491
2020년04월_남_40~49세,"1,517",610,115,221,195,376
2020년04월_남_50~59세,"2,173",735,346,311,290,491
2020년04월_남_60~69세,"1,883",518,323,250,326,466
2020년04월_남_70~79세,"1,086",308,194,156,174,254
2020년04월_남_80~89세,462,128,84,61,87,102
2020년04월_남_90~99세,52,12,9,7,8,16
2020년04월_남_100세 이상,7,1,1,2,1,2
2020년04월_여_총인구수,"11,309","4,057","1,259","1,391","1,668","2,934"
2020년04월_여_연령구간인구수,"11,309","4,057","1,259","1,391","1,668","2,934"
2020년04월_여_0~9세,931,383,28,58,162,300
2020년04월_여_10~19세,893,360,78,139,73,243
2020년04월_여_20~29세,"1,165",480,63,126,201,295
2020년04월_여_30~39세,"1,197",459,63,129,172,374
2020년04월_여_40~49세,"1,260",555,113,160,133,299
2020년04월_여_50~59세,"1,820",618,259,238,250,455
2020년04월_여_60~69세,"1,675",483,253,223,259,457
2020년04월_여_70~79세,"1,380",445,225,168,241,301
2020년04월_여_80~89세,834,233,145,130,148,178
2020년04월_여_90~99세,146,39,32,17,28,30
2020년04월_여_100세 이상,8,2,0,3,1,2
